NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,03 THREE FAMILY HOMES   ,1," $	2,900,000.00 "," $	2,900,000.00 "," $	2,900,000.00 "," $	2,900,000.00 "
CHELSEA                  ,01 ONE FAMILY HOMES     ,2," $	4,000,000.00 "," $	4,650,000.00 "," $	4,650,000.00 "," $	5,300,000.00 "
CHELSEA                  ,02 TWO FAMILY HOMES     ,2," $	6,200,000.00 "," $	7,775,000.00 "," $	7,775,000.00 "," $	9,350,000.00 "
CHELSEA                  ,03 THREE FAMILY HOMES   ,2," $	332,500.00 "," $	4,416,250.00 "," $	4,416,250.00 "," $	8,500,000.00 "
CLINTON                  ,03 THREE FAMILY HOMES   ,1," $	7,950,000.00 "," $	7,950,000.00 "," $	7,950,000.00 "," $	7,950,000.00 "
EAST VILLAGE             ,01 ONE FAMILY HOMES     ,1," $	6,400,000.00 "," $	6,400,000.00 "," $	6,400,000.00 "," $	6,400,000.00 "
EAST VILLAGE             ,02 TWO FAMILY HOMES     ,1," $	7,606,000.00 "," $	7,606,000.00 "," $	7,606,000.00 "," $	7,606,000.00 "
GRAMERCY                 ,01 ONE FAMILY HOMES     ,1," $	3,550,000.00 "," $	3,550,000.00 "," $	3,550,000.00 "," $	3,550,000.00 "
GRAMERCY                 ,03 THREE FAMILY HOMES   ,1," $	4,100,000.00 "," $	4,100,000.00 "," $	4,100,000.00 "," $	4,100,000.00 "
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES     ,4," $	4,975,000.00 "," $	12,537,750.00 "," $	8,588,000.00 "," $	28,000,000.00 "
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES     ,2," $	1,250,000.00 "," $	1,375,000.00 "," $	1,375,000.00 "," $	1,500,000.00 "
GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES   ,1," $	9,725,000.00 "," $	9,725,000.00 "," $	9,725,000.00 "," $	9,725,000.00 "
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES     ,16," $	5,980,000.00 "," $	12,483,750.00 "," $	10,475,000.00 "," $	42,500,000.00 "
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES     ,13," $	650,000.00 "," $	8,247,282.00 "," $	6,500,000.00 "," $	19,280,000.00 "
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES   ,3," $	5,780,000.00 "," $	10,840,000.00 "," $	5,850,000.00 "," $	20,890,000.00 "
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES     ,1," $	1,629,200.00 "," $	1,629,200.00 "," $	1,629,200.00 "," $	1,629,200.00 "
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES     ,23," $	825,000.00 "," $	1,982,581.00 "," $	1,750,000.00 "," $	3,200,000.00 "
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES   ,17," $	397,500.00 "," $	1,955,182.00 "," $	1,780,000.00 "," $	3,335,000.00 "
HARLEM-EAST              ,01 ONE FAMILY HOMES     ,3," $	910,000.00 "," $	1,081,667.00 "," $	1,085,000.00 "," $	1,250,000.00 "
HARLEM-EAST              ,02 TWO FAMILY HOMES     ,5," $	670,000.00 "," $	1,303,400.00 "," $	1,210,000.00 "," $	2,200,000.00 "
HARLEM-EAST              ,03 THREE FAMILY HOMES   ,8," $	687,443.00 "," $	1,360,055.00 "," $	1,360,000.00 "," $	2,000,000.00 "
HARLEM-UPPER             ,01 ONE FAMILY HOMES     ,5," $	434,730.00 "," $	1,701,946.00 "," $	1,650,000.00 "," $	2,825,000.00 "
HARLEM-UPPER             ,02 TWO FAMILY HOMES     ,11," $	800,000.00 "," $	1,706,572.00 "," $	1,525,000.00 "," $	3,100,000.00 "
HARLEM-UPPER             ,03 THREE FAMILY HOMES   ,2," $	999,000.00 "," $	999,000.00 "," $	999,000.00 "," $	999,000.00 "
INWOOD                   ,01 ONE FAMILY HOMES     ,3," $	485,000.00 "," $	498,651.00 "," $	485,954.00 "," $	525,000.00 "
INWOOD                   ,02 TWO FAMILY HOMES     ,3," $	1,100,000.00 "," $	1,625,000.00 "," $	1,275,000.00 "," $	2,500,000.00 "
KIPS BAY                 ,02 TWO FAMILY HOMES     ,2," $	4,150,000.00 "," $	5,175,000.00 "," $	5,175,000.00 "," $	6,200,000.00 "
LITTLE ITALY             ,01 ONE FAMILY HOMES     ,1," $	5,500,000.00 "," $	5,500,000.00 "," $	5,500,000.00 "," $	5,500,000.00 "
MANHATTAN VALLEY         ,02 TWO FAMILY HOMES     ,2," $	2,775,000.00 "," $	3,675,000.00 "," $	3,675,000.00 "," $	4,575,000.00 "
MANHATTAN VALLEY         ,03 THREE FAMILY HOMES   ,1," $	1,811,000.00 "," $	1,811,000.00 "," $	1,811,000.00 "," $	1,811,000.00 "
MIDTOWN EAST             ,01 ONE FAMILY HOMES     ,6," $	3,300,000.00 "," $	6,745,833.00 "," $	5,425,000.00 "," $	13,500,000.00 "
MIDTOWN EAST             ,02 TWO FAMILY HOMES     ,2," $	4,100,000.00 "," $	5,212,500.00 "," $	5,212,500.00 "," $	6,325,000.00 "
MIDTOWN EAST             ,03 THREE FAMILY HOMES   ,2," $	4,235,000.00 "," $	8,367,500.00 "," $	8,367,500.00 "," $	12,500,000.00 "
MIDTOWN WEST             ,02 TWO FAMILY HOMES     ,1," $	15,000,000.00 "," $	15,000,000.00 "," $	15,000,000.00 "," $	15,000,000.00 "
MURRAY HILL              ,01 ONE FAMILY HOMES     ,2," $	3,375,000.00 "," $	4,237,500.00 "," $	4,237,500.00 "," $	5,100,000.00 "
