NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
                         ,01  ONE FAMILY HOMES  ,1," $	26,893,000.00 "," $	26,893,000.00 "," $	26,893,000.00 "," $	26,893,000.00 "
CHELSEA                  ,01  ONE FAMILY HOMES  ,2," $	200,000.00 "," $	2,100,000.00 "," $	2,100,000.00 "," $	4,000,000.00 "
CHELSEA                  ,03  THREE FAMILY HOMES,2," $	2,700,000.00 "," $	4,825,000.00 "," $	4,825,000.00 "," $	6,950,000.00 "
CLINTON                  ,03  THREE FAMILY HOMES,2," $	2,650,000.00 "," $	2,825,000.00 "," $	2,825,000.00 "," $	3,000,000.00 "
EAST VILLAGE             ,01  ONE FAMILY HOMES  ,1," $	6,250,000.00 "," $	6,250,000.00 "," $	6,250,000.00 "," $	6,250,000.00 "
EAST VILLAGE             ,02  TWO FAMILY HOMES  ,1," $	3,700,000.00 "," $	3,700,000.00 "," $	3,700,000.00 "," $	3,700,000.00 "
EAST VILLAGE             ,03  THREE FAMILY HOMES,1," $	3,300,000.00 "," $	3,300,000.00 "," $	3,300,000.00 "," $	3,300,000.00 "
FASHION                  ,01  ONE FAMILY HOMES  ,1," $	1,950,000.00 "," $	1,950,000.00 "," $	1,950,000.00 "," $	1,950,000.00 "
GRAMERCY                 ,01  ONE FAMILY HOMES  ,1," $	3,712,050.00 "," $	3,712,050.00 "," $	3,712,050.00 "," $	3,712,050.00 "
GRAMERCY                 ,02  TWO FAMILY HOMES  ,1," $	2,550,000.00 "," $	2,550,000.00 "," $	2,550,000.00 "," $	2,550,000.00 "
GREENWICH VILLAGE-CENTRAL,01  ONE FAMILY HOMES  ,7," $	1,625,000.00 "," $	8,503,571.00 "," $	8,300,000.00 "," $	17,850,000.00 "
GREENWICH VILLAGE-CENTRAL,02  TWO FAMILY HOMES  ,1," $	8,500,000.00 "," $	8,500,000.00 "," $	8,500,000.00 "," $	8,500,000.00 "
GREENWICH VILLAGE-WEST   ,01  ONE FAMILY HOMES  ,12," $	5,800,000.00 "," $	10,693,454.00 "," $	10,025,000.00 "," $	18,965,415.00 "
GREENWICH VILLAGE-WEST   ,02  TWO FAMILY HOMES  ,12," $	560,000.00 "," $	7,573,588.00 "," $	7,612,500.00 "," $	17,625,000.00 "
GREENWICH VILLAGE-WEST   ,03  THREE FAMILY HOMES,10," $	2,650,000.00 "," $	6,270,000.00 "," $	5,725,000.00 "," $	9,850,000.00 "
HARLEM-CENTRAL           ,01  ONE FAMILY HOMES  ,7," $	536,000.00 "," $	1,536,571.00 "," $	1,860,000.00 "," $	2,700,000.00 "
