NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,01 ONE FAMILY HOMES                        ,1 ,"$340,000","$340,000","$340,000","$340,000"
ALPHABET CITY            ,02 TWO FAMILY HOMES                        ,1 ,"$1,800,000","$1,800,000","$1,800,000","$1,800,000"
CHELSEA                  ,01 ONE FAMILY HOMES                        ,4 ,"$3,250,000","$3,955,000","$4,035,000","$4,500,000"
CHELSEA                  ,02 TWO FAMILY HOMES                        ,1 ,"$2,800,000","$2,800,000","$2,800,000","$2,800,000"
CHELSEA                  ,03 THREE FAMILY HOMES                      ,2 ,"$6,050,000","$7,150,000","$7,150,000","$8,250,000"
CIVIC CENTER             ,01 ONE FAMILY HOMES                        ,1 ,"$5,450,000","$5,450,000","$5,450,000","$5,450,000"
EAST VILLAGE             ,01 ONE FAMILY HOMES                        ,1 ,"$4,250,000","$4,250,000","$4,250,000","$4,250,000"
EAST VILLAGE             ,03 THREE FAMILY HOMES                      ,3 ,"$800,000","$1,933,333","$1,200,000","$3,800,000"
GRAMERCY                 ,01 ONE FAMILY HOMES                        ,1 ,"$2,400,500","$2,400,500","$2,400,500","$2,400,500"
GRAMERCY                 ,02 TWO FAMILY HOMES                        ,3 ,"$2,465,000","$3,696,667","$3,225,000","$5,400,000"
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        ,1 ,"$11,500,000","$11,500,000","$11,500,000","$11,500,000"
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        ,1 ,"$3,500,000","$3,500,000","$3,500,000","$3,500,000"
GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES                      ,1 ,"$5,500,000","$5,500,000","$5,500,000","$5,500,000"
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        ,14 ,"$782,295","$4,170,878","$3,450,000","$14,950,000"
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        ,4 ,"$3,400,000","$4,111,250","$3,897,500","$5,250,000"
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      ,5 ,"$1,650,000","$4,517,600","$4,488,000","$6,950,000"
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        ,12 ,"$361,468","$1,080,251","$992,500","$2,400,000"
