NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,02 TWO FAMILY HOMES     ,1 ,"$1,560,000","$1,560,000","$1,560,000","$1,560,000"
ALPHABET CITY            ,03 THREE FAMILY HOMES   ,1 ,"$3,150,000","$3,150,000","$3,150,000","$3,150,000"
CHELSEA                  ,01 ONE FAMILY HOMES     ,8 ,"$2,500,000","$7,201,875","$6,890,000","$15,500,000"
CHELSEA                  ,02 TWO FAMILY HOMES     ,2 ,"$5,500,000","$6,245,000","$6,245,000","$6,990,000"
CHELSEA                  ,03 THREE FAMILY HOMES   ,2 ,"$4,250,000","$5,058,500","$5,058,500","$5,867,000"
CHINATOWN                ,02 TWO FAMILY HOMES     ,2 ,"$2,800,000","$4,602,500","$4,602,500","$6,405,000"
CLINTON                  ,03 THREE FAMILY HOMES   ,1 ,"$4,165,000","$4,165,000","$4,165,000","$4,165,000"
EAST VILLAGE             ,01 ONE FAMILY HOMES     ,1 ,"$5,250,000","$5,250,000","$5,250,000","$5,250,000"
EAST VILLAGE             ,02 TWO FAMILY HOMES     ,1 ,"$241,307","$241,307","$241,307","$241,307"
EAST VILLAGE             ,03 THREE FAMILY HOMES   ,1 ,"$4,650,000","$4,650,000","$4,650,000","$4,650,000"
FLATIRON                 ,01 ONE FAMILY HOMES     ,1 ,"$12,000,000","$12,000,000","$12,000,000","$12,000,000"
GRAMERCY                 ,01 ONE FAMILY HOMES     ,1 ,"$5,750,000","$5,750,000","$5,750,000","$5,750,000"
GRAMERCY                 ,03 THREE FAMILY HOMES   ,1 ,"$5,912,819","$5,912,819","$5,912,819","$5,912,819"
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES     ,3 ,"$5,800,000","$10,663,333","$10,250,000","$15,940,000"
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES     ,3 ,"$3,800,000","$8,116,667","$10,050,000","$10,500,000"
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES     ,13 ,"$3,250,000","$7,861,538","$6,150,000","$23,500,000"
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES     ,9 ,"$3,500,000","$6,244,444","$6,200,000","$12,500,000"
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES   ,4 ,"$4,800,000","$7,500,000","$5,975,000","$13,250,000"
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES     ,14 ,"$346,205","$1,671,501","$1,529,494","$3,582,500"
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES     ,18 ,"$632,333","$1,403,125","$1,400,000","$2,400,000"
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES   ,26 ,"$441,774","$1,466,960","$1,485,000","$2,700,000"
HARLEM-EAST              ,01 ONE FAMILY HOMES     ,3 ,"$735,000","$805,000","$775,000","$905,000"
HARLEM-EAST              ,02 TWO FAMILY HOMES     ,4 ,"$500,000","$831,250","$887,500","$1,050,000"
HARLEM-EAST              ,03 THREE FAMILY HOMES   ,4 ,"$998,000","$1,194,064","$1,229,129","$1,320,000"
HARLEM-UPPER             ,01 ONE FAMILY HOMES     ,4 ,"$850,500","$1,393,094","$1,073,438","$2,575,000"
HARLEM-UPPER             ,02 TWO FAMILY HOMES     ,9 ,"$650,000","$1,174,094","$950,000","$2,200,000"
HARLEM-WEST              ,01 ONE FAMILY HOMES     ,1 ,"$800,000","$800,000","$800,000","$800,000"
INWOOD                   ,01 ONE FAMILY HOMES     ,2 ,"$443,000","$471,500","$471,500","$500,000"
INWOOD                   ,02 TWO FAMILY HOMES     ,3 ,"$440,000","$871,667","$950,000","$1,225,000"
KIPS BAY                 ,02 TWO FAMILY HOMES     ,1 ,"$4,150,000","$4,150,000","$4,150,000","$4,150,000"
LOWER EAST SIDE          ,02 TWO FAMILY HOMES     ,2 ,"$1,068,000","$2,234,000","$2,234,000","$3,400,000"
MANHATTAN VALLEY         ,02 TWO FAMILY HOMES     ,1 ,"$3,675,000","$3,675,000","$3,675,000","$3,675,000"
MANHATTAN VALLEY         ,03 THREE FAMILY HOMES   ,1 ,"$1,325,000","$1,325,000","$1,325,000","$1,325,000"
MIDTOWN EAST             ,01 ONE FAMILY HOMES     ,7 ,"$999,900","$8,433,914","$4,487,500","$34,350,000"
MIDTOWN EAST             ,02 TWO FAMILY HOMES     ,3 ,"$3,300,000","$5,391,667","$4,875,000","$8,000,000"
MIDTOWN EAST             ,03 THREE FAMILY HOMES   ,2 ,"$4,100,000","$4,249,500","$4,249,500","$4,399,000"
MURRAY HILL              ,01 ONE FAMILY HOMES     ,1 ,"$5,200,000","$5,200,000","$5,200,000","$5,200,000"
MURRAY HILL              ,02 TWO FAMILY HOMES     ,4 ,"$3,700,000","$5,675,000","$4,000,000","$11,000,000"
SOHO                     ,01 ONE FAMILY HOMES     ,1 ,"$4,200,000","$4,200,000","$4,200,000","$4,200,000"
SOHO                     ,02 TWO FAMILY HOMES     ,1 ,"$7,200,000","$7,200,000","$7,200,000","$7,200,000"
SOUTHBRIDGE              ,01 ONE FAMILY HOMES     ,1 ,"$2,131,197","$2,131,197","$2,131,197","$2,131,197"
TRIBECA                  ,01 ONE FAMILY HOMES     ,3 ,"$4,250,000","$9,166,667","$5,750,000","$17,500,000"
UPPER EAST SIDE (59-79)  ,01 ONE FAMILY HOMES     ,21 ,"$2,343,194","$10,412,902","$6,875,000","$27,000,000"
UPPER EAST SIDE (59-79)  ,02 TWO FAMILY HOMES     ,6 ,"$6,000,000","$10,200,000","$7,150,000","$18,500,000"
UPPER EAST SIDE (59-79)  ,03 THREE FAMILY HOMES   ,1 ,"$5,300,000","$5,300,000","$5,300,000","$5,300,000"
UPPER EAST SIDE (79-96)  ,01 ONE FAMILY HOMES     ,10 ,"$4,200,000","$6,135,000","$5,250,000","$10,350,000"
UPPER EAST SIDE (79-96)  ,02 TWO FAMILY HOMES     ,6 ,"$3,000,000","$7,532,500","$6,475,000","$15,000,000"
UPPER EAST SIDE (79-96)  ,03 THREE FAMILY HOMES   ,2 ,"$3,900,000","$5,262,500","$5,262,500","$6,625,000"
UPPER WEST SIDE (59-79)  ,01 ONE FAMILY HOMES     ,1 ,"$11,800,000","$11,800,000","$11,800,000","$11,800,000"
UPPER WEST SIDE (59-79)  ,02 TWO FAMILY HOMES     ,2 ,"$5,300,000","$6,650,000","$6,650,000","$8,000,000"
UPPER WEST SIDE (79-96)  ,01 ONE FAMILY HOMES     ,9 ,"$3,215,000","$6,251,778","$4,500,000","$14,391,000"
UPPER WEST SIDE (79-96)  ,02 TWO FAMILY HOMES     ,5 ,"$3,650,000","$4,913,000","$5,125,000","$6,600,000"
UPPER WEST SIDE (79-96)  ,03 THREE FAMILY HOMES   ,4 ,"$4,600,000","$8,825,000","$6,600,000","$17,500,000"
UPPER WEST SIDE (96-116) ,02 TWO FAMILY HOMES     ,1 ,"$14,000,100","$14,000,100","$14,000,100","$14,000,100"
UPPER WEST SIDE (96-116) ,03 THREE FAMILY HOMES   ,1 ,"$3,400,000","$3,400,000","$3,400,000","$3,400,000"
WASHINGTON HEIGHTS LOWER ,01 ONE FAMILY HOMES     ,$3.00 ,"$768,834.00 ","$832,945.00 ","$790,000.00 "," $	940,000.00 "
WASHINGTON HEIGHTS LOWER ,02 TWO FAMILY HOMES     ,$9.00 ,"$450,000.00 ","$1,367,932.00 ","$1,128,500.00 "," $	3,300,000.00 "
WASHINGTON HEIGHTS LOWER ,03 THREE FAMILY HOMES   ,$3.00 ,"$705,000.00 ","$920,000.00 ","$905,000.00 "," $	1,150,000.00 "
WASHINGTON HEIGHTS UPPER ,01 ONE FAMILY HOMES     ,2,"$526,000.00 ","$573,000.00 ","$573,000.00 ","$620,000.00 "
WASHINGTON HEIGHTS UPPER ,02 TWO FAMILY HOMES     ,1,"$570,000.00 ","$570,000.00 ","$570,000.00 ","$570,000.00 "
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
