NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,02 TWO FAMILY HOMES                        ,1,"$2,675,000.00 ","$2,675,000.00 ","$2,675,000.00 ","$2,675,000.00 "
ALPHABET CITY            ,03 THREE FAMILY HOMES                      ,1,"$4,200,000.00 ","$4,200,000.00 ","$4,200,000.00 ","$4,200,000.00 "
CHELSEA                  ,01 ONE FAMILY HOMES                        ,2,"$217,500.00 ","$1,958,750.00 ","$1,958,750.00 ","$3,700,000.00 "
CHELSEA                  ,02 TWO FAMILY HOMES                        ,3,"$3,200,000.00 ","$3,750,000.00 ","$3,800,000.00 ","$4,250,000.00 "
CHELSEA                  ,03 THREE FAMILY HOMES                      ,2,"$2,800,000.00 ","$2,900,000.00 ","$2,900,000.00 ","$3,000,000.00 "
CLINTON                  ,02 TWO FAMILY HOMES                        ,2,"$250,000.00 ","$965,056.00 ","$965,056.00 ","$1,680,112.00 "
CLINTON                  ,03 THREE FAMILY HOMES                      ,1,"$3,800,000.00 ","$3,800,000.00 ","$3,800,000.00 ","$3,800,000.00 "
EAST VILLAGE             ,01 ONE FAMILY HOMES                        ,2,"$1,900,000.00 ","$2,650,000.00 ","$2,650,000.00 ","$3,400,000.00 "
EAST VILLAGE             ,02 TWO FAMILY HOMES                        ,3,"$1,825,000.00 ","$2,681,667.00 ","$2,900,000.00 ","$3,320,000.00 "
EAST VILLAGE             ,03 THREE FAMILY HOMES                      ,1,"$4,350,000.00 ","$4,350,000.00 ","$4,350,000.00 ","$4,350,000.00 "
GRAMERCY                 ,01 ONE FAMILY HOMES                        ,2,"$5,032,500.00 ","$5,966,250.00 ","$5,966,250.00 ","$6,900,000.00 "
GRAMERCY                 ,02 TWO FAMILY HOMES                        ,2,"$2,090,000.00 ","$2,470,000.00 ","$2,470,000.00 ","$2,850,000.00 "
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES                        ,2,"$5,500,000.00 ","$6,100,000.00 ","$6,100,000.00 ","$6,700,000.00 "
GREENWICH VILLAGE-CENTRAL,02 TWO FAMILY HOMES                        ,5,"$790,158.00 ","$3,103,000.00 ","$2,370,000.00 ","$7,000,000.00 "
GREENWICH VILLAGE-CENTRAL,03 THREE FAMILY HOMES                      ,2,"$5,400,000.00 ","$7,250,000.00 ","$7,250,000.00 ","$9,100,000.00 "
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES                        ,8,"$3,050,000.00 ","$5,058,688.00 ","$4,775,250.00 ","$8,950,000.00 "
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES                        ,7,"$2,632,500.00 ","$4,416,743.00 ","$3,495,000.00 ","$8,350,000.00 "
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES                      ,6,"$390,000.00 ","$3,428,402.00 ","$3,800,000.00 ","$5,800,000.00 "
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES                        ,5,"$178,000.00 ","$1,025,600.00 ","$915,000.00 ","$1,925,000.00 "
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES                        ,26,"$405,589.00 ","$998,011.00 ","$957,087.00 ","$2,150,000.00 "
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES                      ,16,"$180,000.00 ","$875,120.00 ","$785,836.00 ","$1,750,000.00 "
HARLEM-EAST              ,01 ONE FAMILY HOMES                        ,4,"$714,811.00 ","$1,136,965.00 ","$1,120,000.00 ","$1,593,050.00 "
HARLEM-EAST              ,02 TWO FAMILY HOMES                        ,1,"$550,000.00 ","$550,000.00 ","$550,000.00 ","$550,000.00 "
HARLEM-EAST              ,03 THREE FAMILY HOMES                      ,5,"$747,000.00 ","$826,400.00 ","$775,000.00 ","$995,000.00 "
