NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
ALPHABET CITY            ,01 ONE FAMILY HOMES     ,1 ,"$593,362","$593,362","$593,362","$593,362"
ALPHABET CITY            ,02 TWO FAMILY HOMES     ,1 ,"$1,320,000","$1,320,000","$1,320,000","$1,320,000"
ALPHABET CITY            ,03 THREE FAMILY HOMES   ,1 ,"$900,000","$900,000","$900,000","$900,000"
CHELSEA                  ,01 ONE FAMILY HOMES     ,2 ,"$500,000","$2,875,000","$2,875,000","$5,250,000"
CHELSEA                  ,02 TWO FAMILY HOMES     ,2 ,"$1,306,213","$2,603,107","$2,603,107","$3,900,000"
CHELSEA                  ,03 THREE FAMILY HOMES   ,1 ,"$6,400,000","$6,400,000","$6,400,000","$6,400,000"
CLINTON                  ,01 ONE FAMILY HOMES     ,1 ,"$3,850,000","$3,850,000","$3,850,000","$3,850,000"
EAST VILLAGE             ,01 ONE FAMILY HOMES     ,2 ,"$3,100,000","$5,800,000","$5,800,000","$8,500,000"
EAST VILLAGE             ,02 TWO FAMILY HOMES     ,2 ,"$477,500","$2,738,750","$2,738,750","$5,000,000"
EAST VILLAGE             ,03 THREE FAMILY HOMES   ,1 ,"$3,290,000","$3,290,000","$3,290,000","$3,290,000"
GRAMERCY                 ,01 ONE FAMILY HOMES     ,2 ,"$2,700,000","$6,325,000","$6,325,000","$9,950,000"
GREENWICH VILLAGE-CENTRAL,01 ONE FAMILY HOMES     ,4 ,"$5,100,000","$13,112,500","$13,675,000","$20,000,000"
GREENWICH VILLAGE-WEST   ,01 ONE FAMILY HOMES     ,11 ,"$4,125,000","$7,160,455","$6,280,000","$13,580,000"
GREENWICH VILLAGE-WEST   ,02 TWO FAMILY HOMES     ,5 ,"$2,725,000","$5,850,000","$3,400,000","$12,750,000"
GREENWICH VILLAGE-WEST   ,03 THREE FAMILY HOMES   ,7 ,"$2,475,000","$4,875,000","$5,750,000","$6,800,000"
HARLEM-CENTRAL           ,01 ONE FAMILY HOMES     ,5 ,"$200,000","$1,105,000","$1,550,000","$1,650,000"
HARLEM-CENTRAL           ,02 TWO FAMILY HOMES     ,14 ,"$800,000","$1,470,635","$1,600,000","$2,000,000"
HARLEM-CENTRAL           ,03 THREE FAMILY HOMES   ,14 ,"$595,000","$989,633","$961,886","$1,650,000"
HARLEM-EAST              ,02 TWO FAMILY HOMES     ,1 ,"$950,000","$950,000","$950,000","$950,000"
HARLEM-EAST              ,03 THREE FAMILY HOMES   ,1 ,"$1,340,000","$1,340,000","$1,340,000","$1,340,000"
HARLEM-UPPER             ,01 ONE FAMILY HOMES     ,3 ,"$450,000","$1,216,667","$1,200,000","$2,000,000"
HARLEM-UPPER             ,02 TWO FAMILY HOMES     ,8 ,"$425,000","$906,625","$866,078","$1,450,000"
HARLEM-UPPER             ,03 THREE FAMILY HOMES   ,3 ,"$526,050","$847,229","$895,637","$1,120,000"
HARLEM-WEST              ,02 TWO FAMILY HOMES     ,1 ,"$450,000","$450,000","$450,000","$450,000"
INWOOD                   ,01 ONE FAMILY HOMES     ,1 ,"$600,000","$600,000","$600,000","$600,000"
INWOOD                   ,02 TWO FAMILY HOMES     ,2 ,"$235,248","$335,888","$335,888","$436,527"
KIPS BAY                 ,02 TWO FAMILY HOMES     ,2 ,"$900,000","$2,075,000","$2,075,000","$3,250,000"
LITTLE ITALY             ,01 ONE FAMILY HOMES     ,1 ,"$11,999,900","$11,999,900","$11,999,900","$11,999,900"
MIDTOWN EAST             ,01 ONE FAMILY HOMES     ,2 ,"$3,000,000","$3,237,500","$3,237,500","$3,475,000"
MIDTOWN EAST             ,02 TWO FAMILY HOMES     ,1 ,"$5,250,000","$5,250,000","$5,250,000","$5,250,000"
MURRAY HILL              ,01 ONE FAMILY HOMES     ,5 ,"$3,130,000","$3,696,000","$3,850,000","$4,200,000"
MURRAY HILL              ,03 THREE FAMILY HOMES   ,3 ,"$1,634,291","$2,393,097","$2,550,000","$2,995,000"
SOHO                     ,01 ONE FAMILY HOMES     ,1 ,"$4,000,000","$4,000,000","$4,000,000","$4,000,000"
SOHO                     ,02 TWO FAMILY HOMES     ,1 ,"$4,250,000","$4,250,000","$4,250,000","$4,250,000"
SOUTHBRIDGE              ,01 ONE FAMILY HOMES     ,1 ,"$1,550,000","$1,550,000","$1,550,000","$1,550,000"
