NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        ,2 ,"$475,000","$488,000","$488,000","$501,000"
AIRPORT LA GUARDIA       ,03 THREE FAMILY HOMES                      ,1 ,"$825,000","$825,000","$825,000","$825,000"
ARVERNE                  ,01 ONE FAMILY HOMES                        ,93 ,"$150,000","$316,933","$335,629","$600,000"
ARVERNE                  ,02 TWO FAMILY HOMES                        ,218 ,"$155,000","$472,534","$484,500","$700,000"
ARVERNE                  ,03 THREE FAMILY HOMES                      ,24 ,"$355,000","$511,327","$514,000","$690,000"
ASTORIA                  ,01 ONE FAMILY HOMES                        ,80 ,"$260,000","$598,629","$567,500","$1,375,000"
ASTORIA                  ,02 TWO FAMILY HOMES                        ,172 ,"$227,500","$750,228","$749,250","$1,650,000"
ASTORIA                  ,03 THREE FAMILY HOMES                      ,81 ,"$200,000","$822,494","$830,000","$1,300,000"
BAYSIDE                  ,01 ONE FAMILY HOMES                        ,312 ,"$150,000","$692,745","$652,500","$2,500,000"
BAYSIDE                  ,02 TWO FAMILY HOMES                        ,136 ,"$194,321","$772,739","$770,000","$1,602,000"
BAYSIDE                  ,03 THREE FAMILY HOMES                      ,21 ,"$160,000","$772,780","$850,000","$1,058,000"
BEECHHURST               ,01 ONE FAMILY HOMES                        ,38 ,"$304,435","$882,255","$888,000","$1,832,850"
BEECHHURST               ,02 TWO FAMILY HOMES                        ,2 ,"$760,000","$888,800","$888,800","$1,017,600"
BELLE HARBOR             ,01 ONE FAMILY HOMES                        ,27 ,"$305,000","$970,241","$800,000","$3,400,000"
BELLE HARBOR             ,02 TWO FAMILY HOMES                        ,27 ,"$550,000","$840,322","$829,000","$1,400,500"
BELLE HARBOR             ,03 THREE FAMILY HOMES                      ,2 ,"$680,000","$765,000","$765,000","$850,000"
BELLEROSE                ,01 ONE FAMILY HOMES                        ,139 ,"$345,000","$537,205","$535,000","$850,000"
BELLEROSE                ,02 TWO FAMILY HOMES                        ,33 ,"$397,500","$603,041","$580,000","$900,000"
BRIARWOOD                ,01 ONE FAMILY HOMES                        ,19 ,"$400,500","$661,709","$600,000","$1,908,000"
BRIARWOOD                ,02 TWO FAMILY HOMES                        ,11 ,"$565,873","$700,219","$683,000","$860,000"
BRIARWOOD                ,03 THREE FAMILY HOMES                      ,6 ,"$625,000","$722,667","$752,500","$800,000"
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        ,17 ,"$182,396","$330,988","$301,000","$595,000"
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        ,1 ,"$560,000","$560,000","$560,000","$560,000"
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        ,155 ,"$155,000","$438,167","$449,000","$629,000"
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        ,18 ,"$343,000","$503,572","$515,000","$600,000"
COLLEGE POINT            ,01 ONE FAMILY HOMES                        ,96 ,"$150,000","$539,937","$532,500","$900,000"
COLLEGE POINT            ,02 TWO FAMILY HOMES                        ,157 ,"$300,000","$722,584","$680,000","$9,000,000"
COLLEGE POINT            ,03 THREE FAMILY HOMES                      ,24 ,"$300,000","$696,921","$713,750","$990,000"
CORONA                   ,01 ONE FAMILY HOMES                        ,74 ,"$350,000","$567,451","$543,500","$1,090,000"
CORONA                   ,02 TWO FAMILY HOMES                        ,235 ,"$151,413","$733,525","$737,000","$2,930,000"
CORONA                   ,03 THREE FAMILY HOMES                      ,160 ,"$150,000","$810,687","$850,000","$1,175,000"
DOUGLASTON               ,01 ONE FAMILY HOMES                        ,58 ,"$240,000","$966,871","$812,500","$2,600,000"
DOUGLASTON               ,02 TWO FAMILY HOMES                        ,13 ,"$616,875","$817,357","$790,000","$950,000"
DOUGLASTON               ,03 THREE FAMILY HOMES                      ,1 ,"$290,000","$290,000","$290,000","$290,000"
