NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
FOREST HILLS             ,02 TWO FAMILY HOMES                        ,35 ,"$525,000","$829,557","$750,000","$1,475,000",,
FOREST HILLS             ,03 THREE FAMILY HOMES                      ,3 ,"$813,500","$1,132,833","$1,185,000","$1,400,000",,
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        ,91 ,"$265,000","$655,296","$645,000","$1,300,000",,
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        ,12 ,"$487,000","$704,958","$690,000","$1,115,000",,
FRESH MEADOWS            ,03 THREE FAMILY HOMES                      ,1 ,"$822,000","$822,000","$822,000","$822,000",,
GLEN OAKS                ,01 ONE FAMILY HOMES                        ,35 ,"$347,500","$571,886","$535,000","$995,000",,
GLEN OAKS                ,02 TWO FAMILY HOMES                        ,4 ,"$636,500","$791,096","$765,000","$997,885",,
GLENDALE                 ,01 ONE FAMILY HOMES                        ,75 ,"$250,000","$509,705","$500,000","$700,000",,
GLENDALE                 ,02 TWO FAMILY HOMES                        ,139 ,"$171,616","$614,445","$610,000","$949,823",,
GLENDALE                 ,03 THREE FAMILY HOMES                      ,22 ,"$385,000","$766,800","$764,000","$995,000",,
HAMMELS                  ,01 ONE FAMILY HOMES                        ,15 ,"$210,840","$328,497","$299,457","$500,000",,
HAMMELS                  ,02 TWO FAMILY HOMES                        ,21 ,"$215,000","$466,629","$492,703","$660,000",,
HAMMELS                  ,03 THREE FAMILY HOMES                      ,4 ,"$200,000","$460,497","$493,350","$655,286",,
HILLCREST                ,01 ONE FAMILY HOMES                        ,30 ,"$375,000","$522,950","$510,000","$750,000",,
HILLCREST                ,02 TWO FAMILY HOMES                        ,9 ,"$539,540","$609,474","$600,000","$745,000",,
HOLLIS                   ,01 ONE FAMILY HOMES                        ,215 ,"$156,000","$459,876","$460,000","$930,000",,
HOLLIS                   ,02 TWO FAMILY HOMES                        ,94 ,"$199,524","$556,066","$571,250","$780,000",,
HOLLIS                   ,03 THREE FAMILY HOMES                      ,7 ,"$380,000","$769,964","$821,727","$949,000",,
HOLLIS HILLS             ,01 ONE FAMILY HOMES                        ,39 ,"$505,000","$746,711","$710,000","$1,400,000",,
HOLLISWOOD               ,01 ONE FAMILY HOMES                        ,34 ,"$300,000","$682,888","$707,500","$1,575,000",,
