NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES     ,2 ,"$475,000","$505,000","$505,000","$535,000"
ARVERNE                  ,01 ONE FAMILY HOMES     ,8 ,"$175,000","$265,982","$254,250","$369,274"
ARVERNE                  ,02 TWO FAMILY HOMES     ,68 ,"$150,000","$348,180","$305,000","$865,512"
ARVERNE                  ,03 THREE FAMILY HOMES   ,6 ,"$175,000","$256,608","$185,000","$489,647"
ASTORIA                  ,01 ONE FAMILY HOMES     ,43 ,"$200,000","$590,703","$575,000","$2,000,000"
ASTORIA                  ,02 TWO FAMILY HOMES     ,85 ,"$250,000","$650,123","$662,500","$1,200,000"
ASTORIA                  ,03 THREE FAMILY HOMES   ,48 ,"$250,000","$694,534","$707,000","$1,195,813"
BAYSIDE                  ,01 ONE FAMILY HOMES     ,259 ,"$160,000","$649,349","$628,500","$1,900,000"
BAYSIDE                  ,02 TWO FAMILY HOMES     ,95 ,"$236,917","$751,920","$772,500","$1,350,000"
BAYSIDE                  ,03 THREE FAMILY HOMES   ,14 ,"$405,600","$762,471","$737,500","$1,400,000"
BEECHHURST               ,01 ONE FAMILY HOMES     ,31 ,"$290,890","$827,664","$766,000","$2,200,000"
BEECHHURST               ,02 TWO FAMILY HOMES     ,4 ,"$305,000","$630,000","$652,500","$910,000"
BELLE HARBOR             ,01 ONE FAMILY HOMES     ,21 ,"$480,000","$754,395","$650,000","$1,700,000"
BELLE HARBOR             ,02 TWO FAMILY HOMES     ,13 ,"$435,000","$677,734","$585,000","$1,200,000"
BELLE HARBOR             ,03 THREE FAMILY HOMES   ,3 ,"$281,250","$602,083","$750,000","$775,000"
BELLEROSE                ,01 ONE FAMILY HOMES     ,91 ,"$180,000","$444,843","$433,000","$770,000"
BELLEROSE                ,02 TWO FAMILY HOMES     ,22 ,"$250,000","$498,650","$462,500","$825,000"
BELLEROSE                ,03 THREE FAMILY HOMES   ,1 ,"$405,000","$405,000","$405,000","$405,000"
BRIARWOOD                ,01 ONE FAMILY HOMES     ,16 ,"$191,000","$415,784","$440,044","$550,000"
BRIARWOOD                ,02 TWO FAMILY HOMES     ,7 ,"$350,000","$556,857","$565,000","$750,000"
BRIARWOOD                ,03 THREE FAMILY HOMES   ,3 ,"$560,000","$718,333","$740,000","$855,000"
BROAD CHANNEL            ,01 ONE FAMILY HOMES     ,16 ,"$150,000","$316,363","$312,750","$475,000"
