NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,,
FLUSHING-NORTH           ,03 THREE FAMILY HOMES                      , 	58 ,"$168,616","$827,458","$892,439","$1,450,000",,
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES                        , 	212 ,"$150,000","$554,685","$526,698","$1,098,888",,
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES                        , 	67 ,"$200,000","$623,861","$590,000","$990,000",,
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES                      , 	9 ,"$814,600","$884,218","$866,000","$990,000",,
FOREST HILLS             ,01 ONE FAMILY HOMES                        , 	105 ,"$357,613","$894,548","$745,000","$3,100,000",,
FOREST HILLS             ,02 TWO FAMILY HOMES                        , 	14 ,"$200,000","$725,500","$680,000","$1,775,000",,
FOREST HILLS             ,03 THREE FAMILY HOMES                      , 	2 ,"$885,000","$941,500","$941,500","$998,000",,
FRESH MEADOWS            ,01 ONE FAMILY HOMES                        , 	83 ,"$225,000","$646,229","$630,000","$999,999",,
FRESH MEADOWS            ,02 TWO FAMILY HOMES                        , 	17 ,"$380,000","$677,980","$700,000","$993,812",,
GLEN OAKS                ,01 ONE FAMILY HOMES                        , 	21 ,"$350,000","$566,444","$516,000","$980,000",,
GLEN OAKS                ,02 TWO FAMILY HOMES                        , 	2 ,"$755,000","$802,500","$802,500","$850,000",,
GLENDALE                 ,01 ONE FAMILY HOMES                        , 	55 ,"$243,080","$464,335","$460,000","$715,000",,
GLENDALE                 ,02 TWO FAMILY HOMES                        , 	86 ,"$183,000","$540,274","$530,000","$865,512",,
GLENDALE                 ,03 THREE FAMILY HOMES                      , 	25 ,"$210,000","$670,074","$740,000","$926,607",,
HAMMELS                  ,01 ONE FAMILY HOMES                        , 	7 ,"$250,000","$309,957","$292,792","$400,000",,
HAMMELS                  ,02 TWO FAMILY HOMES                        , 	18 ,"$215,000","$452,949","$463,250","$603,504",,
HAMMELS                  ,03 THREE FAMILY HOMES                      , 	7 ,"$314,340","$527,740","$600,000","$649,478",,
HILLCREST                ,01 ONE FAMILY HOMES                        , 	27 ,"$370,000","$527,269","$518,000","$813,700",,
HILLCREST                ,02 TWO FAMILY HOMES                        , 	2 ,"$372,500","$401,250","$401,250","$430,000",,
HOLLIS                   ,01 ONE FAMILY HOMES                        , 	161 ,"$200,000","$408,397","$405,000","$795,000",,
