NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES     ,3,"$505,000.00 ","$555,000.00 ","$540,000.00 ","$620,000.00 "
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES     ,1,"$540,000.00 ","$540,000.00 ","$540,000.00 ","$540,000.00 "
ARVERNE                  ,01 ONE FAMILY HOMES     ,4,"$220,000.00 ","$264,680.00 ","$265,553.00 ","$307,612.00 "
ARVERNE                  ,02 TWO FAMILY HOMES     ,59,"$232,000.00 ","$568,172.00 ","$621,132.00 ","$904,265.00 "
ARVERNE                  ,03 THREE FAMILY HOMES   ,5,"$220,000.00 ","$398,318.00 ","$300,000.00 ","$639,903.00 "
ASTORIA                  ,01 ONE FAMILY HOMES     ,61,"$200,000.00 ","$611,097.00 ","$590,000.00 ","$999,980.00 "
ASTORIA                  ,02 TWO FAMILY HOMES     ,130,"$210,000.00 ","$734,234.00 ","$747,000.00 ","$1,725,000.00 "
ASTORIA                  ,03 THREE FAMILY HOMES   ,47,"$228,105.00 ","$779,489.00 ","$805,000.00 ","$1,492,500.00 "
BAYSIDE                  ,01 ONE FAMILY HOMES     ,298,"$200,000.00 ","$660,544.00 ","$621,500.00 ","$2,200,000.00 "
BAYSIDE                  ,02 TWO FAMILY HOMES     ,106,"$260,000.00 ","$808,880.00 ","$837,500.00 ","$1,500,000.00 "
BAYSIDE                  ,03 THREE FAMILY HOMES   ,15,"$355,000.00 ","$802,833.00 ","$875,000.00 ","$958,000.00 "
BEECHHURST               ,01 ONE FAMILY HOMES     ,45,"$300,000.00 ","$685,705.00 ","$661,500.00 ","$1,200,000.00 "
BEECHHURST               ,02 TWO FAMILY HOMES     ,7,"$750,000.00 ","$1,107,571.00 ","$1,140,000.00 ","$1,350,000.00 "
BELLE HARBOR             ,01 ONE FAMILY HOMES     ,35,"$225,000.00 ","$619,996.00 ","$570,000.00 ","$1,700,000.00 "
BELLE HARBOR             ,02 TWO FAMILY HOMES     ,26,"$200,000.00 ","$554,184.00 ","$552,500.00 ","$795,000.00 "
BELLE HARBOR             ,03 THREE FAMILY HOMES   ,1,"$498,000.00 ","$498,000.00 ","$498,000.00 ","$498,000.00 "
BELLEROSE                ,01 ONE FAMILY HOMES     ,105,"$210,000.00 ","$455,676.00 ","$455,000.00 ","$890,000.00 "
BELLEROSE                ,02 TWO FAMILY HOMES     ,24,"$325,000.00 ","$512,259.00 ","$507,500.00 ","$832,212.00 "
BELLEROSE                ,03 THREE FAMILY HOMES   ,1,"$300,000.00 ","$300,000.00 ","$300,000.00 ","$300,000.00 "
BRIARWOOD                ,01 ONE FAMILY HOMES     ,20,"$262,800.00 ","$467,926.00 ","$478,750.00 ","$655,000.00 "
BRIARWOOD                ,02 TWO FAMILY HOMES     ,8,"$405,000.00 ","$573,125.00 ","$562,500.00 ","$770,000.00 "
BRIARWOOD                ,03 THREE FAMILY HOMES   ,6,"$220,000.00 ","$563,333.00 ","$625,000.00 ","$900,000.00 "
BROAD CHANNEL            ,01 ONE FAMILY HOMES     ,5,"$250,000.00 ","$380,800.00 ","$380,000.00 ","$500,000.00 "
BROAD CHANNEL            ,02 TWO FAMILY HOMES     ,1,"$365,000.00 ","$365,000.00 ","$365,000.00 ","$365,000.00 "
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES     ,72,"$215,000.00 ","$346,865.00 ","$353,500.00 ","$658,000.00 "
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES     ,4,"$230,000.00 ","$328,500.00 ","$330,000.00 ","$424,000.00 "
COLLEGE POINT            ,01 ONE FAMILY HOMES     ,66,"$315,000.00 ","$500,717.00 ","$477,500.00 ","$750,000.00 "
COLLEGE POINT            ,02 TWO FAMILY HOMES     ,100,"$200,000.00 ","$730,745.00 ","$626,500.00 ","$11,100,000.00 "
COLLEGE POINT            ,03 THREE FAMILY HOMES   ,15,"$470,000.00 ","$675,467.00 ","$650,000.00 ","$984,999.00 "
CORONA                   ,01 ONE FAMILY HOMES     ,32,"$210,000.00 ","$427,219.00 ","$434,000.00 ","$700,000.00 "
CORONA                   ,02 TWO FAMILY HOMES     ,95,"$203,000.00 ","$571,676.00 ","$560,000.00 ","$1,360,000.00 "
CORONA                   ,03 THREE FAMILY HOMES   ,57,"$306,500.00 ","$661,186.00 ","$677,136.00 ","$1,150,000.00 "
DOUGLASTON               ,01 ONE FAMILY HOMES     ,59,"$420,000.00 ","$977,505.00 ","$767,500.00 ","$2,600,000.00 "
DOUGLASTON               ,02 TWO FAMILY HOMES     ,9,"$745,000.00 ","$880,822.00 ","$845,000.00 ","$1,100,000.00 "
DOUGLASTON               ,03 THREE FAMILY HOMES   ,1,"$555,000.00 ","$555,000.00 ","$555,000.00 ","$555,000.00 "
EAST ELMHURST            ,01 ONE FAMILY HOMES     ,44,"$200,000.00 ","$416,775.00 ","$410,000.00 ","$1,575,000.00 "
EAST ELMHURST            ,02 TWO FAMILY HOMES     ,65,"$200,000.00 ","$545,788.00 ","$525,000.00 ","$961,370.00 "
EAST ELMHURST            ,03 THREE FAMILY HOMES   ,11,"$375,000.00 ","$610,273.00 ","$585,000.00 ","$970,000.00 "
ELMHURST                 ,01 ONE FAMILY HOMES     ,48,"$315,000.00 ","$558,085.00 ","$554,250.00 ","$942,000.00 "
ELMHURST                 ,02 TWO FAMILY HOMES     ,89,"$230,000.00 ","$671,506.00 ","$648,000.00 ","$1,150,000.00 "
ELMHURST                 ,03 THREE FAMILY HOMES   ,58,"$220,000.00 ","$863,840.00 ","$864,250.00 ","$1,400,000.00 "
FAR ROCKAWAY             ,01 ONE FAMILY HOMES     ,43,"$210,000.00 ","$483,187.00 ","$425,000.00 ","$999,000.00 "
FAR ROCKAWAY             ,02 TWO FAMILY HOMES     ,43,"$200,001.00 ","$459,890.00 ","$420,000.00 ","$1,155,074.00 "
FAR ROCKAWAY             ,03 THREE FAMILY HOMES   ,15,"$207,870.00 ","$357,355.00 ","$285,000.00 ","$930,000.00 "
FLORAL PARK              ,01 ONE FAMILY HOMES     ,103,"$225,000.00 ","$504,470.00 ","$500,000.00 ","$850,000.00 "
FLORAL PARK              ,02 TWO FAMILY HOMES     ,3,"$495,000.00 ","$520,000.00 ","$505,000.00 ","$560,000.00 "
FLORAL PARK              ,03 THREE FAMILY HOMES   ,2,"$568,000.00 ","$624,000.00 ","$624,000.00 ","$680,000.00 "
FLUSHING-NORTH           ,01 ONE FAMILY HOMES     ,519,"$200,000.00 ","$641,791.00 ","$625,000.00 ","$1,410,000.00 "
FLUSHING-NORTH           ,02 TWO FAMILY HOMES     ,185,"$200,000.00 ","$774,049.00 ","$780,000.00 ","$1,880,000.00 "
FLUSHING-NORTH           ,03 THREE FAMILY HOMES   ,47,"$263,640.00 ","$916,914.00 ","$900,000.00 ","$1,550,000.00 "
FLUSHING-SOUTH           ,01 ONE FAMILY HOMES     ,241,"$200,000.00 ","$572,469.00 ","$550,000.00 ","$1,588,000.00 "
FLUSHING-SOUTH           ,02 TWO FAMILY HOMES     ,68,"$225,000.00 ","$682,688.00 ","$680,000.00 ","$1,150,000.00 "
FLUSHING-SOUTH           ,03 THREE FAMILY HOMES   ,12,"$350,000.00 ","$848,241.00 ","$811,944.00 ","$2,000,000.00 "
FOREST HILLS             ,01 ONE FAMILY HOMES     ,137,"$330,000.00 ","$1,036,661.00 ","$875,000.00 ","$4,300,000.00 "
FOREST HILLS             ,02 TWO FAMILY HOMES     ,26,"$308,096.00 ","$794,764.00 ","$736,500.00 ","$1,950,000.00 "
FOREST HILLS             ,03 THREE FAMILY HOMES   ,3,"$345,000.00 ","$968,333.00 ","$1,110,000.00 ","$1,450,000.00 "
FRESH MEADOWS            ,01 ONE FAMILY HOMES     ,97,"$200,000.00 ","$626,247.00 ","$645,000.00 ","$1,200,000.00 "
FRESH MEADOWS            ,02 TWO FAMILY HOMES     ,8,"$605,000.00 ","$781,828.00 ","$709,000.00 ","$1,150,622.00 "
FRESH MEADOWS            ,03 THREE FAMILY HOMES   ,2,"$849,000.00 ","$882,000.00 ","$882,000.00 ","$915,000.00 "
GLEN OAKS                ,01 ONE FAMILY HOMES     ,17,"$310,000.00 ","$540,118.00 ","$540,000.00 ","$817,000.00 "
GLEN OAKS                ,02 TWO FAMILY HOMES     ,1,"$617,500.00 ","$617,500.00 ","$617,500.00 ","$617,500.00 "
GLENDALE                 ,01 ONE FAMILY HOMES     ,56,"$260,000.00 ","$485,201.00 ","$470,000.00 ","$800,000.00 "
GLENDALE                 ,02 TWO FAMILY HOMES     ,75,"$200,000.00 ","$525,839.00 ","$519,000.00 ","$900,000.00 "
GLENDALE                 ,03 THREE FAMILY HOMES   ,16,"$435,000.00 ","$625,119.00 ","$613,750.00 ","$860,000.00 "
HAMMELS                  ,01 ONE FAMILY HOMES     ,6,"$235,000.00 ","$306,813.00 ","$312,500.00 ","$365,876.00 "
HAMMELS                  ,02 TWO FAMILY HOMES     ,11,"$217,300.00 ","$357,865.00 ","$345,000.00 ","$602,869.00 "
HAMMELS                  ,03 THREE FAMILY HOMES   ,1,"$200,000.00 ","$200,000.00 ","$200,000.00 ","$200,000.00 "
HILLCREST                ,01 ONE FAMILY HOMES     ,23,"$375,000.00 ","$511,270.00 ","$510,000.00 ","$675,000.00 "
HILLCREST                ,02 TWO FAMILY HOMES     ,6,"$285,000.00 ","$499,250.00 ","$537,500.00 ","$587,000.00 "
HOLLIS                   ,01 ONE FAMILY HOMES     ,127,"$200,000.00 ","$354,562.00 ","$365,000.00 ","$675,000.00 "
HOLLIS                   ,02 TWO FAMILY HOMES     ,54,"$212,000.00 ","$403,641.00 ","$410,000.00 ","$655,000.00 "
HOLLIS                   ,03 THREE FAMILY HOMES   ,11,"$250,000.00 ","$464,618.00 ","$420,000.00 ","$700,000.00 "
HOLLIS HILLS             ,01 ONE FAMILY HOMES     ,36,"$480,000.00 ","$760,148.00 ","$698,000.00 ","$1,330,000.00 "
HOLLISWOOD               ,01 ONE FAMILY HOMES     ,39,"$235,000.00 ","$716,436.00 ","$735,000.00 ","$1,230,000.00 "
HOLLISWOOD               ,02 TWO FAMILY HOMES     ,1,"$240,963.00 ","$240,963.00 ","$240,963.00 ","$240,963.00 "
HOWARD BEACH             ,01 ONE FAMILY HOMES     ,81,"$200,000.00 ","$534,960.00 ","$524,000.00 ","$1,375,000.00 "
HOWARD BEACH             ,02 TWO FAMILY HOMES     ,31,"$210,000.00 ","$525,830.00 ","$558,000.00 ","$830,000.00 "
HOWARD BEACH             ,03 THREE FAMILY HOMES   ,3,"$630,000.00 ","$705,000.00 ","$660,000.00 ","$825,000.00 "
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES     ,68,"$200,000.00 ","$512,749.00 ","$520,500.00 ","$940,000.00 "
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES     ,95,"$250,000.00 ","$563,843.00 ","$570,000.00 ","$970,000.00 "
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES   ,38,"$272,000.00 ","$679,184.00 ","$705,000.00 ","$1,050,000.00 "
JAMAICA                  ,01 ONE FAMILY HOMES     ,21,"$200,000.00 ","$431,987.00 ","$390,000.00 ","$1,425,000.00 "
JAMAICA                  ,02 TWO FAMILY HOMES     ,27,"$240,000.00 ","$480,423.00 ","$498,000.00 ","$800,000.00 "
JAMAICA                  ,03 THREE FAMILY HOMES   ,8,"$404,250.00 ","$677,722.00 ","$632,500.00 ","$937,527.00 "
JAMAICA BAY              ,01 ONE FAMILY HOMES     ,1,"$230,000.00 ","$230,000.00 ","$230,000.00 ","$230,000.00 "
JAMAICA BAY              ,02 TWO FAMILY HOMES     ,3,"$339,690.00 ","$387,980.00 ","$386,250.00 ","$438,000.00 "
JAMAICA ESTATES          ,01 ONE FAMILY HOMES     ,54,"$325,000.00 ","$883,484.00 ","$852,500.00 ","$1,800,000.00 "
JAMAICA ESTATES          ,02 TWO FAMILY HOMES     ,2,"$790,000.00 ","$795,000.00 ","$795,000.00 ","$800,000.00 "
JAMAICA ESTATES          ,03 THREE FAMILY HOMES   ,2,"$675,000.00 ","$704,586.00 ","$704,586.00 ","$734,172.00 "
JAMAICA HILLS            ,01 ONE FAMILY HOMES     ,16,"$200,000.00 ","$490,106.00 ","$475,000.00 ","$829,500.00 "
JAMAICA HILLS            ,02 TWO FAMILY HOMES     ,17,"$200,000.00 ","$521,058.00 ","$550,000.00 ","$850,000.00 "
JAMAICA HILLS            ,03 THREE FAMILY HOMES   ,2,"$217,000.00 ","$526,000.00 ","$526,000.00 ","$835,000.00 "
KEW GARDENS              ,01 ONE FAMILY HOMES     ,33,"$247,000.00 ","$698,864.00 ","$645,000.00 ","$1,415,000.00 "
KEW GARDENS              ,02 TWO FAMILY HOMES     ,12,"$245,000.00 ","$518,458.00 ","$523,250.00 ","$701,000.00 "
KEW GARDENS              ,03 THREE FAMILY HOMES   ,4,"$450,000.00 ","$669,500.00 ","$649,500.00 ","$929,000.00 "
LAURELTON                ,01 ONE FAMILY HOMES     ,102,"$200,000.00 ","$336,707.00 ","$359,380.00 ","$492,000.00 "
LAURELTON                ,02 TWO FAMILY HOMES     ,30,"$215,000.00 ","$398,054.00 ","$412,500.00 ","$635,000.00 "
LITTLE NECK              ,01 ONE FAMILY HOMES     ,79,"$350,000.00 ","$737,114.00 ","$672,000.00 ","$2,150,000.00 "
LITTLE NECK              ,02 TWO FAMILY HOMES     ,10,"$690,000.00 ","$1,005,215.00 ","$967,550.00 ","$1,272,812.00 "
LITTLE NECK              ,03 THREE FAMILY HOMES   ,2,"$749,250.00 ","$749,625.00 ","$749,625.00 ","$750,000.00 "
LONG ISLAND CITY         ,01 ONE FAMILY HOMES     ,7,"$270,000.00 ","$1,221,429.00 ","$525,000.00 ","$5,300,000.00 "
LONG ISLAND CITY         ,02 TWO FAMILY HOMES     ,31,"$340,000.00 ","$881,598.00 ","$680,000.00 ","$3,054,750.00 "
LONG ISLAND CITY         ,03 THREE FAMILY HOMES   ,6,"$578,000.00 ","$1,154,336.00 ","$975,000.00 ","$1,825,000.00 "
MASPETH                  ,01 ONE FAMILY HOMES     ,78,"$225,000.00 ","$471,100.00 ","$485,000.00 ","$782,000.00 "
MASPETH                  ,02 TWO FAMILY HOMES     ,96,"$200,000.00 ","$528,486.00 ","$520,000.00 ","$982,000.00 "
MASPETH                  ,03 THREE FAMILY HOMES   ,18,"$225,000.00 ","$587,694.00 ","$617,500.00 ","$870,000.00 "
MIDDLE VILLAGE           ,01 ONE FAMILY HOMES     ,141,"$226,800.00 ","$522,880.00 ","$522,000.00 ","$849,000.00 "
MIDDLE VILLAGE           ,02 TWO FAMILY HOMES     ,63,"$203,241.00 ","$607,008.00 ","$635,000.00 ","$950,000.00 "
MIDDLE VILLAGE           ,03 THREE FAMILY HOMES   ,25,"$230,000.00 ","$671,996.00 ","$700,000.00 ","$877,500.00 "
NEPONSIT                 ,01 ONE FAMILY HOMES     ,28,"$375,000.00 ","$757,793.00 ","$770,000.00 ","$1,585,000.00 "
OAKLAND GARDENS          ,01 ONE FAMILY HOMES     ,60,"$200,000.00 ","$633,570.00 ","$662,500.00 ","$955,000.00 "
OAKLAND GARDENS          ,02 TWO FAMILY HOMES     ,15,"$738,000.00 ","$977,128.00 ","$950,000.00 ","$1,303,360.00 "
OAKLAND GARDENS          ,03 THREE FAMILY HOMES   ,2,"$880,000.00 ","$890,000.00 ","$890,000.00 ","$900,000.00 "
OZONE PARK               ,01 ONE FAMILY HOMES     ,82,"$214,000.00 ","$375,240.00 ","$370,500.00 ","$833,612.00 "
OZONE PARK               ,02 TWO FAMILY HOMES     ,126,"$200,000.00 ","$443,687.00 ","$443,000.00 ","$720,000.00 "
OZONE PARK               ,03 THREE FAMILY HOMES   ,16,"$225,000.00 ","$454,463.00 ","$437,000.00 ","$700,556.00 "
QUEENS VILLAGE           ,01 ONE FAMILY HOMES     ,208,"$200,000.00 ","$356,296.00 ","$359,000.00 ","$689,355.00 "
QUEENS VILLAGE           ,02 TWO FAMILY HOMES     ,57,"$212,000.00 ","$414,691.00 ","$400,000.00 ","$695,000.00 "
QUEENS VILLAGE           ,03 THREE FAMILY HOMES   ,5,"$215,000.00 ","$468,400.00 ","$519,000.00 ","$700,000.00 "
QUEENS-UNKNOWN           ,03 THREE FAMILY HOMES   ,1,"$950,000.00 ","$950,000.00 ","$950,000.00 ","$950,000.00 "
REGO PARK                ,01 ONE FAMILY HOMES     ,62,"$400,000.00 ","$661,626.00 ","$620,000.00 ","$1,125,000.00 "
REGO PARK                ,02 TWO FAMILY HOMES     ,27,"$200,000.00 ","$772,220.00 ","$740,000.00 ","$1,120,000.00 "
REGO PARK                ,03 THREE FAMILY HOMES   ,9,"$625,000.00 ","$860,889.00 ","$880,000.00 ","$1,200,000.00 "
RICHMOND HILL            ,01 ONE FAMILY HOMES     ,146,"$200,000.00 ","$370,394.00 ","$362,750.00 ","$920,681.00 "
RICHMOND HILL            ,02 TWO FAMILY HOMES     ,165,"$210,000.00 ","$445,726.00 ","$450,000.00 ","$2,100,000.00 "
RICHMOND HILL            ,03 THREE FAMILY HOMES   ,22,"$350,000.00 ","$510,821.00 ","$520,000.00 ","$740,000.00 "
RIDGEWOOD                ,01 ONE FAMILY HOMES     ,17,"$210,300.00 ","$425,803.00 ","$450,000.00 ","$565,000.00 "
RIDGEWOOD                ,02 TWO FAMILY HOMES     ,98,"$225,000.00 ","$560,136.00 ","$545,000.00 ","$1,415,000.00 "
RIDGEWOOD                ,03 THREE FAMILY HOMES   ,34,"$275,000.00 ","$632,794.00 ","$630,000.00 ","$870,000.00 "
ROCKAWAY PARK            ,01 ONE FAMILY HOMES     ,4,"$315,000.00 ","$379,250.00 ","$376,000.00 ","$450,000.00 "
ROCKAWAY PARK            ,02 TWO FAMILY HOMES     ,10,"$200,000.00 ","$377,926.00 ","$410,000.00 ","$500,000.00 "
ROCKAWAY PARK            ,03 THREE FAMILY HOMES   ,5,"$220,000.00 ","$333,100.00 ","$320,000.00 ","$420,502.00 "
ROSEDALE                 ,01 ONE FAMILY HOMES     ,92,"$200,000.00 ","$340,330.00 ","$341,000.00 ","$640,479.00 "
ROSEDALE                 ,02 TWO FAMILY HOMES     ,99,"$210,000.00 ","$444,925.00 ","$437,000.00 ","$650,000.00 "
ROSEDALE                 ,03 THREE FAMILY HOMES   ,3,"$270,000.00 ","$343,967.00 ","$375,000.00 ","$386,900.00 "
SO. JAMAICA-BAISLEY PARK ,01 ONE FAMILY HOMES     ,190,"$200,000.00 ","$306,280.00 ","$301,000.00 ","$605,016.00 "
SO. JAMAICA-BAISLEY PARK ,02 TWO FAMILY HOMES     ,103,"$200,000.00 ","$421,220.00 ","$438,105.00 ","$647,607.00 "
SO. JAMAICA-BAISLEY PARK ,03 THREE FAMILY HOMES   ,1,"$265,000.00 ","$265,000.00 ","$265,000.00 ","$265,000.00 "
SOUTH JAMAICA            ,01 ONE FAMILY HOMES     ,94,"$200,000.00 ","$311,178.00 ","$308,500.00 ","$798,175.00 "
