NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
AIRPORT LA GUARDIA       ,01 ONE FAMILY HOMES                        , 	1 ,"$485,000","$485,000","$485,000","$485,000"
AIRPORT LA GUARDIA       ,02 TWO FAMILY HOMES                        , 	1 ,"$480,000","$480,000","$480,000","$480,000"
ARVERNE                  ,01 ONE FAMILY HOMES                        , 	32 ,"$161,000","$297,194","$310,276","$390,291"
ARVERNE                  ,02 TWO FAMILY HOMES                        , 	112 ,"$160,000","$505,043","$427,868","$1,170,987"
ARVERNE                  ,03 THREE FAMILY HOMES                      , 	6 ,"$165,000","$414,658","$506,796","$582,320"
ASTORIA                  ,01 ONE FAMILY HOMES                        , 	54 ,"$150,000","$552,234","$556,000","$1,207,099"
ASTORIA                  ,02 TWO FAMILY HOMES                        , 	74 ,"$175,000","$689,831","$700,000","$1,600,000"
ASTORIA                  ,03 THREE FAMILY HOMES                      , 	44 ,"$155,000","$653,181","$715,000","$1,070,000"
BAYSIDE                  ,01 ONE FAMILY HOMES                        , 	246 ,"$150,000","$606,888","$600,000","$2,225,000"
BAYSIDE                  ,02 TWO FAMILY HOMES                        , 	74 ,"$150,000","$751,116","$777,500","$1,110,000"
BAYSIDE                  ,03 THREE FAMILY HOMES                      , 	14 ,"$300,000","$814,500","$872,500","$1,075,000"
BEECHHURST               ,01 ONE FAMILY HOMES                        , 	20 ,"$257,500","$679,765","$650,000","$1,125,000"
BEECHHURST               ,02 TWO FAMILY HOMES                        , 	2 ,"$910,000","$1,235,000","$1,235,000","$1,560,000"
BELLE HARBOR             ,01 ONE FAMILY HOMES                        , 	25 ,"$325,000","$720,756","$700,000","$1,225,000"
BELLE HARBOR             ,02 TWO FAMILY HOMES                        , 	19 ,"$430,000","$737,708","$700,000","$1,275,000"
BELLEROSE                ,01 ONE FAMILY HOMES                        , 	101 ,"$150,000","$445,081","$440,000","$780,000"
BELLEROSE                ,02 TWO FAMILY HOMES                        , 	27 ,"$153,500","$525,935","$517,000","$1,450,000"
BRIARWOOD                ,01 ONE FAMILY HOMES                        , 	18 ,"$292,000","$428,607","$430,000","$650,000"
BRIARWOOD                ,02 TWO FAMILY HOMES                        , 	7 ,"$372,138","$500,948","$492,000","$615,500"
BRIARWOOD                ,03 THREE FAMILY HOMES                      , 	5 ,"$184,925","$569,985","$730,000","$760,000"
BROAD CHANNEL            ,01 ONE FAMILY HOMES                        , 	25 ,"$168,256","$323,210","$330,000","$529,881"
BROAD CHANNEL            ,02 TWO FAMILY HOMES                        , 	1 ,"$450,000","$450,000","$450,000","$450,000"
CAMBRIA HEIGHTS          ,01 ONE FAMILY HOMES                        , 	76 ,"$173,000","$339,606","$356,200","$479,824"
CAMBRIA HEIGHTS          ,02 TWO FAMILY HOMES                        , 	8 ,"$230,000","$359,528","$349,750","$624,000"
COLLEGE POINT            ,01 ONE FAMILY HOMES                        , 	60 ,"$150,000","$452,241","$435,000","$977,520"
COLLEGE POINT            ,02 TWO FAMILY HOMES                        , 	101 ,"$175,000","$629,599","$599,468","$1,160,805"
COLLEGE POINT            ,03 THREE FAMILY HOMES                      , 	7 ,"$408,900","$611,132","$550,000","$894,023"
CORONA                   ,01 ONE FAMILY HOMES                        , 	17 ,"$240,000","$400,471","$350,000","$790,000"
CORONA                   ,02 TWO FAMILY HOMES                        , 	108 ,"$150,000","$490,055","$470,000","$1,236,300"
CORONA                   ,03 THREE FAMILY HOMES                      , 	62 ,"$268,000","$729,560","$766,000","$1,042,934"
DOUGLASTON               ,01 ONE FAMILY HOMES                        , 	43 ,"$515,000","$934,106","$900,000","$2,700,000"
DOUGLASTON               ,02 TWO FAMILY HOMES                        , 	7 ,"$410,000","$922,269","$784,000","$1,900,000"
EAST ELMHURST            ,01 ONE FAMILY HOMES                        , 	55 ,"$229,500","$446,447","$420,000","$799,000"
EAST ELMHURST            ,02 TWO FAMILY HOMES                        , 	75 ,"$228,150","$497,409","$479,134","$859,182"
EAST ELMHURST            ,03 THREE FAMILY HOMES                      , 	15 ,"$267,417","$535,799","$535,000","$957,622"
ELMHURST                 ,01 ONE FAMILY HOMES                        , 	73 ,"$200,000","$486,767","$499,000","$770,000"
ELMHURST                 ,02 TWO FAMILY HOMES                        , 	87 ,"$150,000","$637,754","$645,500","$1,085,000"
ELMHURST                 ,03 THREE FAMILY HOMES                      , 	70 ,"$173,500","$788,719","$795,000","$1,200,000"
FAR ROCKAWAY             ,01 ONE FAMILY HOMES                        , 	58 ,"$152,100","$462,934","$433,111","$900,000"
FAR ROCKAWAY             ,02 TWO FAMILY HOMES                        , 	118 ,"$150,000","$346,504","$289,495","$750,000"
FAR ROCKAWAY             ,03 THREE FAMILY HOMES                      , 	47 ,"$180,000","$429,958","$481,000","$647,200"
FLORAL PARK              ,01 ONE FAMILY HOMES                        , 	102 ,"$150,000","$481,548","$469,000","$755,000"
FLORAL PARK              ,02 TWO FAMILY HOMES                        , 	7 ,"$415,000","$537,929","$560,000","$645,000"
FLORAL PARK              ,03 THREE FAMILY HOMES                      , 	3 ,"$615,000","$646,000","$620,000","$703,000"
FLUSHING-NORTH           ,01 ONE FAMILY HOMES                        , 	378 ,"$150,400","$587,891","$580,000","$1,370,000"
