NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
GLEN OAKS                ,02 TWO FAMILY HOMES     ,4 ,"$300,000","$442,500","$465,000","$540,000"
GLENDALE                 ,01 ONE FAMILY HOMES     ,61 ,"$170,000","$410,581","$410,000","$780,000"
GLENDALE                 ,02 TWO FAMILY HOMES     ,53 ,"$150,000","$467,155","$480,000","$644,000"
GLENDALE                 ,03 THREE FAMILY HOMES   ,10 ,"$470,000","$776,364","$820,200","$916,425"
HAMMELS                  ,01 ONE FAMILY HOMES     ,7 ,"$180,000","$289,214","$294,000","$412,000"
HAMMELS                  ,02 TWO FAMILY HOMES     ,14 ,"$150,000","$258,956","$255,426","$500,000"
HAMMELS                  ,03 THREE FAMILY HOMES   ,2 ,"$250,000","$375,000","$375,000","$500,000"
HILLCREST                ,01 ONE FAMILY HOMES     ,13 ,"$355,000","$487,490","$475,000","$773,870"
HILLCREST                ,02 TWO FAMILY HOMES     ,1 ,"$460,000","$460,000","$460,000","$460,000"
HOLLIS                   ,01 ONE FAMILY HOMES     ,134 ,"$150,000","$316,458","$321,600","$580,000"
HOLLIS                   ,02 TWO FAMILY HOMES     ,55 ,"$165,000","$341,636","$340,000","$600,000"
HOLLIS                   ,03 THREE FAMILY HOMES   ,11 ,"$230,000","$452,313","$425,000","$610,423"
HOLLIS HILLS             ,01 ONE FAMILY HOMES     ,31 ,"$210,000","$661,274","$628,000","$1,150,000"
HOLLISWOOD               ,01 ONE FAMILY HOMES     ,29 ,"$156,700","$731,123","$680,000","$1,495,000"
HOLLISWOOD               ,02 TWO FAMILY HOMES     ,3 ,"$650,000","$741,667","$725,000","$850,000"
HOLLISWOOD               ,03 THREE FAMILY HOMES   ,1 ,"$445,000","$445,000","$445,000","$445,000"
HOWARD BEACH             ,01 ONE FAMILY HOMES     ,76 ,"$150,000","$539,546","$555,000","$1,100,000"
HOWARD BEACH             ,02 TWO FAMILY HOMES     ,28 ,"$430,000","$583,571","$582,500","$720,000"
HOWARD BEACH             ,03 THREE FAMILY HOMES   ,3 ,"$396,000","$528,000","$550,000","$638,000"
JACKSON HEIGHTS          ,01 ONE FAMILY HOMES     ,68 ,"$150,000","$473,002","$478,750","$850,000"
JACKSON HEIGHTS          ,02 TWO FAMILY HOMES     ,72 ,"$250,000","$573,646","$555,000","$925,000"
JACKSON HEIGHTS          ,03 THREE FAMILY HOMES   ,21 ,"$200,000","$646,048","$665,000","$960,000"
JAMAICA                  ,01 ONE FAMILY HOMES     ,26 ,"$225,000","$350,852","$327,500","$596,743"
JAMAICA                  ,02 TWO FAMILY HOMES     ,39 ,"$150,425","$381,585","$340,000","$720,000"
JAMAICA                  ,03 THREE FAMILY HOMES   ,18 ,"$244,000","$571,907","$560,000","$946,972"
JAMAICA BAY              ,01 ONE FAMILY HOMES     ,2 ,"$185,000","$210,000","$210,000","$235,000"
JAMAICA BAY              ,02 TWO FAMILY HOMES     ,4 ,"$175,000","$310,000","$260,000","$545,000"
JAMAICA ESTATES          ,01 ONE FAMILY HOMES     ,54 ,"$212,000","$725,162","$727,000","$1,217,900"
JAMAICA ESTATES          ,02 TWO FAMILY HOMES     ,3 ,"$250,000","$541,000","$608,000","$765,000"
JAMAICA ESTATES          ,03 THREE FAMILY HOMES   ,1 ,"$677,000","$677,000","$677,000","$677,000"
JAMAICA HILLS            ,01 ONE FAMILY HOMES     ,26 ,"$150,000","$436,779","$465,000","$715,000"
JAMAICA HILLS            ,02 TWO FAMILY HOMES     ,20 ,"$183,000","$430,418","$421,000","$645,000"
KEW GARDENS              ,01 ONE FAMILY HOMES     ,20 ,"$160,000","$664,925","$745,000","$1,220,000"
KEW GARDENS              ,02 TWO FAMILY HOMES     ,12 ,"$290,000","$460,722","$462,500","$600,000"
KEW GARDENS              ,03 THREE FAMILY HOMES   ,3 ,"$161,600","$370,533","$200,000","$750,000"
LAURELTON                ,01 ONE FAMILY HOMES     ,103 ,"$155,000","$308,860","$325,000","$620,000"
LAURELTON                ,02 TWO FAMILY HOMES     ,44 ,"$150,000","$322,025","$299,485","$712,775"
LITTLE NECK              ,01 ONE FAMILY HOMES     ,51 ,"$300,000","$719,060","$645,000","$2,300,000"
LITTLE NECK              ,02 TWO FAMILY HOMES     ,8 ,"$200,000","$698,125","$736,000","$887,000"
LONG ISLAND CITY         ,01 ONE FAMILY HOMES     ,6 ,"$275,000","$454,583","$386,250","$800,000"
LONG ISLAND CITY         ,02 TWO FAMILY HOMES     ,15 ,"$206,021","$624,768","$605,000","$1,165,000"
LONG ISLAND CITY         ,03 THREE FAMILY HOMES   ,7 ,"$233,333","$672,000","$605,000","$999,000"
MASPETH                  ,01 ONE FAMILY HOMES     ,66 ,"$175,000","$426,832","$436,750","$675,000"
MASPETH                  ,02 TWO FAMILY HOMES     ,83 ,"$150,000","$470,344","$479,000","$900,000"
MASPETH                  ,03 THREE FAMILY HOMES   ,18 ,"$400,000","$608,778","$595,000","$870,000"
