Seven Major Felony Offenses,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
PCT,CRIME,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
48,MURDER & NON NEGL. MANSLAUGHTER                                ,17,13,7,8,13,9,17,8,13,7,5,12,9,4,10,6,7,8
,RAPE                                  ,53,40,39,40,31,31,27,28,30,25,20,19,21,24,22,38,22,26
,ROBBERY                               ,437,432,418,390,396,398,471,409,411,382,400,415,442,422,386,365,332,284
,FELONY ASSAULT                        ,513,432,439,343,309,287,242,337,323,362,368,342,385,460,499,556,453,442
,BURGLARY                              ,620,406,375,424,390,301,324,325,290,286,254,200,208,250,271,222,190,183
,GRAND LARCENY                         ,277,286,333,330,334,343,388,343,355,327,321,353,473,506,508,485,485,487
,GRAND LARCENY OF MOTOR VEHICLE                                  ,322,308,310,274,259,234,183,175,158,130,122,141,95,102,76,117,73,76
,TOTAL SEVEN MAJOR FELONY OFFENSES,2239,1917,1921,1809,1732,1603,1652,1625,1580,1519,1490,1482,1633,1768,1772,1789,1562,1506
49,MURDER & NON NEGL. MANSLAUGHTER                                ,13,5,5,8,4,4,8,6,7,7,10,3,8,2,6,6,4,3
,RAPE                                  ,18,19,26,25,18,21,19,19,19,11,23,18,17,15,18,30,24,13
,ROBBERY                               ,392,279,245,245,324,299,310,308,355,266,317,372,331,210,179,228,228,221
,FELONY ASSAULT                        ,297,246,216,183,157,182,197,213,205,214,262,259,268,218,183,191,282,253
,BURGLARY                              ,584,581,503,430,474,389,411,395,356,404,379,391,344,232,190,185,180,180
,GRAND LARCENY                         ,476,364,564,541,445,499,503,481,447,450,454,454,421,360,364,440,435,493
,GRAND LARCENY OF MOTOR VEHICLE                                  ,791,578,550,501,497,452,345,327,326,240,236,231,183,111,133,164,138,98
,TOTAL SEVEN MAJOR FELONY OFFENSES,2571,2072,2109,1933,1919,1846,1793,1749,1715,1592,1681,1728,1572,1148,1073,1244,1291,1261
50,MURDER & NON NEGL. MANSLAUGHTER                                ,5,8,5,3,4,5,8,4,2,1,5,4,6,2,1,2,4,3
,RAPE                                  ,19,23,20,23,24,16,16,7,9,8,8,9,10,2,18,17,9,8
,ROBBERY                               ,204,200,204,201,191,197,177,145,149,133,166,192,146,150,140,154,136,102
,FELONY ASSAULT                        ,182,156,122,153,148,147,144,152,142,112,118,115,131,149,137,104,154,140
,BURGLARY                              ,409,355,285,286,263,221,185,214,204,191,167,207,178,154,175,108,115,118
,GRAND LARCENY                         ,370,278,316,317,356,383,375,379,400,373,363,386,421,415,417,471,469,522
,GRAND LARCENY OF MOTOR VEHICLE                                  ,557,445,404,310,253,250,220,202,179,195,135,107,103,87,85,95,89,78
,TOTAL SEVEN MAJOR FELONY OFFENSES,1746,1465,1356,1293,1239,1219,1125,1103,1085,1013,962,1020,995,959,973,951,976,971
52,MURDER & NON NEGL. MANSLAUGHTER                                ,25,23,16,13,8,17,13,13,11,7,11,8,6,12,7,12,3,2
,RAPE                                  ,51,56,50,47,29,36,28,32,28,24,27,22,24,26,27,30,28,27
,ROBBERY                               ,741,608,610,655,575,522,547,539,513,513,511,519,546,473,439,457,454,332
,FELONY ASSAULT                        ,621,555,563,471,475,436,469,455,453,403,455,396,398,484,541,556,593,519
,BURGLARY                              ,1071,772,778,721,735,632,500,505,448,502,433,448,415,354,371,275,272,170
,GRAND LARCENY                         ,505,547,548,474,612,600,571,609,641,547,556,635,634,737,706,668,636,640
,GRAND LARCENY OF MOTOR VEHICLE                                  ,645,560,497,496,472,454,310,272,271,223,188,146,139,120,103,111,109,104
,TOTAL SEVEN MAJOR FELONY OFFENSES,3659,3121,3062,2877,2906,2697,2438,2425,2365,2219,2181,2174,2162,2206,2194,2109,2095,1794
60,MURDER & NON NEGL. MANSLAUGHTER                                ,8,11,5,10,18,8,5,4,8,9,10,6,4,8,10,4,3,8
,RAPE                                  ,26,28,29,14,12,26,13,8,15,10,18,12,23,18,21,25,16,16
,ROBBERY                               ,536,458,431,446,350,366,365,316,328,240,263,251,299,309,267,273,155,142
,FELONY ASSAULT                        ,400,319,298,263,231,264,257,266,253,213,211,281,211,283,314,315,254,235
,BURGLARY                              ,445,299,294,278,279,277,231,198,174,149,163,200,257,214,193,165,104,61
,GRAND LARCENY                         ,575,434,497,443,443,574,605,567,568,533,542,483,562,523,592,535,361,382
,GRAND LARCENY OF MOTOR VEHICLE                                  ,393,262,277,256,175,171,148,133,107,96,116,89,79,66,68,87,56,49
,TOTAL SEVEN MAJOR FELONY OFFENSES,2383,1811,1831,1710,1508,1686,1624,1492,1453,1250,1323,1322,1435,1421,1465,1404,949,893
61,MURDER & NON NEGL. MANSLAUGHTER                                ,6,4,9,10,2,7,6,4,6,3,6,14,3,2,2,5,2,2
,RAPE                                  ,19,17,24,19,9,20,12,10,5,10,5,11,10,19,12,12,11,11
,ROBBERY                               ,521,363,356,365,289,279,264,241,290,191,152,190,259,248,227,214,133,152
,FELONY ASSAULT                        ,302,172,179,154,152,163,129,154,138,142,112,151,146,199,187,184,185,193
,BURGLARY                              ,959,701,625,643,607,465,375,386,416,310,248,255,369,346,342,338,184,222
,GRAND LARCENY                         ,882,641,745,794,895,835,698,595,669,484,397,435,752,726,797,620,566,592
,GRAND LARCENY OF MOTOR VEHICLE                                  ,896,616,592,524,396,385,318,228,228,162,187,146,129,126,131,120,93,96
,TOTAL SEVEN MAJOR FELONY OFFENSES,3585,2514,2530,2509,2350,2154,1802,1618,1752,1302,1107,1202,1668,1666,1698,1493,1174,1268
62,MURDER & NON NEGL. MANSLAUGHTER                                ,5,4,1,3,7,1,4,2,5,7,7,2,4,3,0,1,0,1
,RAPE                                  ,22,17,14,10,21,11,7,12,10,6,13,12,8,16,11,10,12,14
,ROBBERY                               ,352,298,284,226,305,250,252,211,277,205,175,172,214,235,159,172,170,166
,FELONY ASSAULT                        ,253,183,174,163,205,186,155,177,145,150,137,162,183,181,201,210,197,182
,BURGLARY                              ,769,642,623,540,496,579,458,396,345,330,301,250,255,308,303,232,168,200
,GRAND LARCENY                         ,504,482,561,654,640,647,656,568,527,474,457,456,503,552,513,505,473,489
,GRAND LARCENY OF MOTOR VEHICLE                                  ,612,485,442,380,283,311,266,217,165,160,159,158,131,110,99,112,104,77
,TOTAL SEVEN MAJOR FELONY OFFENSES,2517,2111,2099,1976,1957,1985,1798,1583,1474,1332,1249,1212,1298,1405,1286,1242,1124,1129
63,MURDER & NON NEGL. MANSLAUGHTER                                ,3,3,3,10,2,4,9,3,9,6,2,2,8,8,3,5,5,3
,RAPE                                  ,12,19,15,19,12,20,13,7,7,12,17,16,15,13,6,2,8,12
,ROBBERY                               ,353,263,248,325,267,284,269,235,292,257,225,234,238,165,192,146,122,117
,FELONY ASSAULT                        ,177,172,146,135,111,142,120,128,128,154,130,187,237,186,160,161,137,148
,BURGLARY                              ,399,304,283,258,236,219,237,315,278,241,273,257,251,196,176,186,128,103
,GRAND LARCENY                         ,545,492,546,583,680,671,726,682,687,596,529,517,534,636,567,535,560,529
,GRAND LARCENY OF MOTOR VEHICLE                                  ,704,490,460,390,326,312,271,207,188,174,159,126,106,92,107,101,74,66
,TOTAL SEVEN MAJOR FELONY OFFENSES,2193,1743,1701,1720,1634,1652,1645,1577,1589,1440,1335,1339,1389,1296,1211,1136,1034,978
66,MURDER & NON NEGL. MANSLAUGHTER                                ,3,1,6,6,1,6,3,0,3,8,0,2,1,6,1,4,1,0
,RAPE                                  ,19,19,20,9,13,17,8,10,10,14,11,8,7,7,8,20,15,11
,ROBBERY                               ,349,285,266,222,215,259,230,210,220,180,178,190,183,137,142,133,123,103
,FELONY ASSAULT                        ,211,218,163,171,133,169,144,147,154,171,170,161,163,150,123,159,178,152
,BURGLARY                              ,663,548,536,443,448,362,382,354,367,394,383,335,324,277,285,258,166,159
,GRAND LARCENY                         ,396,343,360,460,479,484,504,543,487,442,387,447,464,474,498,473,468,406
,GRAND LARCENY OF MOTOR VEHICLE                                  ,560,459,378,325,294,273,206,158,146,154,135,130,102,140,97,90,89,81
,TOTAL SEVEN MAJOR FELONY OFFENSES,2201,1873,1729,1636,1583,1570,1477,1422,1387,1363,1264,1273,1244,1191,1154,1137,1040,912
67,MURDER & NON NEGL. MANSLAUGHTER                                ,26,21,25,28,25,19,19,19,18,18,26,22,15,11,12,17,14,17
,RAPE                                  ,71,53,60,48,49,44,28,22,21,24,31,45,32,50,41,41,44,39
,ROBBERY                               ,743,685,676,528,492,523,508,412,494,408,417,521,496,519,478,429,414,334
,FELONY ASSAULT                        ,905,743,649,610,497,481,477,437,411,475,445,619,589,569,587,499,612,609
,BURGLARY                              ,851,848,712,603,537,540,533,472,445,432,405,458,452,388,351,298,267,225
,GRAND LARCENY                         ,561,603,628,596,644,663,665,617,616,499,522,513,647,677,687,667,620,654
,GRAND LARCENY OF MOTOR VEHICLE                                  ,829,702,594,522,538,466,389,383,305,272,274,277,209,169,166,164,119,129
,TOTAL SEVEN MAJOR FELONY OFFENSES,3986,3655,3344,2935,2782,2736,2619,2362,2310,2128,2120,2455,2440,2383,2322,2115,2090,2007
68,MURDER & NON NEGL. MANSLAUGHTER                                ,2,0,2,1,4,1,2,5,0,1,1,1,1,0,1,0,3,3
,RAPE                                  ,13,18,11,9,11,11,8,7,9,6,6,9,16,4,13,6,9,13
,ROBBERY                               ,233,197,155,148,153,144,142,133,154,118,103,101,112,98,93,97,87,81
,FELONY ASSAULT                        ,218,173,140,153,127,133,131,132,105,79,100,145,110,102,124,129,132,114
,BURGLARY                              ,479,461,538,454,408,380,368,309,340,219,240,206,200,236,195,227,133,123
,GRAND LARCENY                         ,333,429,466,473,468,496,524,435,382,407,317,366,393,388,408,390,402,424
,GRAND LARCENY OF MOTOR VEHICLE                                  ,523,409,358,333,317,294,261,194,184,156,147,122,113,119,111,109,101,94
,TOTAL SEVEN MAJOR FELONY OFFENSES,1801,1687,1670,1571,1488,1459,1436,1215,1174,986,914,950,945,947,945,958,867,852
69,MURDER & NON NEGL. MANSLAUGHTER                                ,8,7,9,8,9,4,7,9,7,6,9,6,4,3,3,4,6,7
,RAPE                                  ,28,36,39,28,19,25,9,16,18,16,15,16,8,13,14,20,17,17
,ROBBERY                               ,481,355,401,433,346,286,314,215,238,254,229,233,220,241,202,188,164,139
,FELONY ASSAULT                        ,332,277,212,216,220,202,206,153,162,129,160,197,205,223,257,253,244,221
,BURGLARY                              ,431,293,247,235,234,208,198,189,208,172,253,231,308,255,225,124,99,89
,GRAND LARCENY                         ,394,339,343,411,396,456,475,388,355,305,244,273,314,363,354,367,336,306
,GRAND LARCENY OF MOTOR VEHICLE                                  ,577,438,457,418,333,294,206,189,205,201,113,127,78,88,98,101,95,75
,TOTAL SEVEN MAJOR FELONY OFFENSES,2251,1745,1708,1749,1557,1475,1415,1159,1193,1083,1023,1083,1137,1186,1153,1057,961,854
70,MURDER & NON NEGL. MANSLAUGHTER                                ,13,13,19,17,9,11,11,7,7,9,7,10,11,8,3,17,5,6
,RAPE                                  ,51,62,48,51,42,27,38,27,33,11,24,21,15,25,22,18,25,24
,ROBBERY                               ,1004,878,861,795,805,803,615,480,515,382,400,381,386,373,325,350,237,221
,FELONY ASSAULT                        ,593,537,456,449,376,390,369,468,346,337,362,336,266,276,315,263,261,257
,BURGLARY                              ,1005,908,889,794,682,543,524,478,408,370,322,338,354,321,294,283,180,180
,GRAND LARCENY                         ,877,670,783,842,851,888,936,793,864,759,672,703,739,720,674,646,646,521
,GRAND LARCENY OF MOTOR VEHICLE                                  ,882,621,534,518,460,323,267,213,202,209,184,123,118,109,92,97,83,79
,TOTAL SEVEN MAJOR FELONY OFFENSES,4425,3689,3590,3466,3225,2985,2760,2466,2375,2077,1971,1912,1889,1832,1725,1674,1437,1288
71,MURDER & NON NEGL. MANSLAUGHTER                                ,12,14,11,11,9,21,18,11,16,10,10,9,3,6,5,4,5,3
,RAPE                                  ,30,38,43,32,26,26,18,17,13,23,13,20,16,17,19,21,13,22
,ROBBERY                               ,674,581,501,492,393,444,425,386,421,308,273,300,321,328,294,297,225,228
,FELONY ASSAULT                        ,589,506,455,421,377,369,344,324,312,299,293,385,347,372,389,373,371,303
,BURGLARY                              ,690,491,619,494,454,378,322,316,304,251,307,236,213,195,179,209,164,132
,GRAND LARCENY                         ,589,525,449,500,454,471,464,452,429,429,423,380,616,639,533,497,482,505
,GRAND LARCENY OF MOTOR VEHICLE                                  ,457,444,343,273,312,306,272,223,159,154,150,122,126,80,81,96,78,77
,TOTAL SEVEN MAJOR FELONY OFFENSES,3041,2599,2421,2223,2025,2015,1863,1729,1654,1474,1469,1452,1642,1637,1500,1497,1338,1270
72,MURDER & NON NEGL. MANSLAUGHTER                                ,8,6,7,5,5,6,4,3,8,8,7,5,2,5,1,3,4,2
,RAPE                                  ,28,33,27,22,26,24,21,10,7,11,20,25,23,22,15,20,24,21
,ROBBERY                               ,500,413,338,339,331,311,272,281,300,226,251,242,209,232,199,212,194,170
,FELONY ASSAULT                        ,328,271,262,260,208,237,208,209,203,198,188,255,230,206,260,225,240,225
,BURGLARY                              ,561,554,433,498,424,375,359,263,244,243,245,204,178,177,188,212,141,144
,GRAND LARCENY                         ,328,297,347,438,456,430,402,382,357,339,372,388,397,437,420,388,424,420
,GRAND LARCENY OF MOTOR VEHICLE                                  ,404,402,390,386,318,288,223,166,194,147,119,99,113,127,102,106,112,108
,TOTAL SEVEN MAJOR FELONY OFFENSES,2157,1976,1804,1948,1768,1671,1489,1314,1313,1172,1202,1218,1152,1206,1185,1166,1139,1090
73,MURDER & NON NEGL. MANSLAUGHTER                                ,13,26,16,12,28,16,22,28,31,21,28,26,16,15,18,14,14,9
,RAPE                                  ,56,56,33,47,40,43,35,33,29,37,35,31,35,42,34,34,33,32
,ROBBERY                               ,700,636,657,554,531,559,605,569,597,541,501,542,579,470,421,376,335,354
,FELONY ASSAULT                        ,711,655,633,583,544,568,565,550,520,570,570,626,663,680,608,591,576,578
,BURGLARY                              ,468,538,459,411,389,337,301,280,312,266,281,338,316,291,275,168,190,202
,GRAND LARCENY                         ,404,413,397,411,419,467,445,469,502,449,446,443,485,465,423,446,356,351
,GRAND LARCENY OF MOTOR VEHICLE                                  ,362,292,264,262,262,184,176,198,163,127,148,129,155,131,100,106,99,84
,TOTAL SEVEN MAJOR FELONY OFFENSES,2714,2616,2459,2280,2213,2174,2149,2127,2154,2011,2009,2135,2249,2094,1879,1735,1603,1610
75,MURDER & NON NEGL. MANSLAUGHTER                                ,40,36,25,32,29,29,29,33,17,24,33,29,18,18,21,18,23,11
,RAPE                                  ,102,92,106,100,86,66,58,44,57,50,61,54,75,61,70,56,56,65
,ROBBERY                               ,1169,1158,1099,983,900,767,805,841,822,682,763,780,846,909,817,732,636,664
,FELONY ASSAULT                        ,1061,1040,874,798,778,707,706,674,657,805,746,877,915,944,920,864,928,825
,BURGLARY                              ,763,618,482,574,609,527,464,461,443,449,471,512,657,638,530,439,374,396
,GRAND LARCENY                         ,688,730,801,809,893,861,769,821,837,698,707,821,986,1041,1081,1133,1045,1051
,GRAND LARCENY OF MOTOR VEHICLE                                  ,952,838,713,752,662,557,488,388,406,336,322,320,283,291,312,264,225,219
,TOTAL SEVEN MAJOR FELONY OFFENSES,4775,4512,4100,4048,3957,3514,3319,3262,3239,3044,3103,3393,3780,3902,3751,3506,3287,3231
76,MURDER & NON NEGL. MANSLAUGHTER                                ,4,4,2,0,1,4,0,3,5,5,2,3,0,1,1,1,3,2
,RAPE                                  ,13,5,10,9,9,4,9,7,3,1,2,7,8,7,5,4,7,6
,ROBBERY                               ,181,133,135,180,145,146,135,127,96,75,99,126,114,104,85,81,68,48
,FELONY ASSAULT                        ,158,136,119,100,114,102,90,71,89,81,90,96,119,103,101,102,80,88
,BURGLARY                              ,192,205,195,148,164,159,118,91,115,114,105,97,101,92,96,132,75,74
,GRAND LARCENY                         ,181,157,163,161,238,252,220,219,220,222,228,264,240,282,293,276,215,237
,GRAND LARCENY OF MOTOR VEHICLE                                  ,149,108,94,119,113,110,94,52,61,60,59,38,48,48,51,32,32,21
,TOTAL SEVEN MAJOR FELONY OFFENSES,878,748,718,717,784,777,666,570,589,558,585,631,630,637,632,628,480,476
77,MURDER & NON NEGL. MANSLAUGHTER                                ,18,19,15,15,15,12,23,15,19,13,20,10,10,12,8,12,10,6
,RAPE                                  ,58,46,53,47,39,20,21,17,19,15,23,23,19,24,22,21,22,24
,ROBBERY                               ,658,496,529,510,397,408,359,392,312,237,295,355,363,395,299,298,256,209
,FELONY ASSAULT                        ,539,498,474,397,421,351,300,332,241,220,301,355,342,392,388,353,370,296
,BURGLARY                              ,585,598,486,408,405,317,264,306,272,253,317,370,323,307,298,255,196,181
,GRAND LARCENY                         ,373,385,387,442,380,388,367,367,341,284,281,381,425,551,511,454,455,373
,GRAND LARCENY OF MOTOR VEHICLE                                  ,300,345,268,241,196,153,165,173,143,142,129,105,119,111,138,102,84,64
,TOTAL SEVEN MAJOR FELONY OFFENSES,2531,2387,2212,2060,1853,1649,1499,1602,1347,1164,1366,1599,1601,1792,1664,1495,1393,1153
78,MURDER & NON NEGL. MANSLAUGHTER                                ,1,0,4,1,3,3,3,1,3,1,1,0,1,1,0,0,0,0
,RAPE                                  ,11,10,14,14,6,7,3,7,5,6,5,8,3,7,5,11,10,9
,ROBBERY                               ,369,259,233,219,227,240,190,170,149,133,126,172,162,156,98,122,127,83
,FELONY ASSAULT                        ,157,112,85,62,80,77,96,86,70,60,45,70,77,81,82,100,81,93
,BURGLARY                              ,442,332,308,265,287,187,193,204,211,208,172,132,165,167,132,166,127,131
,GRAND LARCENY                         ,406,369,409,396,374,442,467,405,441,381,404,406,471,530,569,511,532,471
,GRAND LARCENY OF MOTOR VEHICLE                                  ,335,230,206,235,196,175,133,100,86,99,92,75,49,67,70,60,51,72
,TOTAL SEVEN MAJOR FELONY OFFENSES,1721,1312,1259,1192,1173,1131,1085,973,965,888,845,863,928,1009,956,970,928,859
79,MURDER & NON NEGL. MANSLAUGHTER                                ,12,25,17,17,18,24,23,18,13,15,12,13,11,13,11,7,7,5
,RAPE                                  ,53,43,50,42,57,39,35,29,23,24,29,34,18,26,26,27,22,28
,ROBBERY                               ,693,649,596,615,607,593,536,554,552,375,433,512,476,394,316,281,307,278
,FELONY ASSAULT                        ,617,610,557,511,528,471,431,469,390,463,422,439,515,473,375,363,384,325
,BURGLARY                              ,461,463,323,343,313,409,373,421,422,374,408,352,328,244,362,312,327,289
,GRAND LARCENY                         ,313,307,387,394,389,409,430,446,472,402,405,406,468,482,446,456,479,521
,GRAND LARCENY OF MOTOR VEHICLE                                  ,328,341,298,271,256,172,168,194,168,116,120,91,100,106,132,95,98,84
,TOTAL SEVEN MAJOR FELONY OFFENSES,2477,2438,2228,2193,2168,2117,1996,2131,2040,1769,1829,1847,1916,1738,1668,1541,1624,1530
81,MURDER & NON NEGL. MANSLAUGHTER                                ,17,18,13,14,15,12,12,20,16,13,17,12,16,6,7,5,10,8
,RAPE                                  ,32,29,38,35,29,18,23,24,10,11,24,16,21,17,29,12,20,22
,ROBBERY                               ,433,420,409,426,410,425,423,392,375,327,353,336,352,338,318,334,235,214
,FELONY ASSAULT                        ,431,438,385,331,350,348,348,313,288,247,327,288,317,370,327,332,299,282
,BURGLARY                              ,447,380,388,349,329,266,286,297,291,261,245,298,335,252,310,247,233,178
,GRAND LARCENY                         ,207,227,252,247,273,300,322,372,310,311,360,423,434,433,445,417,399,396
,GRAND LARCENY OF MOTOR VEHICLE                                  ,242,201,187,196,143,139,152,121,106,116,83,85,96,79,115,78,60,55
,TOTAL SEVEN MAJOR FELONY OFFENSES,1809,1713,1672,1598,1549,1508,1566,1539,1396,1286,1409,1458,1571,1495,1551,1425,1256,1155
83,MURDER & NON NEGL. MANSLAUGHTER                                ,18,11,13,16,20,15,6,13,10,10,13,17,9,7,9,7,4,4
,RAPE                                  ,48,56,42,44,48,45,35,34,29,36,36,29,40,29,24,33,29,28
,ROBBERY                               ,597,562,519,515,465,468,520,434,449,375,460,446,473,392,343,330,337,277
,FELONY ASSAULT                        ,548,533,440,356,444,412,403,382,372,367,376,357,383,373,308,279,311,301
,BURGLARY                              ,699,530,608,644,553,469,539,483,456,483,477,481,520,397,496,472,323,334
,GRAND LARCENY                         ,251,289,321,298,312,369,306,341,351,308,298,375,430,553,482,426,487,466
,GRAND LARCENY OF MOTOR VEHICLE                                  ,392,327,317,319,267,271,263,201,211,157,176,118,180,152,134,131,115,110
,TOTAL SEVEN MAJOR FELONY OFFENSES,2553,2308,2260,2192,2109,2049,2072,1888,1878,1736,1836,1823,2035,1903,1796,1678,1606,1520
84,MURDER & NON NEGL. MANSLAUGHTER                                ,1,3,3,1,0,0,2,2,1,1,3,1,3,1,1,2,3,4
,RAPE                                  ,7,6,18,4,5,12,6,5,4,3,2,3,5,4,6,10,4,7
,ROBBERY                               ,360,284,287,308,230,244,217,228,247,153,184,171,181,156,142,121,127,127
,FELONY ASSAULT                        ,202,205,170,155,155,145,147,166,150,120,114,126,133,121,128,134,121,146
,BURGLARY                              ,309,306,259,174,181,150,156,159,146,112,119,145,141,101,115,92,80,117
,GRAND LARCENY                         ,744,767,792,690,695,713,684,647,593,549,513,561,552,653,604,684,593,649
,GRAND LARCENY OF MOTOR VEHICLE                                  ,190,155,138,114,100,106,71,53,58,55,52,45,23,38,42,51,34,29
,TOTAL SEVEN MAJOR FELONY OFFENSES,1813,1726,1667,1446,1366,1370,1283,1260,1199,993,987,1052,1038,1074,1038,1094,962,1079
88,MURDER & NON NEGL. MANSLAUGHTER                                ,9,11,6,6,5,1,11,10,4,3,6,2,4,6,2,8,2,1
,RAPE                                  ,20,14,26,25,11,9,6,11,7,4,8,14,10,11,3,11,11,9
,ROBBERY                               ,435,424,339,400,333,324,263,217,240,196,237,294,276,218,194,149,121,101
,FELONY ASSAULT                        ,211,212,201,191,155,134,143,160,135,138,133,154,206,197,170,180,179,148
,BURGLARY                              ,265,231,238,189,214,232,186,152,173,182,184,126,209,146,182,122,112,144
,GRAND LARCENY                         ,347,331,403,351,449,443,469,478,459,403,477,444,449,433,410,370,378,328
,GRAND LARCENY OF MOTOR VEHICLE                                  ,371,327,265,227,183,161,120,116,102,88,101,80,82,82,100,87,57,42
,TOTAL SEVEN MAJOR FELONY OFFENSES,1658,1550,1478,1389,1350,1304,1198,1144,1120,1014,1146,1114,1236,1093,1061,927,860,773
90,MURDER & NON NEGL. MANSLAUGHTER                                ,12,12,7,7,2,7,5,3,6,7,2,5,5,6,2,6,3,7
,RAPE                                  ,24,19,37,23,27,21,24,14,10,8,9,23,11,17,15,19,22,20
,ROBBERY                               ,563,529,488,453,438,430,403,424,432,331,380,385,387,303,253,273,228,197
,FELONY ASSAULT                        ,276,270,239,209,185,221,198,202,222,226,206,235,239,257,240,180,228,258
,BURGLARY                              ,532,483,552,578,549,490,584,362,428,482,476,313,348,277,333,383,257,271
,GRAND LARCENY                         ,326,373,372,409,416,473,551,526,628,478,495,584,601,667,652,642,706,695
,GRAND LARCENY OF MOTOR VEHICLE                                  ,333,349,416,353,348,311,260,195,166,138,165,189,125,142,160,149,114,124
,TOTAL SEVEN MAJOR FELONY OFFENSES,2066,2035,2111,2032,1965,1953,2025,1726,1892,1670,1733,1734,1716,1669,1655,1652,1558,1572
94,MURDER & NON NEGL. MANSLAUGHTER                                ,2,5,3,5,4,0,1,0,1,3,0,1,0,1,1,2,1,2
,RAPE                                  ,5,6,6,9,8,5,3,6,3,2,2,3,12,16,10,8,13,11
,ROBBERY                               ,211,195,172,159,154,162,148,158,131,119,132,128,134,117,93,76,86,85
,FELONY ASSAULT                        ,111,110,99,72,68,86,94,78,82,71,73,93,89,115,94,97,87,87
,BURGLARY                              ,250,229,254,327,318,275,240,265,229,221,243,157,213,190,241,221,171,134
,GRAND LARCENY                         ,167,179,165,190,192,260,256,276,314,307,308,317,411,493,481,488,515,416
,GRAND LARCENY OF MOTOR VEHICLE                                  ,258,262,296,266,246,209,210,132,145,122,147,114,91,111,113,120,84,66
,TOTAL SEVEN MAJOR FELONY OFFENSES,1004,986,995,1028,990,997,952,915,905,845,905,813,950,1043,1033,1012,957,801
100,MURDER & NON NEGL. MANSLAUGHTER                                ,5,1,2,4,1,2,2,1,5,2,1,1,2,3,1,3,0,1
,RAPE                                  ,9,10,11,10,5,7,14,6,7,5,4,5,4,3,7,10,5,9
,ROBBERY                               ,97,66,72,52,45,76,79,74,75,50,62,86,54,61,59,66,54,52
,FELONY ASSAULT                        ,110,94,82,88,73,68,65,84,87,93,79,130,133,147,136,128,121,143
,BURGLARY                              ,156,117,83,69,70,72,62,51,66,69,57,138,207,151,130,77,66,73
,GRAND LARCENY                         ,77,91,92,82,102,107,99,114,124,109,100,144,185,173,187,194,232,157
,GRAND LARCENY OF MOTOR VEHICLE                                  ,71,69,69,45,51,40,34,37,29,22,27,21,30,20,35,23,18,21
,TOTAL SEVEN MAJOR FELONY OFFENSES,525,448,411,350,347,372,355,367,393,350,330,525,615,558,555,501,496,456
101,MURDER & NON NEGL. MANSLAUGHTER                                ,9,6,6,12,9,6,7,4,10,8,6,8,7,3,5,5,2,3
,RAPE                                  ,37,17,27,23,15,28,22,19,12,21,16,17,15,19,13,16,19,25
,ROBBERY                               ,329,247,172,213,140,132,166,145,154,129,121,128,143,148,145,169,154,127
,FELONY ASSAULT                        ,307,304,197,179,146,127,148,184,186,171,159,183,245,212,279,329,316,297
,BURGLARY                              ,277,214,166,113,89,83,84,110,110,113,136,132,237,227,152,151,141,95
,GRAND LARCENY                         ,210,192,158,126,136,144,149,170,154,150,99,117,197,182,197,221,229,253
,GRAND LARCENY OF MOTOR VEHICLE                                  ,249,159,150,91,83,93,65,68,62,67,78,46,55,61,73,36,51,27
,TOTAL SEVEN MAJOR FELONY OFFENSES,1418,1139,876,757,618,613,641,700,688,659,615,631,899,852,864,927,912,827
102,MURDER & NON NEGL. MANSLAUGHTER                                ,7,2,5,5,1,5,10,1,8,4,5,6,7,7,3,6,5,6
,RAPE                                  ,28,27,31,33,30,23,24,24,27,23,14,23,29,24,15,17,21,19
,ROBBERY                               ,552,473,448,349,312,361,335,323,338,286,272,269,326,311,234,238,173,141
,FELONY ASSAULT                        ,368,327,289,254,207,196,228,233,212,241,239,260,260,327,240,302,274,176
,BURGLARY                              ,705,648,479,429,379,417,419,392,329,366,358,298,315,288,293,227,172,154
,GRAND LARCENY                         ,447,357,429,444,453,448,424,408,455,409,356,419,443,490,496,401,358,306
,GRAND LARCENY OF MOTOR VEHICLE                                  ,970,808,786,622,521,447,413,322,339,282,290,254,232,252,256,234,175,124
,TOTAL SEVEN MAJOR FELONY OFFENSES,3077,2642,2467,2136,1903,1897,1853,1703,1708,1611,1534,1529,1612,1699,1537,1425,1178,926
103,MURDER & NON NEGL. MANSLAUGHTER                                ,14,11,13,30,19,9,15,8,13,11,15,11,10,8,9,6,4,6
,RAPE                                  ,31,36,40,48,49,44,38,27,32,32,21,37,34,37,20,28,29,30
,ROBBERY                               ,640,553,569,437,428,453,448,426,475,392,480,436,438,438,392,384,387,355
,FELONY ASSAULT                        ,493,415,369,335,279,312,302,293,326,385,342,357,378,369,458,444,414,386
,BURGLARY                              ,526,465,372,326,352,349,352,318,290,300,257,252,310,300,281,251,202,165
,GRAND LARCENY                         ,630,617,530,493,501,483,544,598,515,463,419,405,495,487,493,504,471,511
,GRAND LARCENY OF MOTOR VEHICLE                                  ,571,488,413,431,384,330,257,230,201,178,169,204,175,172,144,110,98,80
,TOTAL SEVEN MAJOR FELONY OFFENSES,2905,2585,2306,2100,2012,1980,1956,1900,1852,1761,1703,1702,1840,1811,1797,1727,1605,1533
