NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES                      ,19,"$285,000.00 ","$415,418.00 ","$420,000.00 ","$560,037.00 "
HUNTS POINT              ,01 ONE FAMILY HOMES                        ,1,"$450,000.00 ","$450,000.00 ","$450,000.00 ","$450,000.00 "
HUNTS POINT              ,02 TWO FAMILY HOMES                        ,24,"$275,000.00 ","$387,368.00 ","$392,356.00 ","$490,000.00 "
HUNTS POINT              ,03 THREE FAMILY HOMES                      ,11,"$180,000.00 ","$388,341.00 ","$398,000.00 ","$555,000.00 "
KINGSBRIDGE HTS/UNIV HTS ,01 ONE FAMILY HOMES                        ,20,"$165,000.00 ","$325,213.00 ","$304,750.00 ","$630,000.00 "
KINGSBRIDGE HTS/UNIV HTS ,02 TWO FAMILY HOMES                        ,23,"$165,000.00 ","$361,824.00 ","$395,000.00 ","$490,000.00 "
KINGSBRIDGE HTS/UNIV HTS ,03 THREE FAMILY HOMES                      ,21,"$400,000.00 ","$518,667.00 ","$530,000.00 ","$595,000.00 "
KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES                        ,18,"$265,000.00 ","$514,944.00 ","$425,000.00 ","$1,350,000.00 "
KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES                        ,33,"$295,000.00 ","$513,971.00 ","$499,750.00 ","$809,508.00 "
KINGSBRIDGE/JEROME PARK  ,03 THREE FAMILY HOMES                      ,7,"$400,000.00 ","$550,857.00 ","$550,000.00 ","$700,000.00 "
MELROSE/CONCOURSE        ,01 ONE FAMILY HOMES                        ,10,"$175,000.00 ","$246,530.00 ","$215,500.00 ","$389,000.00 "
MELROSE/CONCOURSE        ,02 TWO FAMILY HOMES                        ,41,"$165,000.00 ","$365,903.00 ","$382,500.00 ","$500,000.00 "
MELROSE/CONCOURSE        ,03 THREE FAMILY HOMES                      ,31,"$290,682.00 ","$450,942.00 ","$435,000.00 ","$1,000,000.00 "
MORRIS PARK/VAN NEST     ,01 ONE FAMILY HOMES                        ,60,"$170,000.00 ","$409,993.00 ","$399,000.00 ","$630,000.00 "
MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES                        ,95,"$156,000.00 ","$454,244.00 ","$460,000.00 ","$760,000.00 "
