NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE,
MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES                        ,68,"$245,000","$518,963","$527,500","$700,000",
MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES                      ,22,"$410,000","$636,445","$650,000","$793,000",
MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES                        ,30,"$150,000","$322,024","$337,500","$430,000",
MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES                        ,65,"$178,000","$435,936","$460,000","$610,000",
MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES                      ,83,"$270,000","$549,398","$545,681","$705,000",
MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES                        ,15,"$172,977","$406,232","$365,000","$725,000",
MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES                        ,17,"$371,000","$494,912","$480,000","$785,000",
MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES                      ,14,"$455,000","$600,295","$650,000","$702,592",
MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES                        ,5,"$300,000","$458,550","$370,000","$675,000",
MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES                        ,11,"$345,000","$511,412","$470,000","$900,000",
MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES                      ,8,"$176,141","$443,261","$508,850","$650,000",
PARKCHESTER              ,01 ONE FAMILY HOMES                        ,11,"$240,000","$422,455","$412,000","$580,000",
PARKCHESTER              ,02 TWO FAMILY HOMES                        ,47,"$350,000","$519,360","$520,000","$752,082",
PARKCHESTER              ,03 THREE FAMILY HOMES                      ,19,"$300,500","$568,093","$595,190","$740,000",
PELHAM GARDENS           ,01 ONE FAMILY HOMES                        ,23,"$200,000","$506,694","$480,000","$913,000",
PELHAM GARDENS           ,02 TWO FAMILY HOMES                        ,9,"$454,000","$643,200","$615,000","$975,000",
PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES                        ,24,"$350,000","$494,731","$485,000","$800,000",
PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES                        ,38,"$186,000","$546,011","$550,000","$750,000",
PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES                      ,2,"$630,000","$675,000","$675,000","$720,000",
PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES                        ,18,"$335,000","$568,139","$499,750","$1,125,000",
PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES                        ,21,"$371,620","$565,235","$565,000","$837,000",
PELHAM PARKWAY SOUTH     ,03 THREE FAMILY HOMES                      ,5,"$225,000","$575,280","$615,000","$811,398",
RIVERDALE                ,01 ONE FAMILY HOMES                        ,31,"$465,000","$970,057","$760,000","$4,500,000",
RIVERDALE                ,02 TWO FAMILY HOMES                        ,14,"$575,000","$758,286","$770,000","$995,000",
RIVERDALE                ,03 THREE FAMILY HOMES                      ,3,"$600,000","$861,058","$825,675","$1,157,500",
SCHUYLERVILLE/PELHAM BAY ,01 ONE FAMILY HOMES                        ,53,"$200,000","$446,678","$455,000","$780,000",
SCHUYLERVILLE/PELHAM BAY ,02 TWO FAMILY HOMES                        ,76,"$200,000","$584,458","$577,000","$839,954",
SCHUYLERVILLE/PELHAM BAY ,03 THREE FAMILY HOMES                      ,15,"$478,000","$678,600","$675,000","$940,000",
SOUNDVIEW                ,01 ONE FAMILY HOMES                        ,45,"$190,000","$357,046","$371,000","$539,000",
SOUNDVIEW                ,02 TWO FAMILY HOMES                        ,110,"$150,000","$491,352","$531,500","$650,000",
SOUNDVIEW                ,03 THREE FAMILY HOMES                      ,69,"$265,000","$594,266","$609,000","$748,413",
THROGS NECK              ,01 ONE FAMILY HOMES                        ,91,"$200,000","$425,998","$435,000","$647,500",
THROGS NECK              ,02 TWO FAMILY HOMES                        ,91,"$260,000","$542,161","$535,000","$970,000",
THROGS NECK              ,03 THREE FAMILY HOMES                      ,9,"$300,000","$611,444","$620,000","$870,000",
WAKEFIELD                ,01 ONE FAMILY HOMES                        ,64,"$150,000","$402,759","$415,000","$740,000",
WAKEFIELD                ,02 TWO FAMILY HOMES                        ,97,"$307,500","$514,403","$535,600","$750,000",
WAKEFIELD                ,03 THREE FAMILY HOMES                      ,29,"$175,000","$551,347","$580,000","$740,000",
WESTCHESTER              ,01 ONE FAMILY HOMES                        ,19,"$175,000","$378,094","$380,000","$570,000",
WESTCHESTER              ,02 TWO FAMILY HOMES                        ,35,"$370,000","$550,458","$536,000","$750,000",
WESTCHESTER              ,03 THREE FAMILY HOMES                      ,27,"$337,500","$661,721","$687,318","$760,000",
WILLIAMSBRIDGE           ,01 ONE FAMILY HOMES                        ,58,"$190,000","$394,590","$405,400","$576,800",
WILLIAMSBRIDGE           ,02 TWO FAMILY HOMES                        ,118,"$169,000","$501,074","$515,500","$895,000",
WILLIAMSBRIDGE           ,03 THREE FAMILY HOMES                      ,47,"$300,000","$624,322","$646,600","$780,000",
WOODLAWN                 ,01 ONE FAMILY HOMES                        ,16,"$385,000","$481,900","$482,500","$615,000",
WOODLAWN                 ,02 TWO FAMILY HOMES                        ,16,"$225,814","$522,551","$552,500","$650,000",
WOODLAWN                 ,03 THREE FAMILY HOMES                      ,4,"$580,000","$656,500","$668,000","$710,000",
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
