NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES     ,2,"$288,500","$308,750","$308,750","$329,000"
BATHGATE                 ,02 TWO FAMILY HOMES     ,9,"$167,500","$341,931","$360,000","$390,486"
BATHGATE                 ,03 THREE FAMILY HOMES   ,4,"$292,500","$391,738","$407,725","$459,000"
BAYCHESTER               ,01 ONE FAMILY HOMES     ,56,"$170,000","$296,449","$306,000","$399,000"
BAYCHESTER               ,02 TWO FAMILY HOMES     ,72,"$166,250","$398,774","$406,400","$665,321"
BAYCHESTER               ,03 THREE FAMILY HOMES   ,14,"$262,000","$467,886","$477,500","$610,000"
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES     ,9,"$200,000","$343,521","$340,000","$451,380"
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES     ,13,"$185,000","$362,205","$355,000","$518,561"
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES   ,9,"$255,100","$394,233","$400,000","$555,000"
BELMONT                  ,01 ONE FAMILY HOMES     ,3,"$196,000","$267,000","$200,000","$405,000"
BELMONT                  ,02 TWO FAMILY HOMES     ,15,"$152,100","$312,735","$290,000","$614,000"
BELMONT                  ,03 THREE FAMILY HOMES   ,8,"$231,000","$361,821","$388,000","$490,000"
BRONX PARK               ,02 TWO FAMILY HOMES     ,1,"$630,000","$630,000","$630,000","$630,000"
BRONXDALE                ,01 ONE FAMILY HOMES     ,29,"$165,000","$289,590","$280,223","$435,000"
BRONXDALE                ,02 TWO FAMILY HOMES     ,32,"$170,000","$349,318","$360,250","$481,000"
BRONXDALE                ,03 THREE FAMILY HOMES   ,11,"$250,000","$464,574","$450,000","$663,797"
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES     ,22,"$175,000","$314,247","$325,000","$440,000"
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES     ,38,"$170,000","$387,764","$410,000","$600,000"
