NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES     ,5,"$210,000.00 ","$321,587.00 ","$343,116.00 ","$474,819.00 "
BATHGATE                 ,02 TWO FAMILY HOMES     ,6,"$207,000.00 ","$330,333.00 ","$348,500.00 ","$390,000.00 "
BATHGATE                 ,03 THREE FAMILY HOMES   ,4,"$440,000.00 ","$518,029.00 ","$485,000.00 ","$662,115.00 "
BAYCHESTER               ,01 ONE FAMILY HOMES     ,56,"$200,000.00 ","$298,008.00 ","$307,050.00 ","$435,000.00 "
BAYCHESTER               ,02 TWO FAMILY HOMES     ,67,"$200,000.00 ","$414,100.00 ","$410,000.00 ","$1,750,000.00 "
BAYCHESTER               ,03 THREE FAMILY HOMES   ,15,"$250,000.00 ","$484,379.00 ","$517,500.00 ","$636,421.00 "
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES     ,8,"$280,000.00 ","$357,125.00 ","$343,500.00 ","$465,000.00 "
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES     ,22,"$235,500.00 ","$392,135.00 ","$402,500.00 ","$550,000.00 "
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES   ,6,"$245,000.00 ","$374,500.00 ","$367,500.00 ","$530,000.00 "
BELMONT                  ,02 TWO FAMILY HOMES     ,14,"$270,000.00 ","$357,421.00 ","$324,750.00 ","$550,397.00 "
BELMONT                  ,03 THREE FAMILY HOMES   ,9,"$200,000.00 ","$344,828.00 ","$300,000.00 ","$600,000.00 "
BRONX PARK               ,02 TWO FAMILY HOMES     ,1,"$215,000.00 ","$215,000.00 ","$215,000.00 ","$215,000.00 "
BRONXDALE                ,01 ONE FAMILY HOMES     ,36,"$200,000.00 ","$305,503.00 ","$305,210.00 ","$540,000.00 "
BRONXDALE                ,02 TWO FAMILY HOMES     ,49,"$200,000.00 ","$381,571.00 ","$385,000.00 ","$687,318.00 "
BRONXDALE                ,03 THREE FAMILY HOMES   ,11,"$200,000.00 ","$393,596.00 ","$425,000.00 ","$535,000.00 "
