NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES     ,5,"$150,000","$264,306","$287,000","$313,300"
BATHGATE                 ,02 TWO FAMILY HOMES     ,7,"$155,000","$378,805","$320,000","$869,000"
BATHGATE                 ,03 THREE FAMILY HOMES   ,5,"$152,100","$265,223","$179,000","$565,015"
BAYCHESTER               ,01 ONE FAMILY HOMES     ,71,"$150,000","$293,498","$303,500","$450,000"
BAYCHESTER               ,02 TWO FAMILY HOMES     ,60,"$150,000","$398,600","$415,000","$631,315"
BAYCHESTER               ,03 THREE FAMILY HOMES   ,18,"$161,500","$460,400","$475,000","$950,000"
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES     ,8,"$172,907","$326,079","$332,500","$452,489"
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES     ,19,"$229,164","$398,958","$400,000","$587,507"
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES   ,9,"$295,000","$444,333","$418,000","$594,000"
BELMONT                  ,01 ONE FAMILY HOMES     ,1,"$220,000","$220,000","$220,000","$220,000"
BELMONT                  ,02 TWO FAMILY HOMES     ,13,"$190,000","$319,526","$326,000","$460,000"
BELMONT                  ,03 THREE FAMILY HOMES   ,8,"$165,728","$364,801","$373,000","$586,500"
BRONX PARK               ,02 TWO FAMILY HOMES     ,1,"$325,000","$325,000","$325,000","$325,000"
BRONXDALE                ,01 ONE FAMILY HOMES     ,27,"$150,000","$309,399","$318,000","$475,000"
BRONXDALE                ,02 TWO FAMILY HOMES     ,42,"$230,000","$417,560","$399,450","$620,000"
BRONXDALE                ,03 THREE FAMILY HOMES   ,8,"$295,000","$512,189","$517,800","$700,000"
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES     ,17,"$215,000","$334,637","$345,000","$419,321"
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES     ,32,"$200,000","$397,238","$411,000","$568,634"
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES   ,6,"$200,000","$402,465","$432,396","$525,000"
CITY ISLAND              ,01 ONE FAMILY HOMES     ,18,"$253,000","$494,748","$460,750","$910,000"
CITY ISLAND              ,02 TWO FAMILY HOMES     ,10,"$200,000","$426,050","$416,250","$615,000"
CITY ISLAND              ,03 THREE FAMILY HOMES   ,2,"$330,000","$460,000","$460,000","$590,000"
COUNTRY CLUB             ,01 ONE FAMILY HOMES     ,35,"$185,000","$435,412","$442,900","$940,000"
COUNTRY CLUB             ,02 TWO FAMILY HOMES     ,21,"$150,000","$476,917","$495,000","$875,000"
COUNTRY CLUB             ,03 THREE FAMILY HOMES   ,2,"$585,680","$600,340","$600,340","$615,000"
CROTONA PARK             ,02 TWO FAMILY HOMES     ,5,"$202,800","$322,000","$304,200","$430,000"
CROTONA PARK             ,03 THREE FAMILY HOMES   ,4,"$150,000","$407,125","$490,250","$498,000"
EAST TREMONT             ,01 ONE FAMILY HOMES     ,5,"$151,000","$289,920","$315,000","$350,000"
EAST TREMONT             ,02 TWO FAMILY HOMES     ,27,"$176,000","$378,001","$390,000","$617,416"
EAST TREMONT             ,03 THREE FAMILY HOMES   ,12,"$210,000","$401,985","$463,712","$583,000"
FIELDSTON                ,01 ONE FAMILY HOMES     ,14,"$200,000","$1,239,714","$1,154,500","$4,150,000"
FORDHAM                  ,01 ONE FAMILY HOMES     ,3,"$312,700","$346,900","$323,000","$405,000"
FORDHAM                  ,02 TWO FAMILY HOMES     ,5,"$220,500","$385,849","$400,000","$508,746"
FORDHAM                  ,03 THREE FAMILY HOMES   ,7,"$175,000","$318,430","$251,245","$510,000"
HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES     ,2,"$310,000","$411,638","$411,638","$513,276"
HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES     ,22,"$195,000","$385,359","$391,000","$644,948"
HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES   ,9,"$230,500","$471,328","$450,500","$723,599"
HUNTS POINT              ,02 TWO FAMILY HOMES     ,7,"$261,540","$373,108","$320,000","$575,000"
HUNTS POINT              ,03 THREE FAMILY HOMES   ,5,"$300,000","$401,800","$420,000","$480,000"
KINGSBRIDGE HTS/UNIV HTS ,01 ONE FAMILY HOMES     ,4,"$150,000","$304,150","$325,800","$415,000"
KINGSBRIDGE HTS/UNIV HTS ,02 TWO FAMILY HOMES     ,13,"$167,000","$433,768","$370,000","$1,200,000"
KINGSBRIDGE HTS/UNIV HTS ,03 THREE FAMILY HOMES   ,2,"$599,000","$629,500","$629,500","$660,000"
KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES     ,12,"$300,000","$417,806","$430,000","$540,000"
KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES     ,9,"$405,000","$511,714","$515,000","$595,000"
KINGSBRIDGE/JEROME PARK  ,03 THREE FAMILY HOMES   ,3,"$170,000","$439,797","$520,000","$629,391"
MELROSE/CONCOURSE        ,01 ONE FAMILY HOMES     ,1,"$350,000","$350,000","$350,000","$350,000"
MELROSE/CONCOURSE        ,02 TWO FAMILY HOMES     ,14,"$210,000","$388,256","$432,500","$480,000"
MELROSE/CONCOURSE        ,03 THREE FAMILY HOMES   ,18,"$170,000","$443,782","$450,500","$950,000"
MORRIS PARK/VAN NEST     ,01 ONE FAMILY HOMES     ,32,"$165,000","$398,120","$389,250","$630,000"
MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES     ,41,"$225,000","$394,260","$400,000","$555,000"
MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES   ,9,"$246,100","$474,456","$525,000","$570,000"
MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES     ,12,"$185,000","$286,154","$302,500","$345,000"
MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES     ,32,"$150,000","$338,612","$360,000","$516,221"
MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES   ,36,"$150,000","$399,398","$390,897","$999,990"
MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES     ,8,"$150,000","$245,331","$213,825","$410,000"
MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES     ,8,"$180,000","$318,313","$332,500","$415,000"
MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES   ,3,"$155,000","$326,258","$373,775","$450,000"
MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES     ,1,"$240,000","$240,000","$240,000","$240,000"
MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES     ,2,"$300,000","$335,700","$335,700","$371,400"
MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES   ,3,"$370,584","$514,492","$459,224","$713,667"
PARKCHESTER              ,01 ONE FAMILY HOMES     ,5,"$160,000","$324,160","$333,000","$450,000"
PARKCHESTER              ,02 TWO FAMILY HOMES     ,23,"$160,000","$402,271","$425,000","$610,448"
PARKCHESTER              ,03 THREE FAMILY HOMES   ,10,"$270,000","$484,987","$495,000","$570,000"
PELHAM GARDENS           ,01 ONE FAMILY HOMES     ,15,"$257,556","$438,957","$420,000","$660,000"
PELHAM GARDENS           ,02 TWO FAMILY HOMES     ,6,"$390,000","$510,333","$460,500","$685,000"
PELHAM GARDENS           ,03 THREE FAMILY HOMES   ,1,"$450,000","$450,000","$450,000","$450,000"
PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES     ,24,"$178,745","$386,218","$402,500","$661,000"
PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES     ,23,"$230,000","$459,736","$455,000","$640,000"
PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES   ,4,"$220,000","$400,813","$441,625","$500,000"
PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES     ,12,"$325,000","$446,333","$385,500","$730,000"
PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES     ,7,"$235,248","$415,890","$355,000","$695,000"
PELHAM PARKWAY SOUTH     ,03 THREE FAMILY HOMES   ,2,"$240,000","$440,000","$440,000","$640,000"
RIVERDALE                ,01 ONE FAMILY HOMES     ,36,"$155,000","$876,418","$645,000","$3,040,000"
