NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATHGATE                 ,01 ONE FAMILY HOMES     ,1,"$345,376.00 ","$345,376.00 ","$345,376.00 "," $	345,376.00 "
BATHGATE                 ,02 TWO FAMILY HOMES     ,3,"$316,500.00 ","$373,425.00 ","$360,000.00 ","$443,776.00 "
BATHGATE                 ,03 THREE FAMILY HOMES   ,1,"$232,161.00 ","$232,161.00 ","$232,161.00 ","$232,161.00 "
BAYCHESTER               ,01 ONE FAMILY HOMES     ,56,"$210,000.00 ","$319,730.00 ","$335,350.00 ","$571,467.00 "
BAYCHESTER               ,02 TWO FAMILY HOMES     ,59,"$200,000.00 ","$386,475.00 ","$378,000.00 ","$1,315,000.00 "
BAYCHESTER               ,03 THREE FAMILY HOMES   ,13,"$298,000.00 ","$425,323.00 ","$425,000.00 ","$535,000.00 "
BEDFORD PARK/NORWOOD     ,01 ONE FAMILY HOMES     ,10,"$200,000.00 ","$562,630.00 ","$285,850.00 ","$2,650,000.00 "
BEDFORD PARK/NORWOOD     ,02 TWO FAMILY HOMES     ,18,"$238,000.00 ","$371,831.00 ","$362,500.00 ","$550,000.00 "
BEDFORD PARK/NORWOOD     ,03 THREE FAMILY HOMES   ,6,"$280,000.00 ","$380,000.00 ","$387,500.00 ","$450,000.00 "
BELMONT                  ,01 ONE FAMILY HOMES     ,2,"$200,000.00 ","$232,500.00 ","$232,500.00 ","$265,000.00 "
BELMONT                  ,02 TWO FAMILY HOMES     ,11,"$200,000.00 ","$376,362.00 ","$375,000.00 ","$620,000.00 "
BELMONT                  ,03 THREE FAMILY HOMES   ,5,"$260,000.00 ","$411,900.00 ","$440,000.00 ","$499,000.00 "
BRONX PARK               ,02 TWO FAMILY HOMES     ,1,"$307,500.00 ","$307,500.00 ","$307,500.00 ","$307,500.00 "
BRONXDALE                ,01 ONE FAMILY HOMES     ,25,"$206,000.00 ","$309,111.00 ","$307,000.00 ","$500,000.00 "
BRONXDALE                ,02 TWO FAMILY HOMES     ,33,"$201,000.00 ","$357,511.00 ","$344,000.00 ","$659,262.00 "
BRONXDALE                ,03 THREE FAMILY HOMES   ,11,"$256,000.00 ","$464,462.00 ","$473,000.00 ","$580,000.00 "
CASTLE HILL/UNIONPORT    ,01 ONE FAMILY HOMES     ,12,"$200,000.00 ","$309,243.00 ","$310,960.00 ","$500,000.00 "
CASTLE HILL/UNIONPORT    ,02 TWO FAMILY HOMES     ,37,"$202,000.00 ","$358,822.00 ","$375,000.00 ","$515,000.00 "
CASTLE HILL/UNIONPORT    ,03 THREE FAMILY HOMES   ,7,"$380,000.00 ","$442,229.00 ","$400,000.00 ","$584,100.00 "
CITY ISLAND              ,01 ONE FAMILY HOMES     ,17,"$267,900.00 ","$393,818.00 ","$400,000.00 ","$640,500.00 "
CITY ISLAND              ,02 TWO FAMILY HOMES     ,6,"$268,500.00 ","$395,179.00 ","$346,275.00 ","$573,000.00 "
CITY ISLAND-PELHAM STRIP ,01 ONE FAMILY HOMES     ,1,"$635,000.00 ","$635,000.00 ","$635,000.00 ","$635,000.00 "
CO-OP CITY               ,02 TWO FAMILY HOMES     ,1,"$520,000.00 ","$520,000.00 ","$520,000.00 ","$520,000.00 "
COUNTRY CLUB             ,01 ONE FAMILY HOMES     ,31,"$200,000.00 ","$436,074.00 ","$400,500.00 ","$1,250,000.00 "
COUNTRY CLUB             ,02 TWO FAMILY HOMES     ,18,"$223,000.00 ","$461,317.00 ","$428,650.00 ","$750,000.00 "
COUNTRY CLUB             ,03 THREE FAMILY HOMES   ,4,"$425,000.00 ","$663,616.00 ","$682,546.00 ","$864,372.00 "
CROTONA PARK             ,01 ONE FAMILY HOMES     ,3,"$275,000.00 ","$286,667.00 ","$285,000.00 ","$300,000.00 "
CROTONA PARK             ,02 TWO FAMILY HOMES     ,4,"$370,000.00 ","$398,135.00 ","$393,770.00 ","$435,000.00 "
CROTONA PARK             ,03 THREE FAMILY HOMES   ,2,"$430,000.00 ","$438,405.00 ","$438,405.00 ","$446,810.00 "
EAST TREMONT             ,01 ONE FAMILY HOMES     ,1,"$275,000.00 ","$275,000.00 ","$275,000.00 ","$275,000.00 "
EAST TREMONT             ,02 TWO FAMILY HOMES     ,14,"$200,000.00 ","$335,590.00 ","$380,750.00 ","$445,000.00 "
EAST TREMONT             ,03 THREE FAMILY HOMES   ,15,"$218,000.00 ","$386,285.00 ","$400,000.00 ","$593,900.00 "
FIELDSTON                ,01 ONE FAMILY HOMES     ,19,"$473,500.00 ","$1,364,787.00 ","$1,275,000.00 ","$3,000,000.00 "
FIELDSTON                ,02 TWO FAMILY HOMES     ,1,"$595,000.00 ","$595,000.00 ","$595,000.00 ","$595,000.00 "
FORDHAM                  ,02 TWO FAMILY HOMES     ,7,"$220,000.00 ","$347,143.00 ","$355,000.00 ","$465,000.00 "
FORDHAM                  ,03 THREE FAMILY HOMES   ,2,"$315,000.00 ","$322,500.00 ","$322,500.00 ","$330,000.00 "
HIGHBRIDGE/MORRIS HEIGHTS,01 ONE FAMILY HOMES     ,2,"$305,000.00 ","$351,521.00 ","$351,521.00 ","$398,042.00 "
HIGHBRIDGE/MORRIS HEIGHTS,02 TWO FAMILY HOMES     ,14,"$200,000.00 ","$386,356.00 ","$420,000.00 ","$554,500.00 "
HIGHBRIDGE/MORRIS HEIGHTS,03 THREE FAMILY HOMES   ,13,"$300,000.00 ","$503,513.00 ","$560,000.00 ","$625,000.00 "
HUNTS POINT              ,02 TWO FAMILY HOMES     ,1,"$285,000.00 ","$285,000.00 ","$285,000.00 ","$285,000.00 "
HUNTS POINT              ,03 THREE FAMILY HOMES   ,2,"$242,000.00 ","$288,500.00 ","$288,500.00 ","$335,000.00 "
KINGSBRIDGE HTS/UNIV HTS ,01 ONE FAMILY HOMES     ,3,"$200,000.00 ","$251,135.00 ","$223,404.00 ","$330,000.00 "
KINGSBRIDGE HTS/UNIV HTS ,02 TWO FAMILY HOMES     ,6,"$200,000.00 ","$358,500.00 ","$380,000.00 ","$425,000.00 "
KINGSBRIDGE HTS/UNIV HTS ,03 THREE FAMILY HOMES   ,2,"$395,000.00 ","$490,650.00 ","$490,650.00 ","$586,300.00 "
KINGSBRIDGE/JEROME PARK  ,01 ONE FAMILY HOMES     ,7,"$225,000.00 ","$459,571.00 ","$485,000.00 ","$600,000.00 "
KINGSBRIDGE/JEROME PARK  ,02 TWO FAMILY HOMES     ,10,"$200,000.00 ","$382,440.00 ","$376,500.00 ","$575,000.00 "
KINGSBRIDGE/JEROME PARK  ,03 THREE FAMILY HOMES   ,3,"$300,000.00 ","$463,667.00 ","$455,000.00 ","$636,000.00 "
MELROSE/CONCOURSE        ,02 TWO FAMILY HOMES     ,11,"$240,000.00 ","$374,774.00 ","$367,000.00 ","$600,000.00 "
MELROSE/CONCOURSE        ,03 THREE FAMILY HOMES   ,12,"$200,000.00 ","$334,543.00 ","$332,500.00 ","$499,500.00 "
MORRIS PARK/VAN NEST     ,01 ONE FAMILY HOMES     ,25,"$286,000.00 ","$389,995.00 ","$400,000.00 ","$485,000.00 "
MORRIS PARK/VAN NEST     ,02 TWO FAMILY HOMES     ,50,"$201,000.00 ","$401,556.00 ","$422,500.00 ","$742,360.00 "
MORRIS PARK/VAN NEST     ,03 THREE FAMILY HOMES   ,10,"$215,000.00 ","$394,250.00 ","$422,500.00 ","$600,000.00 "
MORRISANIA/LONGWOOD      ,01 ONE FAMILY HOMES     ,8,"$253,134.00 ","$295,929.00 ","$287,150.00 ","$390,000.00 "
MORRISANIA/LONGWOOD      ,02 TWO FAMILY HOMES     ,20,"$210,000.00 ","$330,400.00 ","$352,500.00 ","$430,000.00 "
MORRISANIA/LONGWOOD      ,03 THREE FAMILY HOMES   ,23,"$231,132.00 ","$433,764.00 ","$445,000.00 ","$708,000.00 "
MOTT HAVEN/PORT MORRIS   ,01 ONE FAMILY HOMES     ,6,"$245,000.00 ","$322,417.00 ","$322,250.00 ","$450,000.00 "
MOTT HAVEN/PORT MORRIS   ,02 TWO FAMILY HOMES     ,12,"$210,131.00 ","$280,965.00 ","$275,000.00 ","$380,000.00 "
MOTT HAVEN/PORT MORRIS   ,03 THREE FAMILY HOMES   ,3,"$240,000.00 ","$335,833.00 ","$337,500.00 ","$430,000.00 "
MOUNT HOPE/MOUNT EDEN    ,01 ONE FAMILY HOMES     ,2,"$211,000.00 ","$230,500.00 ","$230,500.00 ","$250,000.00 "
MOUNT HOPE/MOUNT EDEN    ,02 TWO FAMILY HOMES     ,4,"$225,000.00 ","$333,500.00 ","$334,500.00 ","$440,000.00 "
MOUNT HOPE/MOUNT EDEN    ,03 THREE FAMILY HOMES   ,7,"$236,000.00 ","$379,346.00 ","$430,000.00 ","$480,000.00 "
PARKCHESTER              ,01 ONE FAMILY HOMES     ,3,"$243,000.00 ","$296,765.00 ","$269,100.00 ","$378,196.00 "
PARKCHESTER              ,02 TWO FAMILY HOMES     ,16,"$218,700.00 ","$355,994.00 ","$356,250.00 ","$455,000.00 "
PARKCHESTER              ,03 THREE FAMILY HOMES   ,11,"$330,000.00 ","$459,963.00 ","$405,000.00 ","$681,272.00 "
PELHAM GARDENS           ,01 ONE FAMILY HOMES     ,16,"$216,000.00 ","$464,509.00 ","$447,600.00 ","$680,000.00 "
PELHAM GARDENS           ,02 TWO FAMILY HOMES     ,13,"$280,000.00 ","$443,695.00 ","$428,000.00 ","$680,000.00 "
PELHAM PARKWAY NORTH     ,01 ONE FAMILY HOMES     ,30,"$235,000.00 ","$386,967.00 ","$370,000.00 ","$610,000.00 "
PELHAM PARKWAY NORTH     ,02 TWO FAMILY HOMES     ,31,"$270,000.00 ","$430,439.00 ","$425,000.00 ","$617,500.00 "
PELHAM PARKWAY NORTH     ,03 THREE FAMILY HOMES   ,2,"$380,000.00 ","$435,000.00 ","$435,000.00 ","$490,000.00 "
PELHAM PARKWAY SOUTH     ,01 ONE FAMILY HOMES     ,13,"$265,000.00 ","$407,923.00 ","$395,000.00 ","$620,000.00 "
PELHAM PARKWAY SOUTH     ,02 TWO FAMILY HOMES     ,6,"$290,000.00 ","$430,833.00 ","$435,000.00 ","$530,000.00 "
