NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BUSHWICK                 ,03 THREE FAMILY HOMES   ,114," $	200,000.00 "," $	704,907.00 "," $	675,000.00 "," $	2,450,000.00 "
CANARSIE                 ,01 ONE FAMILY HOMES     ,72," $	200,000.00 "," $	368,208.00 "," $	372,500.00 "," $	520,000.00 "
CANARSIE                 ,02 TWO FAMILY HOMES     ,221," $	200,000.00 "," $	434,322.00 "," $	450,000.00 "," $	716,000.00 "
CANARSIE                 ,03 THREE FAMILY HOMES   ,35," $	210,500.00 "," $	489,916.00 "," $	530,000.00 "," $	650,000.00 "
CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,11," $	963,000.00 "," $	3,406,287.00 "," $	3,400,000.00 "," $	7,000,000.00 "
CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,20," $	550,000.00 "," $	2,590,299.00 "," $	2,627,500.00 "," $	3,792,981.00 "
CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,14," $	748,000.00 "," $	2,066,929.00 "," $	1,975,000.00 "," $	3,300,000.00 "
CLINTON HILL             ,01 ONE FAMILY HOMES     ,7," $	750,000.00 "," $	2,008,480.00 "," $	1,500,000.00 "," $	4,600,000.00 "
CLINTON HILL             ,02 TWO FAMILY HOMES     ,31," $	200,000.00 "," $	2,043,900.00 "," $	1,830,000.00 "," $	6,500,000.00 "
CLINTON HILL             ,03 THREE FAMILY HOMES   ,13," $	940,000.00 "," $	1,936,581.00 "," $	2,000,000.00 "," $	2,920,000.00 "
COBBLE HILL              ,01 ONE FAMILY HOMES     ,4," $	300,000.00 "," $	2,837,500.00 "," $	3,250,000.00 "," $	4,550,000.00 "
COBBLE HILL              ,02 TWO FAMILY HOMES     ,3," $	1,250,000.00 "," $	2,358,333.00 "," $	2,225,000.00 "," $	3,600,000.00 "
COBBLE HILL              ,03 THREE FAMILY HOMES   ,7," $	1,500,000.00 "," $	2,922,143.00 "," $	2,335,000.00 "," $	4,500,000.00 "
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES     ,3," $	1,150,000.00 "," $	1,388,333.00 "," $	1,250,000.00 "," $	1,765,000.00 "
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES   ,7," $	1,100,000.00 "," $	1,538,143.00 "," $	1,475,000.00 "," $	2,207,000.00 "
CONEY ISLAND             ,01 ONE FAMILY HOMES     ,24," $	225,000.00 "," $	353,313.00 "," $	366,500.00 "," $	460,000.00 "
CONEY ISLAND             ,02 TWO FAMILY HOMES     ,1," $	476,000.00 "," $	476,000.00 "," $	476,000.00 "," $	476,000.00 "
CONEY ISLAND             ,03 THREE FAMILY HOMES   ,3," $	295,000.00 "," $	530,833.00 "," $	635,000.00 "," $	662,500.00 "
CROWN HEIGHTS            ,01 ONE FAMILY HOMES     ,51," $	200,000.00 "," $	806,882.00 "," $	750,000.00 "," $	1,895,000.00 "
CROWN HEIGHTS            ,02 TWO FAMILY HOMES     ,164," $	200,000.00 "," $	788,192.00 "," $	671,500.00 "," $	5,942,670.00 "
CROWN HEIGHTS            ,03 THREE FAMILY HOMES   ,48," $	205,000.00 "," $	912,276.00 "," $	867,500.00 "," $	1,950,000.00 "
CYPRESS HILLS            ,01 ONE FAMILY HOMES     ,33," $	205,000.00 "," $	345,096.00 "," $	350,000.00 "," $	585,000.00 "
CYPRESS HILLS            ,02 TWO FAMILY HOMES     ,97," $	210,000.00 "," $	448,283.00 "," $	451,500.00 "," $	680,000.00 "
CYPRESS HILLS            ,03 THREE FAMILY HOMES   ,32," $	210,000.00 "," $	424,753.00 "," $	421,750.00 "," $	770,000.00 "
DOWNTOWN-FULTON FERRY    ,01 ONE FAMILY HOMES     ,1," $	1,780,000.00 "," $	1,780,000.00 "," $	1,780,000.00 "," $	1,780,000.00 "
DOWNTOWN-FULTON FERRY    ,03 THREE FAMILY HOMES   ,2," $	975,000.00 "," $	982,000.00 "," $	982,000.00 "," $	989,000.00 "
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES     ,7," $	3,350,000.00 "," $	4,077,753.00 "," $	3,650,850.00 "," $	6,496,800.00 "
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES     ,1," $	650,000.00 "," $	650,000.00 "," $	650,000.00 "," $	650,000.00 "
DOWNTOWN-METROTECH       ,03 THREE FAMILY HOMES   ,1," $	1,585,000.00 "," $	1,585,000.00 "," $	1,585,000.00 "," $	1,585,000.00 "
DYKER HEIGHTS            ,01 ONE FAMILY HOMES     ,73," $	300,000.00 "," $	736,858.00 "," $	730,000.00 "," $	1,280,000.00 "
DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,67," $	235,000.00 "," $	838,464.00 "," $	890,000.00 "," $	1,350,000.00 "
DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,23," $	440,268.00 "," $	900,412.00 "," $	950,000.00 "," $	1,300,000.00 "
EAST NEW YORK            ,01 ONE FAMILY HOMES     ,49," $	200,000.00 "," $	333,122.00 "," $	332,000.00 "," $	567,000.00 "
EAST NEW YORK            ,02 TWO FAMILY HOMES     ,209," $	200,000.00 "," $	413,787.00 "," $	425,000.00 "," $	746,000.00 "
EAST NEW YORK            ,03 THREE FAMILY HOMES   ,99," $	200,000.00 "," $	411,193.00 "," $	400,000.00 "," $	1,013,832.00 "
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,64," $	200,000.00 "," $	1,039,345.00 "," $	984,250.00 "," $	2,700,000.00 "
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,86," $	200,000.00 "," $	729,973.00 "," $	630,500.00 "," $	2,025,000.00 "
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,29," $	207,000.00 "," $	603,076.00 "," $	550,000.00 "," $	1,750,000.00 "
FLATBUSH-EAST            ,01 ONE FAMILY HOMES     ,137," $	200,000.00 "," $	464,505.00 "," $	393,000.00 "," $	5,640,000.00 "
FLATBUSH-EAST            ,02 TWO FAMILY HOMES     ,121," $	203,500.00 "," $	469,040.00 "," $	459,000.00 "," $	1,105,000.00 "
FLATBUSH-EAST            ,03 THREE FAMILY HOMES   ,26," $	225,000.00 "," $	475,040.00 "," $	502,200.00 "," $	699,000.00 "
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES     ,45," $	200,000.00 "," $	1,205,556.00 "," $	1,205,000.00 "," $	2,400,000.00 "
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES     ,28," $	200,000.00 "," $	909,929.00 "," $	754,500.00 "," $	2,000,000.00 "
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES   ,5," $	575,000.00 "," $	1,031,000.00 "," $	1,100,000.00 "," $	1,500,000.00 "
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES     ,30," $	205,000.00 "," $	413,833.00 "," $	387,500.00 "," $	900,000.00 "
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES     ,67," $	217,000.00 "," $	460,718.00 "," $	404,000.00 "," $	1,250,000.00 "
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES   ,19," $	327,000.00 "," $	534,727.00 "," $	505,000.00 "," $	795,000.00 "
FLATLANDS                ,01 ONE FAMILY HOMES     ,32," $	250,000.00 "," $	394,625.00 "," $	388,000.00 "," $	570,000.00 "
FLATLANDS                ,02 TWO FAMILY HOMES     ,49," $	230,000.00 "," $	470,095.00 "," $	480,000.00 "," $	630,000.00 "
FLATLANDS                ,03 THREE FAMILY HOMES   ,5," $	360,000.00 "," $	593,000.00 "," $	640,000.00 "," $	665,000.00 "
FORT GREENE              ,01 ONE FAMILY HOMES     ,6," $	499,000.00 "," $	2,738,167.00 "," $	3,077,500.00 "," $	3,750,000.00 "
FORT GREENE              ,02 TWO FAMILY HOMES     ,17," $	1,800,000.00 "," $	2,689,235.00 "," $	2,600,000.00 "," $	3,500,000.00 "
FORT GREENE              ,03 THREE FAMILY HOMES   ,15," $	235,000.00 "," $	1,534,067.00 "," $	1,610,000.00 "," $	2,495,000.00 "
GERRITSEN BEACH          ,01 ONE FAMILY HOMES     ,56," $	203,500.00 "," $	344,390.00 "," $	350,000.00 "," $	500,000.00 "
GERRITSEN BEACH          ,02 TWO FAMILY HOMES     ,5," $	232,500.00 "," $	474,500.00 "," $	505,000.00 "," $	620,000.00 "
GOWANUS                  ,01 ONE FAMILY HOMES     ,3," $	325,000.00 "," $	1,391,333.00 "," $	1,200,000.00 "," $	2,649,000.00 "
GOWANUS                  ,02 TWO FAMILY HOMES     ,22," $	425,000.00 "," $	2,411,743.00 "," $	1,490,000.00 "," $	20,000,000.00 "
GOWANUS                  ,03 THREE FAMILY HOMES   ,14," $	301,650.00 "," $	1,383,575.00 "," $	1,400,000.00 "," $	3,100,000.00 "
GRAVESEND                ,01 ONE FAMILY HOMES     ,59," $	230,000.00 "," $	612,408.00 "," $	639,000.00 "," $	1,300,000.00 "
GRAVESEND                ,02 TWO FAMILY HOMES     ,132," $	200,000.00 "," $	733,246.00 "," $	729,000.00 "," $	1,230,000.00 "
GRAVESEND                ,03 THREE FAMILY HOMES   ,52," $	280,000.00 "," $	919,625.00 "," $	950,000.00 "," $	1,280,000.00 "
GREENPOINT               ,01 ONE FAMILY HOMES     ,3," $	995,000.00 "," $	1,215,000.00 "," $	1,150,000.00 "," $	1,500,000.00 "
GREENPOINT               ,02 TWO FAMILY HOMES     ,30," $	480,000.00 "," $	1,377,185.00 "," $	1,275,000.00 "," $	2,700,000.00 "
GREENPOINT               ,03 THREE FAMILY HOMES   ,19," $	765,000.00 "," $	1,577,516.00 "," $	1,600,000.00 "," $	2,300,000.00 "
KENSINGTON               ,01 ONE FAMILY HOMES     ,8," $	233,599.00 "," $	799,675.00 "," $	689,000.00 "," $	1,612,814.00 "
KENSINGTON               ,02 TWO FAMILY HOMES     ,13," $	275,000.00 "," $	888,532.00 "," $	910,000.00 "," $	1,286,000.00 "
KENSINGTON               ,03 THREE FAMILY HOMES   ,6," $	487,200.00 "," $	902,700.00 "," $	945,000.00 "," $	1,200,000.00 "
MADISON                  ,01 ONE FAMILY HOMES     ,79," $	215,232.00 "," $	733,847.00 "," $	660,000.00 "," $	1,900,000.00 "
MADISON                  ,02 TWO FAMILY HOMES     ,53," $	200,000.00 "," $	739,214.00 "," $	670,000.00 "," $	1,516,000.00 "
MADISON                  ,03 THREE FAMILY HOMES   ,4," $	800,000.00 "," $	877,250.00 "," $	864,500.00 "," $	980,000.00 "
MANHATTAN BEACH          ,01 ONE FAMILY HOMES     ,41," $	380,000.00 "," $	1,325,257.00 "," $	1,070,000.00 "," $	7,750,000.00 "
MANHATTAN BEACH          ,02 TWO FAMILY HOMES     ,8," $	730,000.00 "," $	1,397,500.00 "," $	1,200,000.00 "," $	2,500,000.00 "
MARINE PARK              ,01 ONE FAMILY HOMES     ,123," $	200,000.00 "," $	505,574.00 "," $	499,500.00 "," $	885,000.00 "
MARINE PARK              ,02 TWO FAMILY HOMES     ,42," $	280,000.00 "," $	599,310.00 "," $	605,000.00 "," $	780,000.00 "
MARINE PARK              ,03 THREE FAMILY HOMES   ,2," $	428,000.00 "," $	544,000.00 "," $	544,000.00 "," $	660,000.00 "
MIDWOOD                  ,01 ONE FAMILY HOMES     ,94," $	238,942.00 "," $	827,687.00 "," $	738,000.00 "," $	2,240,150.00 "
MIDWOOD                  ,02 TWO FAMILY HOMES     ,57," $	225,000.00 "," $	816,896.00 "," $	775,000.00 "," $	1,825,000.00 "
MIDWOOD                  ,03 THREE FAMILY HOMES   ,10," $	250,000.00 "," $	879,400.00 "," $	847,500.00 "," $	1,650,000.00 "
MILL BASIN               ,01 ONE FAMILY HOMES     ,49," $	227,474.00 "," $	826,239.00 "," $	800,000.00 "," $	1,900,000.00 "
MILL BASIN               ,02 TWO FAMILY HOMES     ,31," $	450,000.00 "," $	737,452.00 "," $	705,000.00 "," $	1,600,000.00 "
NAVY YARD                ,01 ONE FAMILY HOMES     ,1," $	360,000.00 "," $	360,000.00 "," $	360,000.00 "," $	360,000.00 "
NAVY YARD                ,02 TWO FAMILY HOMES     ,3," $	350,000.00 "," $	720,000.00 "," $	900,000.00 "," $	910,000.00 "
NAVY YARD                ,03 THREE FAMILY HOMES   ,1," $	675,000.00 "," $	675,000.00 "," $	675,000.00 "," $	675,000.00 "
OCEAN HILL               ,01 ONE FAMILY HOMES     ,14," $	240,000.00 "," $	566,107.00 "," $	417,500.00 "," $	1,280,000.00 "
OCEAN HILL               ,02 TWO FAMILY HOMES     ,149," $	200,000.00 "," $	548,826.00 "," $	499,000.00 "," $	1,325,000.00 "
OCEAN HILL               ,03 THREE FAMILY HOMES   ,88," $	200,000.00 "," $	568,732.00 "," $	507,500.00 "," $	2,094,750.00 "
