NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
COBBLE HILL              ,02 TWO FAMILY HOMES                        ,7 ,"$999,999","$1,560,853","$1,535,000","$2,378,473"
COBBLE HILL              ,03 THREE FAMILY HOMES                      ,4 ,"$2,035,000","$2,371,250","$2,350,000","$2,750,000"
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES                        ,2 ,"$1,200,000","$1,245,000","$1,245,000","$1,290,000"
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES                      ,3 ,"$935,000","$1,094,583","$968,750","$1,380,000"
CONEY ISLAND             ,01 ONE FAMILY HOMES                        ,28 ,"$315,000","$430,250","$359,000","$2,200,000"
CONEY ISLAND             ,02 TWO FAMILY HOMES                        ,5 ,"$295,000","$607,000","$660,000","$950,000"
CONEY ISLAND             ,03 THREE FAMILY HOMES                      ,4 ,"$430,000","$701,250","$637,500","$1,100,000"
CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        ,44 ,"$230,000","$611,423","$600,000","$1,500,000"
CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        ,206 ,"$187,000","$591,996","$597,500","$1,293,000"
CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      ,90 ,"$165,000","$704,034","$714,000","$1,050,000"
CYPRESS HILLS            ,01 ONE FAMILY HOMES                        ,71 ,"$170,000","$415,821","$400,000","$990,000"
CYPRESS HILLS            ,02 TWO FAMILY HOMES                        ,271 ,"$164,666","$529,033","$555,000","$950,000"
CYPRESS HILLS            ,03 THREE FAMILY HOMES                      ,81 ,"$200,000","$571,356","$580,000","$950,000"
DOWNTOWN-FULTON FERRY    ,01 ONE FAMILY HOMES                        ,1 ,"$1,351,000","$1,351,000","$1,351,000","$1,351,000"
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES                        ,2 ,"$1,175,000","$1,235,000","$1,235,000","$1,295,000"
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES                        ,4 ,"$2,138,325","$2,523,580","$2,623,725","$2,708,545"
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES                        ,1 ,"$1,625,000","$1,625,000","$1,625,000","$1,625,000"
DOWNTOWN-METROTECH       ,03 THREE FAMILY HOMES                      ,1 ,"$850,500","$850,500","$850,500","$850,500"
DYKER HEIGHTS            ,01 ONE FAMILY HOMES                        ,63 ,"$310,000","$662,063","$620,000","$1,900,000"
DYKER HEIGHTS            ,02 TWO FAMILY HOMES                        ,73 ,"$225,000","$718,594","$695,000","$2,000,000"
DYKER HEIGHTS            ,03 THREE FAMILY HOMES                      ,21 ,"$380,000","$754,833","$690,000","$1,635,000"
EAST NEW YORK            ,01 ONE FAMILY HOMES                        ,186 ,"$189,000","$392,348","$370,000","$1,450,000"
EAST NEW YORK            ,02 TWO FAMILY HOMES                        ,686 ,"$150,000","$496,508","$509,563","$1,300,000"
EAST NEW YORK            ,03 THREE FAMILY HOMES                      ,259 ,"$236,250","$590,693","$598,900","$810,000"
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES                        ,83 ,"$200,000","$783,866","$792,000","$1,525,000"
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES                        ,103 ,"$190,000","$596,613","$560,000","$1,600,000"
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES                      ,53 ,"$255,377","$684,262","$716,850","$900,000"
FLATBUSH-EAST            ,01 ONE FAMILY HOMES                        ,310 ,"$150,000","$429,230","$425,000","$850,000"
FLATBUSH-EAST            ,02 TWO FAMILY HOMES                        ,280 ,"$150,000","$505,764","$520,000","$990,000"
FLATBUSH-EAST            ,03 THREE FAMILY HOMES                      ,68 ,"$239,543","$626,323","$650,000","$820,000"
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES                        ,30 ,"$195,000","$810,367","$849,500","$1,425,000"
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES                        ,27 ,"$215,000","$544,362","$570,000","$879,000"
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES                      ,11 ,"$495,000","$685,664","$695,500","$820,000"
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES                        ,53 ,"$203,500","$414,940","$400,000","$800,000"
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES                        ,127 ,"$180,000","$502,728","$483,000","$2,000,000"
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES                      ,45 ,"$419,760","$660,871","$670,000","$850,000"
FLATLANDS                ,01 ONE FAMILY HOMES                        ,80 ,"$190,000","$444,686","$450,000","$795,000"
FLATLANDS                ,02 TWO FAMILY HOMES                        ,100 ,"$177,925","$542,648","$550,000","$800,000"
FLATLANDS                ,03 THREE FAMILY HOMES                      ,14 ,"$206,000","$626,791","$661,500","$750,000"
FORT GREENE              ,01 ONE FAMILY HOMES                        ,4 ,"$550,000","$1,425,000","$1,375,000","$2,400,000"
FORT GREENE              ,02 TWO FAMILY HOMES                        ,20 ,"$280,000","$1,464,375","$1,600,000","$2,300,000"
FORT GREENE              ,03 THREE FAMILY HOMES                      ,10 ,"$150,000","$1,204,000","$1,275,000","$1,955,000"
GERRITSEN BEACH          ,01 ONE FAMILY HOMES                        ,58 ,"$160,000","$404,617","$390,000","$775,000"
GERRITSEN BEACH          ,02 TWO FAMILY HOMES                        ,1 ,"$465,000","$465,000","$465,000","$465,000"
GOWANUS                  ,01 ONE FAMILY HOMES                        ,6 ,"$435,000","$619,991","$589,973","$860,000"
GOWANUS                  ,02 TWO FAMILY HOMES                        ,29 ,"$415,000","$987,134","$930,000","$2,400,000"
GOWANUS                  ,03 THREE FAMILY HOMES                      ,11 ,"$500,000","$805,992","$805,000","$1,305,000"
GRAVESEND                ,01 ONE FAMILY HOMES                        ,60 ,"$225,000","$541,625","$484,950","$1,450,000"
GRAVESEND                ,02 TWO FAMILY HOMES                        ,162 ,"$178,464","$622,147","$615,475","$1,280,000"
GRAVESEND                ,03 THREE FAMILY HOMES                      ,48 ,"$250,000","$688,236","$750,000","$1,270,000"
GREENPOINT               ,01 ONE FAMILY HOMES                        ,9 ,"$499,990","$710,054","$715,500","$925,000"
GREENPOINT               ,02 TWO FAMILY HOMES                        ,43 ,"$150,000","$696,395","$680,000","$1,300,000"
GREENPOINT               ,03 THREE FAMILY HOMES                      ,38 ,"$150,000","$716,119","$781,100","$1,250,000"
KENSINGTON               ,01 ONE FAMILY HOMES                        ,7 ,"$200,000","$653,514","$680,000","$970,000"
KENSINGTON               ,02 TWO FAMILY HOMES                        ,22 ,"$499,000","$694,898","$700,000","$820,000"
KENSINGTON               ,03 THREE FAMILY HOMES                      ,8 ,"$581,950","$739,119","$724,500","$950,000"
MADISON                  ,01 ONE FAMILY HOMES                        ,97 ,"$180,000","$633,741","$620,000","$1,075,000"
MADISON                  ,02 TWO FAMILY HOMES                        ,56 ,"$150,500","$751,011","$662,500","$3,200,000"
MADISON                  ,03 THREE FAMILY HOMES                      ,3 ,"$318,000","$464,333","$535,000","$540,000"
MANHATTAN BEACH          ,01 ONE FAMILY HOMES                        ,22 ,"$365,000","$1,109,090","$990,000","$2,392,887"
MANHATTAN BEACH          ,02 TWO FAMILY HOMES                        ,12 ,"$360,000","$909,917","$956,000","$1,400,000"
MARINE PARK              ,01 ONE FAMILY HOMES                        ,154 ,"$150,000","$510,369","$497,000","$1,400,000"
MARINE PARK              ,02 TWO FAMILY HOMES                        ,64 ,"$200,000","$529,773","$535,000","$905,000"
MARINE PARK              ,03 THREE FAMILY HOMES                      ,5 ,"$320,000","$683,770","$746,750","$850,000"
MIDWOOD                  ,01 ONE FAMILY HOMES                        ,115 ,"$193,000","$813,569","$700,000","$3,200,000"
MIDWOOD                  ,02 TWO FAMILY HOMES                        ,51 ,"$175,000","$810,439","$770,000","$3,200,000"
MIDWOOD                  ,03 THREE FAMILY HOMES                      ,15 ,"$550,000","$830,180","$824,700","$1,550,000"
MILL BASIN               ,01 ONE FAMILY HOMES                        ,47 ,"$247,000","$902,148","$850,000","$2,235,000"
MILL BASIN               ,02 TWO FAMILY HOMES                        ,25 ,"$275,000","$834,413","$768,000","$1,860,000"
