NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES                        ,30,"$240,000.00 ","$550,317.00 ","$484,000.00 ","$1,100,000.00 "
BATH BEACH               ,02 TWO FAMILY HOMES                        ,98,"$167,750.00 ","$618,565.00 ","$632,500.00 ","$1,295,388.00 "
BATH BEACH               ,03 THREE FAMILY HOMES                      ,39,"$258,797.00 ","$729,053.00 ","$750,000.00 ","$1,190,000.00 "
BAY RIDGE                ,01 ONE FAMILY HOMES                        ,162,"$163,528.00 ","$709,522.00 ","$637,654.00 ","$2,200,000.00 "
BAY RIDGE                ,02 TWO FAMILY HOMES                        ,161,"$158,430.00 ","$712,913.00 ","$717,000.00 ","$1,300,000.00 "
BAY RIDGE                ,03 THREE FAMILY HOMES                      ,14,"$611,500.00 ","$839,929.00 ","$820,000.00 ","$1,165,000.00 "
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        ,103,"$160,000.00 ","$399,786.00 ","$399,000.00 ","$1,040,000.00 "
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        ,598,"$150,000.00 ","$502,910.00 ","$520,000.00 ","$1,150,000.00 "
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      ,346,"$150,000.00 ","$582,418.00 ","$591,125.00 ","$1,149,000.00 "
BENSONHURST              ,01 ONE FAMILY HOMES                        ,59,"$240,000.00 ","$598,950.00 ","$565,000.00 ","$1,275,000.00 "
BENSONHURST              ,02 TWO FAMILY HOMES                        ,161,"$150,000.00 ","$642,973.00 ","$635,000.00 ","$1,500,000.00 "
BENSONHURST              ,03 THREE FAMILY HOMES                      ,68,"$170,000.00 ","$680,368.00 ","$702,250.00 ","$1,575,000.00 "
BERGEN BEACH             ,01 ONE FAMILY HOMES                        ,112,"$253,500.00 ","$583,981.00 ","$531,976.00 ","$1,321,000.00 "
BERGEN BEACH             ,02 TWO FAMILY HOMES                        ,72,"$150,000.00 ","$593,673.00 ","$595,676.00 ","$1,125,000.00 "
BERGEN BEACH             ,03 THREE FAMILY HOMES                      ,24,"$200,000.00 ","$660,352.00 ","$675,000.00 ","$780,000.00 "
BOERUM HILL              ,01 ONE FAMILY HOMES                        ,4,"$690,000.00 ","$1,360,000.00 ","$1,200,000.00 ","$2,350,000.00 "
BOERUM HILL              ,02 TWO FAMILY HOMES                        ,18,"$650,000.00 ","$1,277,417.00 ","$1,137,250.00 ","$3,600,000.00 "
BOERUM HILL              ,03 THREE FAMILY HOMES                      ,13,"$885,000.00 ","$1,308,218.00 ","$999,999.00 ","$2,500,000.00 "
BOROUGH PARK             ,01 ONE FAMILY HOMES                        ,75,"$203,000.00 ","$632,418.00 ","$580,000.00 ","$1,550,000.00 "
BOROUGH PARK             ,02 TWO FAMILY HOMES                        ,239,"$175,000.00 ","$709,761.00 ","$675,000.00 ","$2,360,000.00 "
BOROUGH PARK             ,03 THREE FAMILY HOMES                      ,79,"$181,875.00 ","$826,872.00 ","$756,500.00 ","$2,129,925.00 "
BRIGHTON BEACH           ,01 ONE FAMILY HOMES                        ,28,"$255,000.00 ","$508,993.00 ","$515,000.00 ","$830,000.00 "
BRIGHTON BEACH           ,02 TWO FAMILY HOMES                        ,45,"$172,500.00 ","$570,748.00 ","$550,000.00 ","$1,430,000.00 "
BRIGHTON BEACH           ,03 THREE FAMILY HOMES                      ,14,"$350,000.00 ","$658,071.00 ","$652,500.00 ","$1,200,000.00 "
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES                        ,10,"$1,750,000.00 ","$2,753,714.00 ","$2,625,000.00 ","$4,200,000.00 "
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES                        ,13,"$1,050,000.00 ","$3,117,308.00 ","$2,700,000.00 ","$8,925,000.00 "
BROWNSVILLE              ,01 ONE FAMILY HOMES                        ,82,"$191,039.00 ","$286,982.00 ","$285,000.00 ","$490,000.00 "
BROWNSVILLE              ,02 TWO FAMILY HOMES                        ,85,"$185,000.00 ","$405,008.00 ","$412,800.00 ","$556,000.00 "
BROWNSVILLE              ,03 THREE FAMILY HOMES                      ,21,"$362,291.00 ","$480,562.00 ","$450,000.00 ","$659,000.00 "
BUSH TERMINAL            ,01 ONE FAMILY HOMES                        ,2,"$309,000.00 ","$417,150.00 ","$417,150.00 ","$525,300.00 "
BUSH TERMINAL            ,02 TWO FAMILY HOMES                        ,14,"$300,000.00 ","$480,286.00 ","$507,000.00 ","$600,000.00 "
BUSH TERMINAL            ,03 THREE FAMILY HOMES                      ,3,"$350,000.00 ","$530,000.00 ","$485,000.00 ","$755,000.00 "
BUSHWICK                 ,01 ONE FAMILY HOMES                        ,34,"$160,000.00 ","$373,028.00 ","$374,500.00 ","$775,000.00 "
BUSHWICK                 ,02 TWO FAMILY HOMES                        ,418,"$150,000.00 ","$425,344.00 ","$436,750.00 ","$670,000.00 "
BUSHWICK                 ,03 THREE FAMILY HOMES                      ,240,"$171,396.00 ","$537,464.00 ","$530,000.00 ","$788,500.00 "
CANARSIE                 ,01 ONE FAMILY HOMES                        ,226,"$150,000.00 ","$366,505.00 ","$366,020.00 ","$675,000.00 "
CANARSIE                 ,02 TWO FAMILY HOMES                        ,551,"$150,000.00 ","$482,092.00 ","$482,000.00 ","$1,200,000.00 "
CANARSIE                 ,03 THREE FAMILY HOMES                      ,78,"$330,000.00 ","$556,184.00 ","$572,500.00 ","$712,775.00 "
CARROLL GARDENS          ,01 ONE FAMILY HOMES                        ,2,"$650,500.00 ","$1,027,750.00 ","$1,027,750.00 ","$1,405,000.00 "
CARROLL GARDENS          ,02 TWO FAMILY HOMES                        ,29,"$372,000.00 ","$1,023,375.00 ","$990,000.00 ","$2,025,000.00 "
CARROLL GARDENS          ,03 THREE FAMILY HOMES                      ,22,"$198,000.00 ","$1,265,302.00 ","$1,350,000.00 ","$2,200,000.00 "
CLINTON HILL             ,01 ONE FAMILY HOMES                        ,8,"$355,000.00 ","$933,500.00 ","$974,000.00 ","$1,340,000.00 "
CLINTON HILL             ,02 TWO FAMILY HOMES                        ,33,"$250,000.00 ","$992,218.00 ","$950,000.00 ","$2,150,000.00 "
CLINTON HILL             ,03 THREE FAMILY HOMES                      ,21,"$255,652.00 ","$904,414.00 ","$945,000.00 ","$1,425,000.00 "
COBBLE HILL              ,01 ONE FAMILY HOMES                        ,2,"$850,000.00 ","$1,450,000.00 ","$1,450,000.00 ","$2,050,000.00 "
COBBLE HILL              ,02 TWO FAMILY HOMES                        ,10,"$550,000.00 ","$1,541,131.00 ","$1,600,055.00 ","$2,450,000.00 "
COBBLE HILL              ,03 THREE FAMILY HOMES                      ,3,"$1,545,000.00 ","$1,881,667.00 ","$1,900,000.00 ","$2,200,000.00 "
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES                        ,1,"$900,000.00 ","$900,000.00 ","$900,000.00 ","$900,000.00 "
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES                        ,4,"$850,000.00 ","$1,593,525.00 ","$1,162,050.00 ","$3,200,000.00 "
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES                      ,1,"$660,000.00 ","$660,000.00 ","$660,000.00 ","$660,000.00 "
