NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
COBBLE HILL              ,03 THREE FAMILY HOMES                      , 	5 ,"$499,000","$1,849,800","$2,200,000","$2,500,000"
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES                        , 	1 ,"$1,221,900","$1,221,900","$1,221,900","$1,221,900"
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES                      , 	5 ,"$550,000","$817,000","$650,000","$1,250,000"
CONEY ISLAND             ,01 ONE FAMILY HOMES                        , 	17 ,"$151,117","$366,942","$369,000","$575,000"
CONEY ISLAND             ,02 TWO FAMILY HOMES                        , 	4 ,"$375,000","$475,000","$450,000","$625,000"
CROWN HEIGHTS            ,01 ONE FAMILY HOMES                        , 	15 ,"$180,000","$654,454","$650,000","$1,250,000"
CROWN HEIGHTS            ,02 TWO FAMILY HOMES                        , 	107 ,"$165,000","$560,856","$570,000","$1,450,000"
CROWN HEIGHTS            ,03 THREE FAMILY HOMES                      , 	48 ,"$250,000","$646,876","$707,500","$1,066,500"
CYPRESS HILLS            ,01 ONE FAMILY HOMES                        , 	17 ,"$172,380","$381,877","$370,000","$610,000"
CYPRESS HILLS            ,02 TWO FAMILY HOMES                        , 	74 ,"$160,000","$512,838","$550,000","$690,000"
CYPRESS HILLS            ,03 THREE FAMILY HOMES                      , 	27 ,"$150,000","$523,126","$561,000","$731,000"
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES                        , 	3 ,"$470,000","$690,000","$800,000","$800,000"
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES                        , 	1 ,"$1,375,000","$1,375,000","$1,375,000","$1,375,000"
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES                        , 	2 ,"$830,000","$1,515,000","$1,515,000","$2,200,000"
DOWNTOWN-METROTECH       ,02 TWO FAMILY HOMES                        , 	1 ,"$950,000","$950,000","$950,000","$950,000"
DYKER HEIGHTS            ,01 ONE FAMILY HOMES                        , 	58 ,"$212,000","$662,608","$595,000","$2,100,000"
DYKER HEIGHTS            ,02 TWO FAMILY HOMES                        , 	60 ,"$150,000","$687,163","$677,500","$1,530,000"
DYKER HEIGHTS            ,03 THREE FAMILY HOMES                      , 	12 ,"$687,203","$910,237","$857,750","$1,350,000"
EAST NEW YORK            ,01 ONE FAMILY HOMES                        , 	67 ,"$159,900","$365,572","$365,225","$670,000"
EAST NEW YORK            ,02 TWO FAMILY HOMES                        , 	249 ,"$154,000","$451,652","$475,000","$740,000"
EAST NEW YORK            ,03 THREE FAMILY HOMES                      , 	75 ,"$190,000","$533,621","$573,400","$780,000"
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES                        , 	50 ,"$225,000","$793,418","$840,000","$1,850,000"
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES                        , 	44 ,"$185,000","$592,142","$561,657","$1,454,000"
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES                      , 	21 ,"$340,779","$645,078","$665,000","$769,797"
FLATBUSH-EAST            ,01 ONE FAMILY HOMES                        , 	117 ,"$168,750","$412,683","$410,000","$735,500"
FLATBUSH-EAST            ,02 TWO FAMILY HOMES                        , 	108 ,"$190,000","$507,805","$508,500","$800,000"
FLATBUSH-EAST            ,03 THREE FAMILY HOMES                      , 	23 ,"$225,000","$570,781","$605,000","$810,000"
FLATBUSH-LEFFERTS GARDEN ,01 ONE FAMILY HOMES                        , 	17 ,"$521,250","$841,603","$877,000","$1,425,000"
FLATBUSH-LEFFERTS GARDEN ,02 TWO FAMILY HOMES                        , 	14 ,"$500,000","$676,621","$639,096","$1,021,500"
FLATBUSH-LEFFERTS GARDEN ,03 THREE FAMILY HOMES                      , 	8 ,"$477,000","$668,563","$733,000","$799,000"
FLATBUSH-NORTH           ,01 ONE FAMILY HOMES                        , 	15 ,"$265,000","$416,296","$407,000","$550,000"
FLATBUSH-NORTH           ,02 TWO FAMILY HOMES                        , 	42 ,"$150,000","$457,558","$466,750","$753,697"
FLATBUSH-NORTH           ,03 THREE FAMILY HOMES                      , 	21 ,"$350,000","$587,598","$583,000","$805,000"
FLATLANDS                ,01 ONE FAMILY HOMES                        , 	41 ,"$175,000","$399,126","$414,000","$625,000"
FLATLANDS                ,02 TWO FAMILY HOMES                        , 	29 ,"$220,000","$478,028","$470,000","$680,000"
FLATLANDS                ,03 THREE FAMILY HOMES                      , 	5 ,"$493,459","$660,492","$670,000","$799,000"
FORT GREENE              ,01 ONE FAMILY HOMES                        , 	3 ,"$999,990","$1,843,497","$1,475,000","$3,055,500"
FORT GREENE              ,02 TWO FAMILY HOMES                        , 	7 ,"$520,000","$1,197,177","$1,150,000","$1,930,000"
FORT GREENE              ,03 THREE FAMILY HOMES                      , 	10 ,"$400,000","$1,485,625","$1,590,625","$2,375,000"
GERRITSEN BEACH          ,01 ONE FAMILY HOMES                        , 	37 ,"$175,000","$394,667","$355,000","$850,000"
GERRITSEN BEACH          ,02 TWO FAMILY HOMES                        , 	5 ,"$235,000","$468,000","$450,000","$640,000"
GOWANUS                  ,01 ONE FAMILY HOMES                        , 	4 ,"$450,000","$792,500","$710,000","$1,300,000"
GOWANUS                  ,02 TWO FAMILY HOMES                        , 	16 ,"$355,000","$835,538","$889,010","$1,200,000"
GOWANUS                  ,03 THREE FAMILY HOMES                      , 	5 ,"$260,000","$785,800","$860,000","$999,000"
GRAVESEND                ,01 ONE FAMILY HOMES                        , 	55 ,"$185,000","$524,103","$534,500","$935,000"
GRAVESEND                ,02 TWO FAMILY HOMES                        , 	95 ,"$160,000","$612,629","$625,000","$1,150,000"
GRAVESEND                ,03 THREE FAMILY HOMES                      , 	48 ,"$160,000","$763,134","$760,000","$1,322,503"
GREENPOINT               ,01 ONE FAMILY HOMES                        , 	5 ,"$307,500","$695,500","$700,000","$1,100,000"
GREENPOINT               ,02 TWO FAMILY HOMES                        , 	27 ,"$315,500","$771,449","$740,000","$1,475,000"
GREENPOINT               ,03 THREE FAMILY HOMES                      , 	20 ,"$365,000","$787,883","$832,500","$1,075,000"
KENSINGTON               ,01 ONE FAMILY HOMES                        , 	8 ,"$357,500","$647,063","$675,000","$805,000"
KENSINGTON               ,02 TWO FAMILY HOMES                        , 	21 ,"$300,000","$706,548","$715,000","$1,375,000"
KENSINGTON               ,03 THREE FAMILY HOMES                      , 	3 ,"$326,666","$587,222","$625,000","$810,000"
MADISON                  ,01 ONE FAMILY HOMES                        , 	77 ,"$200,000","$667,750","$610,000","$1,450,000"
MADISON                  ,02 TWO FAMILY HOMES                        , 	39 ,"$175,000","$672,343","$694,250","$1,325,000"
MADISON                  ,03 THREE FAMILY HOMES                      , 	5 ,"$495,500","$891,800","$813,500","$1,400,000"
MANHATTAN BEACH          ,01 ONE FAMILY HOMES                        , 	30 ,"$180,000","$1,101,833","$872,500","$3,500,000"
MANHATTAN BEACH          ,02 TWO FAMILY HOMES                        , 	12 ,"$650,000","$1,310,833","$1,017,500","$3,050,000"
MARINE PARK              ,01 ONE FAMILY HOMES                        , 	136 ,"$200,000","$468,321","$458,750","$800,000"
MARINE PARK              ,02 TWO FAMILY HOMES                        , 	41 ,"$242,000","$539,875","$542,500","$815,000"
MARINE PARK              ,03 THREE FAMILY HOMES                      , 	2 ,"$722,500","$773,750","$773,750","$825,000"
MIDWOOD                  ,01 ONE FAMILY HOMES                        , 	79 ,"$281,125","$850,667","$730,500","$2,600,000"
MIDWOOD                  ,02 TWO FAMILY HOMES                        , 	40 ,"$320,000","$723,890","$660,000","$1,650,000"
MIDWOOD                  ,03 THREE FAMILY HOMES                      , 	7 ,"$465,000","$892,001","$865,000","$1,550,000"
MILL BASIN               ,01 ONE FAMILY HOMES                        , 	38 ,"$295,000","$956,631","$885,000","$2,600,000"
MILL BASIN               ,02 TWO FAMILY HOMES                        , 	16 ,"$325,000","$695,910","$706,500","$890,000"
NAVY YARD                ,01 ONE FAMILY HOMES                        , 	1 ,"$710,000","$710,000","$710,000","$710,000"
NAVY YARD                ,02 TWO FAMILY HOMES                        , 	1 ,"$721,439","$721,439","$721,439","$721,439"
