NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,26,"$410,000.00 ","$645,192.00 ","$571,500.00 ","$1,707,200.00 "
BATH BEACH               ,02 TWO FAMILY HOMES     ,50,"$240,000.00 ","$696,664.00 ","$685,000.00 ","$1,060,000.00 "
BATH BEACH               ,03 THREE FAMILY HOMES   ,18,"$400,000.00 ","$922,370.00 ","$935,000.00 ","$1,398,000.00 "
BAY RIDGE                ,01 ONE FAMILY HOMES     ,107,"$283,920.00 ","$820,246.00 ","$756,000.00 ","$2,850,000.00 "
BAY RIDGE                ,02 TWO FAMILY HOMES     ,128,"$200,000.00 ","$795,312.00 ","$783,250.00 ","$1,410,000.00 "
BAY RIDGE                ,03 THREE FAMILY HOMES   ,10,"$510,000.00 ","$860,900.00 ","$855,500.00 ","$1,280,000.00 "
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,48,"$200,000.00 ","$541,900.00 ","$526,365.00 ","$1,204,000.00 "
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,370,"$200,000.00 ","$616,231.00 ","$602,000.00 ","$1,800,000.00 "
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,243,"$200,000.00 ","$651,602.00 ","$600,000.00 ","$1,850,000.00 "
BENSONHURST              ,01 ONE FAMILY HOMES     ,45,"$330,000.00 ","$707,607.00 ","$630,000.00 ","$1,500,000.00 "
BENSONHURST              ,02 TWO FAMILY HOMES     ,158,"$225,000.00 ","$787,787.00 ","$770,000.00 ","$2,100,000.00 "
BENSONHURST              ,03 THREE FAMILY HOMES   ,32,"$250,500.00 ","$890,155.00 ","$931,250.00 ","$1,425,000.00 "
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,38,"$225,000.00 ","$552,941.00 ","$522,500.00 ","$1,200,000.00 "
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,27,"$360,000.00 ","$643,778.00 ","$608,000.00 ","$1,550,000.00 "
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,11,"$545,000.00 ","$665,645.00 ","$675,000.00 ","$785,000.00 "
BOERUM HILL              ,01 ONE FAMILY HOMES     ,7,"$225,000.00 ","$1,786,393.00 ","$1,925,000.00 ","$3,200,000.00 "
BOERUM HILL              ,02 TWO FAMILY HOMES     ,9,"$900,000.00 ","$4,683,611.00 ","$2,550,000.00 ","$23,000,000.00 "
BOERUM HILL              ,03 THREE FAMILY HOMES   ,8,"$1,325,000.00 ","$2,423,375.00 ","$2,765,000.00 ","$3,245,000.00 "
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,54,"$275,000.00 ","$677,373.00 ","$665,000.00 ","$2,025,000.00 "
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,194,"$225,000.00 ","$773,851.00 ","$750,000.00 ","$2,922,888.00 "
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,69,"$310,000.00 ","$934,964.00 ","$900,000.00 ","$2,450,000.00 "
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,12,"$202,000.00 ","$348,708.00 ","$302,500.00 ","$700,000.00 "
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,14,"$200,000.00 ","$536,593.00 ","$542,500.00 ","$1,225,000.00 "
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,7,"$260,000.00 ","$511,171.00 ","$570,000.00 ","$657,000.00 "
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,4,"$1,699,912.00 ","$5,337,478.00 ","$5,487,500.00 ","$8,675,000.00 "
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,9,"$1,990,000.00 ","$3,408,333.00 ","$3,400,000.00 ","$5,200,000.00 "
BROOKLYN HEIGHTS         ,03 THREE FAMILY HOMES   ,2,"$3,025,000.00 ","$3,150,000.00 ","$3,150,000.00 ","$3,275,000.00 "
BROOKLYN-UNKNOWN         ,01 ONE FAMILY HOMES     ,1,"$645,000.00 ","$645,000.00 ","$645,000.00 ","$645,000.00 "
BROOKLYN-UNKNOWN         ,02 TWO FAMILY HOMES     ,2,"$800,000.00 ","$900,000.00 ","$900,000.00 ","$1,000,000.00 "
BROWNSVILLE              ,01 ONE FAMILY HOMES     ,21,"$200,000.00 ","$275,981.00 ","$280,000.00 ","$403,500.00 "
BROWNSVILLE              ,02 TWO FAMILY HOMES     ,30,"$201,070.00 ","$364,873.00 ","$391,092.00 ","$515,000.00 "
BROWNSVILLE              ,03 THREE FAMILY HOMES   ,9,"$210,000.00 ","$465,992.00 ","$370,000.00 ","$792,000.00 "
BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,9,"$250,000.00 ","$510,556.00 ","$480,000.00 ","$950,000.00 "
BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,3,"$549,000.00 ","$611,333.00 ","$560,000.00 ","$725,000.00 "
BUSHWICK                 ,01 ONE FAMILY HOMES     ,15,"$234,000.00 ","$431,800.00 ","$412,000.00 ","$750,000.00 "
BUSHWICK                 ,02 TWO FAMILY HOMES     ,235,"$200,000.00 ","$466,627.00 ","$451,000.00 ","$1,210,000.00 "
BUSHWICK                 ,03 THREE FAMILY HOMES   ,144,"$200,000.00 ","$467,500.00 ","$445,000.00 ","$1,255,000.00 "
CANARSIE                 ,01 ONE FAMILY HOMES     ,63,"$200,000.00 ","$330,436.00 ","$355,100.00 ","$715,000.00 "
CANARSIE                 ,02 TWO FAMILY HOMES     ,153,"$200,000.00 ","$412,110.00 ","$425,000.00 ","$630,000.00 "
CANARSIE                 ,03 THREE FAMILY HOMES   ,24,"$210,000.00 ","$501,659.00 ","$547,500.00 ","$650,000.00 "
CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,5,"$950,000.00 ","$1,972,500.00 ","$2,052,500.00 ","$2,425,000.00 "
CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,21,"$740,000.00 ","$2,053,167.00 ","$2,036,500.00 ","$3,300,000.00 "
CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,6,"$740,000.00 ","$1,565,083.00 ","$1,455,500.00 ","$2,550,000.00 "
CLINTON HILL             ,01 ONE FAMILY HOMES     ,9,"$200,000.00 ","$1,321,556.00 ","$1,200,000.00 ","$2,650,000.00 "
CLINTON HILL             ,02 TWO FAMILY HOMES     ,25,"$610,950.00 ","$1,653,879.00 ","$1,555,000.00 ","$3,100,000.00 "
CLINTON HILL             ,03 THREE FAMILY HOMES   ,12,"$475,000.00 ","$1,434,750.00 ","$1,329,000.00 ","$2,850,000.00 "
COBBLE HILL              ,01 ONE FAMILY HOMES     ,6,"$1,300,000.00 ","$2,016,667.00 ","$1,450,000.00 ","$3,750,000.00 "
COBBLE HILL              ,02 TWO FAMILY HOMES     ,6,"$1,200,000.00 ","$2,741,500.00 ","$2,350,000.00 ","$4,500,000.00 "
COBBLE HILL              ,03 THREE FAMILY HOMES   ,8,"$2,400,000.00 ","$3,793,125.00 ","$3,550,000.00 ","$6,750,000.00 "
COBBLE HILL-WEST         ,01 ONE FAMILY HOMES     ,1,"$1,260,000.00 ","$1,260,000.00 ","$1,260,000.00 ","$1,260,000.00 "
COBBLE HILL-WEST         ,02 TWO FAMILY HOMES     ,1,"$735,000.00 ","$735,000.00 ","$735,000.00 ","$735,000.00 "
COBBLE HILL-WEST         ,03 THREE FAMILY HOMES   ,4,"$1,200,000.00 ","$1,697,500.00 ","$1,730,000.00 ","$2,130,000.00 "
CONEY ISLAND             ,01 ONE FAMILY HOMES     ,18,"$211,926.00 ","$356,371.00 ","$363,873.00 ","$550,000.00 "
CONEY ISLAND             ,02 TWO FAMILY HOMES     ,5,"$465,000.00 ","$609,600.00 ","$480,000.00 ","$888,000.00 "
CONEY ISLAND             ,03 THREE FAMILY HOMES   ,1,"$225,000.00 ","$225,000.00 ","$225,000.00 ","$225,000.00 "
CROWN HEIGHTS            ,01 ONE FAMILY HOMES     ,34,"$210,000.00 ","$683,243.00 ","$712,500.00 ","$1,125,000.00 "
CROWN HEIGHTS            ,02 TWO FAMILY HOMES     ,155,"$200,000.00 ","$594,479.00 ","$530,000.00 ","$1,700,000.00 "
CROWN HEIGHTS            ,03 THREE FAMILY HOMES   ,49,"$258,000.00 ","$706,863.00 ","$630,000.00 ","$1,400,000.00 "
CYPRESS HILLS            ,01 ONE FAMILY HOMES     ,25,"$220,000.00 ","$339,924.00 ","$322,400.00 ","$825,000.00 "
CYPRESS HILLS            ,02 TWO FAMILY HOMES     ,116,"$200,000.00 ","$435,744.00 ","$457,500.00 ","$1,050,000.00 "
CYPRESS HILLS            ,03 THREE FAMILY HOMES   ,17,"$200,000.00 ","$452,556.00 ","$440,000.00 ","$580,000.00 "
DOWNTOWN-FULTON FERRY    ,02 TWO FAMILY HOMES     ,1,"$910,000.00 ","$910,000.00 ","$910,000.00 ","$910,000.00 "
DOWNTOWN-FULTON MALL     ,01 ONE FAMILY HOMES     ,3,"$3,431,025.00 ","$3,531,633.00 ","$3,563,875.00 ","$3,600,000.00 "
DOWNTOWN-FULTON MALL     ,02 TWO FAMILY HOMES     ,3,"$2,755,000.00 ","$4,951,667.00 ","$3,000,000.00 ","$9,100,000.00 "
DYKER HEIGHTS            ,01 ONE FAMILY HOMES     ,62,"$300,000.00 ","$742,637.00 ","$675,000.00 ","$1,860,000.00 "
DYKER HEIGHTS            ,02 TWO FAMILY HOMES     ,82,"$200,000.00 ","$808,709.00 ","$790,000.00 ","$1,745,000.00 "
DYKER HEIGHTS            ,03 THREE FAMILY HOMES   ,21,"$438,000.00 ","$790,285.00 ","$839,900.00 ","$1,230,000.00 "
EAST NEW YORK            ,01 ONE FAMILY HOMES     ,44,"$206,180.00 ","$310,434.00 ","$319,000.00 ","$465,000.00 "
EAST NEW YORK            ,02 TWO FAMILY HOMES     ,200,"$200,000.00 ","$372,630.00 ","$385,770.00 ","$595,525.00 "
EAST NEW YORK            ,03 THREE FAMILY HOMES   ,85,"$200,000.00 ","$512,248.00 ","$425,000.00 ","$4,121,811.00 "
FLATBUSH-CENTRAL         ,01 ONE FAMILY HOMES     ,59,"$200,000.00 ","$956,216.00 ","$942,500.00 ","$2,200,000.00 "
FLATBUSH-CENTRAL         ,02 TWO FAMILY HOMES     ,55,"$205,000.00 ","$670,575.00 ","$525,000.00 ","$3,100,000.00 "
FLATBUSH-CENTRAL         ,03 THREE FAMILY HOMES   ,11,"$225,000.00 ","$611,319.00 ","$561,000.00 ","$1,478,000.00 "
