NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES     ,13 ,"$465,000","$543,269","$525,000","$751,000"
BATH BEACH               ,02 TWO FAMILY HOMES     ,55 ,"$390,000","$643,936","$600,000","$1,480,000"
BATH BEACH               ,03 THREE FAMILY HOMES   ,14 ,"$440,000","$774,710","$722,500","$1,222,000"
BAY RIDGE                ,01 ONE FAMILY HOMES     ,87 ,"$250,000","$779,805","$668,800","$2,750,000"
BAY RIDGE                ,02 TWO FAMILY HOMES     ,88 ,"$200,000","$776,096","$760,750","$2,675,000"
BAY RIDGE                ,03 THREE FAMILY HOMES   ,13 ,"$600,000","$778,308","$780,000","$995,000"
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES     ,25 ,"$160,000","$368,500","$330,500","$865,000"
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES     ,281 ,"$150,000","$424,506","$425,000","$1,200,000"
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES   ,152 ,"$175,000","$484,179","$432,500","$1,075,000"
BENSONHURST              ,01 ONE FAMILY HOMES     ,35 ,"$410,500","$611,671","$578,000","$1,220,000"
BENSONHURST              ,02 TWO FAMILY HOMES     ,107 ,"$195,000","$746,075","$738,000","$1,800,000"
BENSONHURST              ,03 THREE FAMILY HOMES   ,32 ,"$450,000","$904,203","$870,000","$1,775,000"
BERGEN BEACH             ,01 ONE FAMILY HOMES     ,37 ,"$200,000","$553,804","$540,000","$1,050,000"
BERGEN BEACH             ,02 TWO FAMILY HOMES     ,17 ,"$250,000","$645,206","$637,000","$875,000"
BERGEN BEACH             ,03 THREE FAMILY HOMES   ,8 ,"$530,000","$627,250","$631,500","$715,000"
BOERUM HILL              ,01 ONE FAMILY HOMES     ,6 ,"$1,050,000","$1,811,667","$1,865,000","$2,250,000"
BOERUM HILL              ,02 TWO FAMILY HOMES     ,14 ,"$695,000","$1,476,964","$1,393,750","$2,870,000"
BOERUM HILL              ,03 THREE FAMILY HOMES   ,3 ,"$1,100,000","$1,728,333","$1,775,000","$2,310,000"
BOROUGH PARK             ,01 ONE FAMILY HOMES     ,45 ,"$230,000","$573,567","$580,000","$950,000"
BOROUGH PARK             ,02 TWO FAMILY HOMES     ,154 ,"$220,000","$712,539","$700,000","$3,100,000"
BOROUGH PARK             ,03 THREE FAMILY HOMES   ,55 ,"$172,301","$749,669","$795,000","$2,000,000"
BRIGHTON BEACH           ,01 ONE FAMILY HOMES     ,8 ,"$160,000","$450,000","$410,000","$800,000"
BRIGHTON BEACH           ,02 TWO FAMILY HOMES     ,15 ,"$155,000","$504,702","$500,000","$900,000"
BRIGHTON BEACH           ,03 THREE FAMILY HOMES   ,9 ,"$160,000","$405,222","$425,000","$615,000"
BROOKLYN HEIGHTS         ,01 ONE FAMILY HOMES     ,8 ,"$2,100,000","$3,383,750","$3,200,000","$5,250,000"
BROOKLYN HEIGHTS         ,02 TWO FAMILY HOMES     ,7 ,"$2,575,000","$3,350,000","$3,000,000","$6,000,000"
BROWNSVILLE              ,01 ONE FAMILY HOMES     ,14 ,"$157,055","$238,343","$245,350","$302,000"
BROWNSVILLE              ,02 TWO FAMILY HOMES     ,24 ,"$157,064","$368,522","$387,500","$515,000"
BROWNSVILLE              ,03 THREE FAMILY HOMES   ,8 ,"$235,000","$356,250","$325,750","$510,000"
BUSH TERMINAL            ,02 TWO FAMILY HOMES     ,3 ,"$515,000","$590,000","$515,000","$740,000"
BUSH TERMINAL            ,03 THREE FAMILY HOMES   ,1 ,"$410,000","$410,000","$410,000","$410,000"
BUSHWICK                 ,01 ONE FAMILY HOMES     ,6 ,"$230,000","$327,000","$306,000","$555,000"
BUSHWICK                 ,02 TWO FAMILY HOMES     ,126 ,"$159,275","$340,772","$287,113","$875,000"
BUSHWICK                 ,03 THREE FAMILY HOMES   ,71 ,"$160,000","$386,460","$390,000","$763,000"
CANARSIE                 ,01 ONE FAMILY HOMES     ,68 ,"$150,000","$326,198","$352,500","$560,037"
CANARSIE                 ,02 TWO FAMILY HOMES     ,161 ,"$155,000","$402,036","$410,000","$625,000"
CANARSIE                 ,03 THREE FAMILY HOMES   ,26 ,"$200,000","$496,771","$519,500","$640,000"
CARROLL GARDENS          ,01 ONE FAMILY HOMES     ,1 ,"$1,305,000","$1,305,000","$1,305,000","$1,305,000"
CARROLL GARDENS          ,02 TWO FAMILY HOMES     ,15 ,"$200,000","$1,201,807","$1,187,000","$2,400,000"
CARROLL GARDENS          ,03 THREE FAMILY HOMES   ,19 ,"$220,255","$1,281,892","$1,410,000","$2,375,000"
CLINTON HILL             ,01 ONE FAMILY HOMES     ,3 ,"$999,000","$1,576,333","$1,800,000","$1,930,000"
CLINTON HILL             ,02 TWO FAMILY HOMES     ,30 ,"$300,000","$1,079,600","$1,100,000","$2,090,000"
