NEIGHBORHOOD,TYPE OF HOME,NUMBER OF SALES,LOWEST SALE PRICE,AVERAGE SALE PRICE,MEDIAN SALE PRICE,HIGHEST SALE PRICE
BATH BEACH               ,01 ONE FAMILY HOMES                        , 	19 ,"$155,356","$551,466","$500,000","$1,500,000"
BATH BEACH               ,02 TWO FAMILY HOMES                        , 	52 ,"$150,000","$603,588","$615,000","$945,000"
BATH BEACH               ,03 THREE FAMILY HOMES                      , 	20 ,"$500,000","$877,756","$896,848","$1,180,000"
BAY RIDGE                ,01 ONE FAMILY HOMES                        , 	99 ,"$349,500","$752,953","$645,000","$2,525,000"
BAY RIDGE                ,02 TWO FAMILY HOMES                        , 	97 ,"$150,000","$690,439","$710,000","$1,300,000"
BAY RIDGE                ,03 THREE FAMILY HOMES                      , 	7 ,"$375,000","$762,857","$730,000","$1,300,000"
BEDFORD STUYVESANT       ,01 ONE FAMILY HOMES                        , 	23 ,"$150,000","$402,858","$310,000","$890,854"
BEDFORD STUYVESANT       ,02 TWO FAMILY HOMES                        , 	186 ,"$165,000","$457,947","$449,500","$1,550,000"
BEDFORD STUYVESANT       ,03 THREE FAMILY HOMES                      , 	112 ,"$200,000","$492,884","$480,000","$1,400,000"
BENSONHURST              ,01 ONE FAMILY HOMES                        , 	32 ,"$300,000","$596,578","$574,500","$1,318,000"
BENSONHURST              ,02 TWO FAMILY HOMES                        , 	103 ,"$150,000","$684,213","$675,000","$1,300,000"
BENSONHURST              ,03 THREE FAMILY HOMES                      , 	39 ,"$150,000","$732,186","$775,000","$1,148,586"
BERGEN BEACH             ,01 ONE FAMILY HOMES                        , 	37 ,"$200,000","$655,406","$570,000","$2,850,000"
BERGEN BEACH             ,02 TWO FAMILY HOMES                        , 	33 ,"$366,573","$695,892","$710,000","$1,377,302"
BERGEN BEACH             ,03 THREE FAMILY HOMES                      , 	7 ,"$540,000","$654,143","$670,000","$750,000"
BOERUM HILL              ,01 ONE FAMILY HOMES                        , 	1 ,"$1,715,000","$1,715,000","$1,715,000","$1,715,000"
