Neighborhood,Weight_2015,Weight_2016,Weight_2017,Variance,Variance_prediction
DUMBO,2.475,2.525,2.4,-0.041666666666666706,0.019801980198019733
Kingsbridge,2.3736928104575163,2.489613970588235,2.4666666666666663,0.014194571409644873,0.04656190136309738
Fresh Meadows,2.4099999999999997,2.5,2.41,-0.01867219917012445,0.03600000000000012
Edenwald,2.4161616161616166,2.478409090909091,2.45005980861244,0.0011324029998506721,0.02511589994396032
Theater District,2.2333333333333334,2.3666666666666667,2.3000000000000003,1.930822651522011E-16,0.05633802816901407
Tottenville,2.3833333333333333,2.533333333333333,2.533333333333333,0.029605263157894808,0.05921052631578944
Stuyvesant Town,2.5,2.4,2.15,-0.13953488372093037,-0.041666666666666706
Melrose,2.3100566703827576,2.475143020594966,2.4428929765886296,0.020587529450430343,0.06669770144131927
Two Bridges,2.3062500000000004,2.4804487179487182,2.51875,0.04978685499777292,0.0702287117198604
Bay Ridge,2.4622807017543864,2.475,2.4416666666666664,-0.011047242680079243,0.005139110402268156
Central Park,2.6,2.6500000000000004,2.5,-0.05,0.018867924528301983
Harlem,2.2943015257159995,2.418608897042285,2.346537894214704,-0.004226361393476215,0.051396226764195335
Morrisania,2.425553972776195,2.4942901234567905,2.4970441595441595,0.014866421679320027,0.027557400013008635
St. Albans,2.273148148148148,2.277777777777778,2.266666666666666,-0.003880718954248516,0.0020325203252035046
Springfield Gardens,2.2786324786324785,2.3812499999999996,2.2944444444444443,-0.015470758055503788,0.043093972227830395
Maspeth,2.3125,2.4625,2.4124999999999996,0.010362694300517915,0.06091370558375631
Grant City,2.4000000000000004,2.466666666666667,2.4499999999999997,0.006802721088435169,0.02702702702702693
Inwood,2.209353658037869,2.357675438596491,2.4149920255183415,0.05444219931655528,0.06291017759718313
Concourse Village,2.410810810810811,2.5094594594594595,2.492781633571107,0.01309641325830979,0.039310716208939056
Willowbrook,2.15,2.4,2.5,0.09000000000000004,0.10416666666666667
Jamaica,2.179722222222223,2.1975,2.2625,0.03265807243707796,0.008090001264062346
Bellerose,2.475,2.5250000000000004,2.475,-0.010101010101010065,0.019801980198019906
Co-op City,2.375,2.358333333333333,2.3249999999999997,-0.017921146953404955,-0.007067137809187444
East New York,2.3462308267863823,2.490326510721248,2.437504061078622,0.007887327300000259,0.05786216518778204
Chelsea, Staten Island,2.6,2.65,2.55,-0.029411764705882425,0.01886792452830182
Soundview,2.5625,2.6625,2.6312499999999996,0.007125890736341976,0.037558685446009425
Marine Park,2.425,2.4625,2.375,-0.028947368421052482,0.015228426395939123
Great Kills,2.3666666666666667,2.433333333333333,2.4,0.0,0.027397260273972508
Pelham Gardens,2.238888888888889,2.3975,2.26,-0.025749754178957817,0.06615687637585445
South Ozone Park,2.290909090909091,2.3479797979797983,2.3138755980861245,-0.002406718132524614,0.024306302430630325
SoHo,2.575,2.5250000000000004,2.5250000000000004,-0.009900990099009865,-0.01980198019801973
Borough Park,2.7150000000000003,2.7399999999999998,2.665,-0.02345215759849906,0.009124087591240683
Unionport,2.4375,2.3875,2.2625,-0.06629834254143642,-0.020942408376963276
Belle Harbor,2.2,2.3,2.4,0.062499999999999965,0.043478260869565064
Rossville,2.1,2.3,2.4,0.08333333333333323,0.08695652173913032
Howard Beach,2.266666666666666,2.3833333333333333,2.35,0.010638297872340576,0.04895104895104915
Allerton,2.395,2.46,2.4650000000000003,0.015212981744421941,0.026422764227642254
Murray Hill,2.3666666666666667,2.526666666666667,2.4366666666666665,-0.004103967168262749,0.06332453825857524
Ozone Park,2.405555555555556,2.472222222222222,2.477777777777778,0.015695067264573936,0.02696629213483119
New Dorp,2.4,2.5,2.55,0.039215686274509665,0.040000000000000036
Mount Eden,2.498663324979115,2.544642857142857,2.5529761904761905,0.012269248546874228,0.01806914948189175
Rosedale,2.325,2.425,2.425,0.020618556701030855,0.04123711340206171
Tremont,2.3630434782608694,2.347826086956522,2.3434782608695652,-0.0051020408163266195,-0.006481481481481302
Gravesend,2.480555555555556,2.5972222222222228,2.5500000000000003,0.004357298474945343,0.044919786096256686
Forest Hills,2.41,2.48,2.4,-0.018750000000000155,0.02822580645161284
Crown Heights,2.1849415204678357,2.358552631578948,2.3051372969136126,0.01448513324344184,0.07360917402758445
North Riverdale,2.55,2.55,2.55,0.0,0.0
Brownsville,2.3233548156104544,2.3483348595848597,2.4596149026412184,0.05032091198937405,0.01063734325300661
Bronx Park,2.3451923076923076,2.468421052631579,2.3249999999999997,-0.03518566888685742,0.0499220928325406
Bushwick,2.4825555979967744,2.557196969696969,2.5500000000000003,0.011813222020834695,0.029188745561918875
Brighton Beach,2.330208333333333,2.4260416666666664,2.3009615384615385,-0.033535311324696934,0.03950193215972516
Red Hook,2.8,2.9,2.75,-0.03636363636363624,0.03448275862068969
Flatbush,2.1999999999999997,2.30625,2.2585227272727275,0.0023899371069184246,0.04607046070460712
Far Rockaway,2.318796992481203,2.3589285714285713,2.3625000000000003,0.010005171659307081,0.017012629985258373
Oakwood,2.4,2.45,2.35,-0.03191489361702116,0.02040816326530623
Nolita,1.75,2.2142857142857144,2.0,0.008928571428571397,0.20967741935483875
Boerum Hill,2.3395604395604392,2.4285714285714284,2.4142857142857146,0.012517068730086803,0.0366515837104073
Kew Gardens,2.525,2.4749999999999996,2.6,0.03846153846153849,-0.02020202020202031
Van Nest,2.4375,2.5875,2.5875,0.02898550724637671,0.05797101449275359
Arden Heights,2.2499999999999996,2.2666666666666666,2.1166666666666667,-0.06692913385826747,0.007352941176470758
Stapleton,2.2484480431848852,2.3166666666666664,2.266666666666666,-0.007010597761371814,0.029446887833862394
Midland Beach,2.4,2.4,2.35,-0.021276595744680774,0.0
Rockaway Park,2.775,2.7,2.7,-0.013888888888888756,-0.027777777777777676
Green-Wood Cemetery,3.0,3.05,3.0,-0.008333333333333304,0.01639344262295076
Castle Hill,2.365887380593263,2.423976608187134,2.356410256410256,-0.016347636357102825,0.023964434061645275
New Brighton,2.45,2.35,2.35,-0.021276595744680965,-0.042553191489361736
Governors Island,2.0,2.15,2.2,0.056818181818181816,0.06976744186046507
Crotona Park,2.380949616688781,2.500942460317461,2.539903846153847,0.03896124170234898,0.04797905011115218
Forest Park,2.399122807017544,2.566666666666667,2.504166666666667,0.008494614239425512,0.06527682843472316
Park Hill,2.55,2.5,2.4,-0.052083333333333336,-0.019999999999999928
Williamsbridge,2.3125,2.2526315789473683,2.3019230769230767,0.008409180846853919,-0.026577102803738366
Concord,2.625,2.675,2.525,-0.04950495049504951,0.018691588785046665
Prospect Heights,2.3626984126984127,2.3463789682539686,2.2483225108225104,-0.04724241257310672,-0.006955161406253159
Rosebank,2.6,2.75,2.6,-0.028846153846153744,0.054545454545454515
Clason Point,2.12,2.3000000000000003,2.315,0.045356371490280774,0.07826086956521745
South Slope,2.6166666666666667,2.6149999999999998,2.5925,-0.009000321440051468,-6.373486297005459E-4
Pelham Bay Park,2.0438271604938274,2.238888888888889,2.1537037037037035,0.005732301519059723,0.08712434518886122
Baychester,2.5,2.55,2.525,0.0,0.019607843137254832
Park Slope,2.5133333333333328,2.521111111111111,2.4348148148148145,-0.03384545177973831,0.003085059497576155
Pleasant Plains,1.7,2.3,2.3,0.1304347826086956,0.26086956521739124
Morningside Heights,2.2743308434484906,2.436356209150326,2.4071234049175225,0.021511102634926473,0.06650315134269358
Hollis,2.13,2.1500000000000004,2.13,-0.004694835680751282,0.009302325581395562
Greenpoint,2.3698611111111108,2.4824999999999995,2.395769230769231,-0.012693762151941316,0.04537316772966314
Elmhurst,2.4278846153846154,2.602960526315789,2.55625,0.015971610425348712,0.0672603019374154
Little Italy,2.6,2.55,2.6,0.009615384615384581,-0.01960784313725501
