NEIGHBORHOOD,BOROUGH,2015,2016,2017,BUILDING_CLASS_CATEGORY,Avg,Diff,Variance,Variance_prediction,Variance_Test
Forest Hills,QUEENS,1097642.3333333333,1071755.0,906518.5261521064,Condo_Elevator,1084698.6666666665,-178180.14051456016,-0.19655432886835783,-0.02415415214609053,-0.18227589296963614
Fresh Meadows,QUEENS,768290.5,954244.0,988514.5634920634,Condo_Elevator,861267.25,127247.31349206343,0.12872578532636367,0.194869970363974,0.034668749209923584
Glen Oaks,QUEENS,726358.0,792930.6666666666,667768.5185185185,Condo_Elevator,759644.3333333333,-91875.81481481472,-0.13758632260569323,0.08395773989487096,-0.18743343640372154
Glendale,QUEENS,664559.0,707577.3333333334,786110.4247234246,Condo_Elevator,686068.1666666667,100042.25805675786,0.12726234751556117,0.060796652615591654,0.09990083952610264
Hollis,QUEENS,496534.3333333333,561486.0,534450.7175801772,Condo_Elevator,529010.1666666666,5440.550913510611,0.010179705508009597,0.11567815879054275,-0.05058517376911741
Hollis Hills,QUEENS,748564.0,892741.5,904287.0967741936,Condo_Elevator,820652.75,83634.34677419357,0.09248649800769812,0.16149971744340327,0.012767623042924591
Holliswood,QUEENS,753522.5,760235.0,967181.6666666667,Condo_Elevator,756878.75,210302.91666666674,0.21743889893143142,0.008829506665702053,0.21396876491662206
Howard Beach,QUEENS,553534.0,649866.3333333334,665168.8541199813,Condo_Elevator,601700.1666666667,63468.687453314546,0.09541740726463155,0.14823407275034511,0.023005467997886282
Jackson Heights,QUEENS,720685.6666666666,812693.3333333334,901289.756389042,Condo_Elevator,766689.5,134600.256389042,0.14934182424119527,0.11321326617666369,0.09829960057536255
Jamaica,QUEENS,475165.22222222225,529614.6666666666,534922.3622226156,Condo_Elevator,502389.94444444444,32532.41777817119,0.06081708314267923,0.10280954790610856,0.009922366180197432
Jamaica Bay,QUEENS,396586.0,420862.5,364432.9642857143,Condo_Elevator,408724.25,-44291.28571428568,-0.12153479529793976,0.0576827348599602,-0.15484201827045782
Jamaica Estates,QUEENS,896305.0,1021770.6666666666,1157078.4273504273,Condo_Elevator,959037.8333333333,198040.594017094,0.17115572232262902,0.12279239437943018,0.11693914386909744
Jamaica Hills,QUEENS,649969.3333333334,719144.3333333334,845215.8650793651,Condo_Elevator,684556.8333333334,160659.03174603172,0.19008047338409337,0.09619070441584976,0.14915897459425198
Kew Gardens,QUEENS,779183.0,808819.0,943281.6704301075,Condo_Elevator,794001.0,149280.6704301075,0.15825672766655172,0.03664107791730906,0.14254774013449945
LaGuardia Airport,QUEENS,620000.0,586375.0,null,Condo_Elevator,603187.5,null,0.0,-0.057343849925389045,0.0
Laurelton,QUEENS,470416.0,502717.0,466136.49487704923,Condo_Elevator,486566.5,-20430.005122950766,-0.04382837505211751,0.0642528500130292,-0.07847595184024252
Little Neck,QUEENS,937754.6666666666,1008038.3333333334,1069095.5275512727,Condo_Elevator,972896.5,96199.02755127265,0.08998169487399624,0.06972320827746306,0.05711107440304117
Long Island City,QUEENS,1159592.0,1393354.0,1632211.8151515152,Condo_Elevator,1276473.0,355738.8151515152,0.2179489278592758,0.16776928189103416,0.1463399620896277
Maspeth,QUEENS,654755.3333333334,750021.0,849541.9663299663,Condo_Elevator,702388.1666666667,147153.79966329958,0.1732154566760323,0.12701733240358154,0.1171466157933296
Middle Village,QUEENS,682871.0,759108.3333333334,911849.0119292535,Condo_Elevator,720989.6666666667,190859.34526258672,0.20931025067272288,0.10043010988769724,0.16750654614710556
Neponsit,QUEENS,937818.0,893500.0,1142042.2222222222,Condo_Elevator,915659.0,226383.22222222225,0.19822666606994488,-0.04960044767767208,0.21762962645864428
Ozone Park,QUEENS,526040.3333333334,536126.3333333334,616050.8439079201,Condo_Elevator,531083.3333333334,84967.51057458669,0.13792288642215808,0.018812730084140614,0.12973687377422513
Queens Village,QUEENS,511800.6666666667,572501.6666666666,622689.842342817,Condo_Elevator,542151.1666666666,80538.67567615036,0.12933995417868152,0.10602763892972646,0.0805989952996851
Rego Park,QUEENS,889000.0,987140.3333333334,1025691.957977208,Condo_Elevator,938070.1666666667,87621.79131054122,0.08542700430579789,0.09941882629994185,0.037585967545171343
Richmond Hill,QUEENS,512893.0,546718.6666666666,607043.5994047619,Condo_Elevator,529805.8333333333,77237.76607142866,0.12723594507406774,0.06187033428527523,0.09937495889462808
Ridgewood,QUEENS,698795.3333333334,844332.0,886820.2449932894,Condo_Elevator,771563.6666666667,115256.5783266226,0.12996611091968785,0.17236900492539264,0.04791077474061371
Rockaway Park,QUEENS,454503.0,534543.0,531018.75,Condo_Elevator,494523.0,36495.75,0.06872779915963419,0.149735381437976,-0.0066367713004484305
Rosedale,QUEENS,485321.0,479412.6666666667,530237.2872962608,Condo_Elevator,482366.8333333334,47870.45396292745,0.09028119128894961,-0.012324107692885281,0.09585259627581938
South Ozone Park,QUEENS,489252.6666666667,521137.0,532675.6201599807,Condo_Elevator,505194.8333333334,27480.786826647352,0.05159009683678396,0.061182248301949994,0.021661626181643683
Springfield Gardens,QUEENS,415902.5,507524.3333333333,562995.2718097102,Condo_Elevator,461713.4166666666,101281.85514304356,0.17989823398956778,0.18052697637486015,0.09852824926587625
St. Albans,QUEENS,435504.3333333333,467330.6666666667,492190.18995994556,Condo_Elevator,451417.5,40772.689959945565,0.0828392982868343,0.06810238574827825,0.0505079617602739
