PCT,Name,2015,2016,2017,Avg,Diff,Variance
22,Upper East Side,399.20000000000005,284.20000000000005,242.8,341.70000000000005,-98.90000000000003,-0.40733113673805615
30,Hamilton Heights,4350.400000000001,4257.0,3266.0,4303.700000000001,-1037.7000000000007,-0.3177281077770976
103,Briarwood,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Jamaica Center,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,South Jamaica,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Holliswood,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Jamaica Estates,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Hillcrest,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Jamaica Hills,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Utopia,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
103,Pomonok,8972.800000000001,7870.0,6768.7,8421.400000000001,-1652.7000000000016,-0.2441680086279495
32,Central Harlem,6200.0,6403.6,5375.1,6301.8,-926.6999999999998,-0.1724060947703298
41,Longwood,6083.9,6132.799999999999,5270.099999999999,6108.349999999999,-838.25,-0.15905770288988824
41,Hunts Point,6083.9,6132.799999999999,5270.099999999999,6108.349999999999,-838.25,-0.15905770288988824
40,Melrose,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334
40,Mott Haven,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334
40,Port Morris,13403.500000000002,12918.3,11541.9,13160.900000000001,-1619.0000000000018,-0.14027153241667334
73,Brownsville,9577.800000000001,9111.800000000001,8354.5,9344.800000000001,-990.3000000000011,-0.11853492129989839
73,Ocean Hill,9577.800000000001,9111.800000000001,8354.5,9344.800000000001,-990.3000000000011,-0.11853492129989839
73,Rugby,9577.800000000001,9111.800000000001,8354.5,9344.800000000001,-990.3000000000011,-0.11853492129989839
73,Broadway Junction,9577.800000000001,9111.800000000001,8354.5,9344.800000000001,-990.3000000000011,-0.11853492129989839
113,St. Albans,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131
113,Rochdale,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131
113,Springfield Gardens,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131
113,Laurelton,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131
113,Brookville,7475.6,7354.0,6642.7,7414.8,-772.1000000000004,-0.11623285712135131
60,Brighton Beach,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187
60,Coney Island,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187
60,Sea Gate,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187
60,Breezy Point,6472.1,5747.2,5490.1,6109.65,-619.5499999999993,-0.11284858199304187
110,Elmhurst,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142
110,South Corona,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142
110,Rego Park,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142
110,Lefrak City,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142
110,North Corona,6512.8,6157.3,5705.7,6335.05,-629.3500000000004,-0.11030197872303142
102,Forest Hills,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511
102,Kew Gardens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511
102,Richmond Hill,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511
102,Kew Gardens Hills,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511
102,Forest Hills Gardens,5352.7,5255.5,4805.7,5304.1,-498.40000000000055,-0.10371017749755511
9,East Village,5456.6,5457.900000000001,4951.8,5457.25,-505.4499999999998,-0.1020739932953673
9,Noho,5456.6,5457.900000000001,4951.8,5457.25,-505.4499999999998,-0.1020739932953673
111,Bayside,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
111,Auburndale,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
111,Little Neck,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
111,Douglaston,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
111,Fresh Meadows,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
111,Oakland Gardens,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
111,Bay Terrace,2505.7999999999997,2610.0,2327.0,2557.8999999999996,-230.89999999999964,-0.09922647185217003
46,Morris Heights,9112.7,8908.3,8213.300000000001,9010.5,-797.1999999999989,-0.09706208223247645
66,Kensington,3994.7,3848.2,3583.5,3921.45,-337.9499999999998,-0.09430724152365001
66,Borough Park,3994.7,3848.2,3583.5,3921.45,-337.9499999999998,-0.09430724152365001
10,Chelsea,3733.8,3834.6,3460.7000000000003,3784.2,-323.49999999999955,-0.093478198052417
