PCT,CRIME,2013,2014,2015,2016,2017,Weight
10,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,24,4,9,6,5,8
10,MISDEMEANOR SEX CRIMES (4),33,16,33,52,49,8
10,MISDEMEANOR DANGEROUS DRUGS  (1),364,375,349,297,196,8
10,MISDEMEANOR DANGEROUS WEAPONS (5),21,15,20,23,26,8
10,PETIT LARCENY,995,863,729,709,663,8
10,ASSAULT 3 AND RELATED OFFENSES,326,306,307,348,286,8
10,INTOXICATED & IMPAIRED DRIVING,43,40,28,46,38,8
10,VEHICLE AND TRAFFIC LAWS,38,40,48,28,50,8
10,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,259,233,245,241,223,8
10,CRIMINAL TRESPASS,207,154,69,194,144,8
10,UNAUTHORIZED USE OF A VEHICLE,9,25,17,10,12,8
10,OFFENSES AGAINST THE PERSON (7),10,2,5,8,8,8
10,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),86,73,63,81,59,8
10,ADMINISTRATIVE CODE (6),5,3,3,2,2,8
10,FRAUDS (3),57,34,34,38,36,8
10,AGGRAVATED HARASSMENT 2,203,151,155,191,189,8
10,OTHER MISDEMEANORS (8),397,343,402,374,341,8
10,TOTAL MISDEMEANOR OFFENSES,3077,2677,2516,2648,2327,8
13,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,106,48,39,14,9,8
13,MISDEMEANOR SEX CRIMES (4),96,93,103,122,147,8
13,MISDEMEANOR DANGEROUS DRUGS  (1),458,443,413,399,287,8
13,MISDEMEANOR DANGEROUS WEAPONS (5),93,140,130,142,95,8
13,PETIT LARCENY,2094,1874,1917,1892,1822,8
13,ASSAULT 3 AND RELATED OFFENSES,475,487,487,398,477,8
13,INTOXICATED & IMPAIRED DRIVING,74,35,28,35,28,8
13,VEHICLE AND TRAFFIC LAWS,88,74,76,69,93,8
13,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,310,326,311,274,388,8
13,CRIMINAL TRESPASS,135,142,140,127,92,8
13,UNAUTHORIZED USE OF A VEHICLE,4,4,7,6,3,8
13,OFFENSES AGAINST THE PERSON (7),15,39,26,25,23,8
13,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),96,70,99,99,73,8
13,ADMINISTRATIVE CODE (6),1,2,1,2,4,8
13,FRAUDS (3),96,134,136,78,87,8
13,AGGRAVATED HARASSMENT 2,328,258,230,260,267,8
13,OTHER MISDEMEANORS (8),1332,1113,1266,1110,1204,8
13,TOTAL MISDEMEANOR OFFENSES,5801,5282,5409,5052,5099,8
14,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,59,48,25,32,30,8
14,MISDEMEANOR SEX CRIMES (4),155,133,191,179,185,8
14,MISDEMEANOR DANGEROUS DRUGS  (1),765,726,571,743,675,8
14,MISDEMEANOR DANGEROUS WEAPONS (5),192,170,112,163,149,8
14,PETIT LARCENY,4551,4070,3842,3320,3298,8
14,ASSAULT 3 AND RELATED OFFENSES,651,660,627,655,699,8
14,INTOXICATED & IMPAIRED DRIVING,61,54,41,39,34,8
14,VEHICLE AND TRAFFIC LAWS,54,94,77,72,61,8
14,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,201,234,218,226,277,8
14,CRIMINAL TRESPASS,340,349,212,213,312,8
14,UNAUTHORIZED USE OF A VEHICLE,6,9,4,6,8,8
14,OFFENSES AGAINST THE PERSON (7),17,23,10,27,14,8
14,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),218,203,186,205,161,8
14,ADMINISTRATIVE CODE (6),1,0,2,7,8,8
14,FRAUDS (3),146,157,138,101,91,8
14,AGGRAVATED HARASSMENT 2,267,201,213,242,268,8
14,OTHER MISDEMEANORS (8),2799,3490,3085,3252,2867,8
14,TOTAL MISDEMEANOR OFFENSES,10483,10621,9554,9482,9137,8
17,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,3,4,5,3,5,8
17,MISDEMEANOR SEX CRIMES (4),42,48,62,54,68,8
17,MISDEMEANOR DANGEROUS DRUGS  (1),145,92,82,145,138,8
17,MISDEMEANOR DANGEROUS WEAPONS (5),12,22,19,23,13,8
17,PETIT LARCENY,823,657,597,696,926,8
17,ASSAULT 3 AND RELATED OFFENSES,236,262,207,234,290,8
17,INTOXICATED & IMPAIRED DRIVING,39,57,24,21,20,8
17,VEHICLE AND TRAFFIC LAWS,61,53,57,67,67,8
17,MISD. CRIMINAL MISCHIEF & RELATED OFFENSES,110,107,153,228,205,8
17,CRIMINAL TRESPASS,74,67,33,61,63,8
17,UNAUTHORIZED USE OF A VEHICLE,2,5,2,6,6,8
17,OFFENSES AGAINST THE PERSON (7),22,22,2,4,11,8
17,OFFENSES AGAINST PUBLIC ADMINISTRATION (2),40,44,32,34,29,8
17,ADMINISTRATIVE CODE (6),2,1,3,3,0,8
17,FRAUDS (3),33,53,53,29,29,8
17,AGGRAVATED HARASSMENT 2,185,100,99,123,109,8
17,OTHER MISDEMEANORS (8),246,268,211,216,238,8
17,TOTAL MISDEMEANOR OFFENSES,2075,1862,1641,1947,2217,8
18,MISDEMEANOR POSSESSION OF STOLEN PROPERTY,28,13,26,18,10,8
18,MISDEMEANOR SEX CRIMES (4),78,66,77,96,96,8
18,MISDEMEANOR DANGEROUS DRUGS  (1),463,318,389,517,565,8
