DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 4th Grade),Average Incoming Math Proficiency (Based on 4th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,161,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.91,0.97,0.89,0.99,0.94,0.96,Well Developed,Proficient,Proficient,Proficient,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42795,,,0.075,0.304,0.031,0.895,0.441,0.702,0.068,0.298,0.584,0.025,6.8,0.625,0.938,0.215,0.982
01M019,P.S. 019 Asher Levy,Elementary,247,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.91,0.91,0.92,0.91,0.93,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42644,,,0.036,0.34,0.117,0.605,0.15,0.381,0.077,0.202,0.664,0.053,7.8,0.805,0.91,0.324,0.972
01M020,P.S. 020 Anna Silver,Elementary,499,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.67,0.77,0.68,0.83,0.91,0.85,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,42826,,,0.186,0.224,0.072,0.699,0.198,0.489,0.329,0.098,0.491,0.042,0.8,0.6,0.929,0.256,0.962
01M034,P.S. 034 Franklin D. Roosevelt,K-8,337,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.74,0.71,0.64,0.75,0.9,0.81,Proficient,Developing,Developing,Proficient,Developing,,,,,,42496,,,0.08,0.38,0.021,0.872,0.285,0.677,0.053,0.297,0.614,0.03,0.7,0.732,0.912,0.305,0.972
01M063,The STAR Academy - P.S.63,Elementary,178,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.8,0.88,0.86,0.92,0.92,0.93,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,42304,,,0.028,0.354,0.022,0.709,0.242,0.5,0.039,0.191,0.646,0.101,9.9,0.5,0.931,0.251,0.973
01M064,P.S. 064 Robert Simon,Elementary,226,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.94,0.89,0.92,0.92,0.95,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42059,,,0.044,0.354,0.009,0.833,0.274,0.628,0.058,0.19,0.673,0.071,8.8,0.654,0.913,0.346,0.969
01M110,P.S. 110 Florence Nightingale,Elementary,351,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.86,0.85,0.9,0.88,0.92,0.85,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42644,,,0.057,0.142,0.034,0.5,0.128,0.302,0.177,0.1,0.416,0.279,9,0.714,0.955,0.116,0.979
01M134,P.S. 134 Henrietta Szold,Elementary,332,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.77,0.86,0.75,0.86,0.91,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42318,,,0.099,0.419,0.145,0.837,0.241,0.681,0.16,0.205,0.596,0.03,3.9,0.711,0.917,0.333,0.967
01M140,P.S. 140 Nathan Straus,K-8,364,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.78,0.79,0.7,0.91,0.89,0.85,Proficient,Proficient,Well Developed,Proficient,Proficient,,,,,,42383,,,0.124,0.338,0.135,0.853,0.187,0.69,0.044,0.121,0.794,0.03,2,0.848,0.911,0.395,0.952
01M142,P.S. 142 Amalia Castro,Elementary,322,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.82,0.92,0.77,0.95,0.94,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42075,,,0.099,0.363,0.102,0.884,0.314,0.689,0.05,0.118,0.804,0.006,2,0.649,0.922,0.257,0.979
01M184,P.S. 184m Shuang Wen,K-8,636,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Exceeding Target,0.82,0.78,0.75,0.77,0.88,0.8,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,42644,,,0.171,0.192,0.002,0.56,0.102,0.321,0.697,0.044,0.124,0.085,6,0.5,0.978,0.041,0.976
01M188,P.S. 188 The Island School,K-8,416,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,1,1,1,0.99,0.98,1,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42390,,,0.154,0.332,0.072,0.938,0.522,0.716,0.019,0.32,0.625,0.036,2.9,0.78,0.906,0.369,0.947
01M301,"Technology, Arts, and Sciences Studio",Middle,127,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,0.76,0.67,0.65,0.79,0.9,0.84,Developing,Developing,Developing,Developing,Under Developed,Developing,Developing,Developing,Under Developed,Under Developed,42675,2.41,2.37,0.047,0.441,0.008,0.746,0.157,0.591,0.087,0.323,0.496,0.055,11.3,0.632,0.895,0.382,0.963
01M315,The East Village Community School,Elementary,279,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,0.78,0.81,0.85,0.75,0.98,0.87,Proficient,Proficient,Well Developed,Well Developed,Proficient,,,,,,42495,,,0.014,0.197,0.007,0.287,0.025,0.122,0.115,0.05,0.201,0.57,2.9,0.522,0.955,0.088,0.962
01M332,University Neighborhood Middle School,Middle,234,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.81,0.85,0.69,0.91,0.82,0.88,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42079,2.36,2.32,0.098,0.466,0.103,0.809,0.192,0.624,0.094,0.282,0.568,0.047,8.8,0.783,0.914,0.295,0.978
01M361,The Children's Workshop School,Elementary,260,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.95,0.93,0.95,0.95,0.94,0.94,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42500,,,0.046,0.246,0.004,0.466,0.108,0.281,0.104,0.104,0.385,0.377,13,0.87,0.934,0.203,0.951
01M363,Neighborhood School,Elementary,286,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,,0.84,0.94,0.93,0.9,0.94,0.94,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42095,,,0.035,0.238,0.003,0.414,0.077,0.231,0.049,0.108,0.353,0.458,3.8,0.75,0.937,0.17,0.961
01M364,Earth School,Elementary,295,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.85,0.96,0.9,0.91,0.97,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42066,,,0.058,0.278,0.007,0.473,0.156,0.312,0.061,0.142,0.349,0.363,2.8,0.731,0.941,0.186,0.978
01M378,School for Global Leaders,Middle,283,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.81,0.87,0.72,0.93,0.92,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,42514,2.34,2.41,0.102,0.364,0.106,0.764,0.177,0.569,0.148,0.269,0.551,0.018,1,0.552,0.901,0.333,0.969
01M450,East Side Community School,Middle,306,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.84,0.95,0.93,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42150,2.82,2.91,0,0.34,0.029,0.579,0.072,0.386,0.098,0.154,0.546,0.17,15.8,0.78,0.97,0.039,0.99
01M539,"New Explorations into Science, Technology and Math",K-8,1131,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.81,0.75,0.72,0.74,0.91,0.81,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,42826,,,0.004,0.041,0,0.167,0.007,0.058,0.324,0.056,0.079,0.46,2,0.638,0.962,0.056,0.972
01M839,Tompkins Square Middle School,Middle,374,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.87,0.89,0.8,0.89,0.92,0.93,Well Developed,Proficient,Well Developed,Proficient,Well Developed,,,,,,41977,2.96,3,0.037,0.275,0,0.589,0.064,0.417,0.265,0.16,0.353,0.193,8.9,0.8,0.956,0.099,0.965
02M001,P.S. 001 Alfred E. Smith,Elementary,322,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.85,0.83,0.83,0.8,0.92,0.89,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42503,,,0.258,0.264,0.062,0.665,0.056,0.488,0.615,0.121,0.236,0.022,14,0.889,0.947,0.182,0.975
02M002,P.S. 002 Meyer London,Elementary,567,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.8,0.87,0.88,0.9,0.92,0.94,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,42826,,,0.337,0.212,0.049,0.807,0.344,0.534,0.813,0.048,0.127,0.011,1,0.875,0.975,0.079,0.949
02M003,P.S. 003 Charrette School,Elementary,728,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.91,0.94,0.95,0.97,0.97,0.97,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42306,,,0.044,0.198,0.011,0.145,0.015,0.096,0.071,0.058,0.14,0.674,15.9,0.863,0.942,0.164,0.968
02M006,P.S. 006 Lillie D. Blake,Elementary,643,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.86,0.88,0.86,0.97,0.86,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42507,,,0.034,0.177,0.005,0.103,0.011,0.023,0.131,0.02,0.072,0.751,10.8,0.902,0.959,0.063,0.965
02M011,P.S. 011 William T. Harris,Elementary,913,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.95,0.92,0.96,0.97,0.96,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42136,,,0.035,0.134,0.003,0.295,0.036,0.156,0.149,0.072,0.24,0.491,12,0.726,0.954,0.094,0.967
02M033,P.S. 033 Chelsea Prep,Elementary,588,Exceeding Target,Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.84,0.78,0.81,0.72,0.94,0.85,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42496,,,0.034,0.143,0.037,0.418,0.114,0.294,0.236,0.138,0.282,0.255,2,0.647,0.946,0.152,0.972
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,615,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.93,0.96,0.97,0.97,0.98,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42459,,,0.041,0.187,0.008,0.127,0.015,0.041,0.102,0.028,0.145,0.618,13,0.816,0.96,0.053,0.972
02M041,P.S. 041 Greenwich Village,Elementary,663,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.97,0.97,0.97,0.98,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42509,,,0.015,0.167,0.002,0.045,0.002,0.012,0.083,0.02,0.09,0.694,12,0.872,0.964,0.038,0.972
02M042,P.S. 042 Benjamin Altman,Elementary,616,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.86,0.96,0.95,0.98,0.95,0.98,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,42139,,,0.339,0.183,0.002,0.716,0.106,0.458,0.92,0.005,0.045,0.021,2.8,0.902,0.98,0.033,0.963
02M051,P.S. 051 Elias Howe,Elementary,340,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.85,0.93,0.89,0.95,0.97,0.96,Proficient,Well Developed,Proficient,Well Developed,Well Developed,,,,,,41985,,,0.112,0.247,0.024,0.507,0.224,0.382,0.191,0.126,0.471,0.194,14.9,0.733,0.927,0.264,0.973
02M059,P.S. 059 Beekman Hill International,Elementary,576,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.96,0.97,0.95,0.98,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,"May 1 ,2015",,,0.036,0.193,0.005,0.051,0.014,0.023,0.165,0.019,0.116,0.595,10,0.692,0.954,0.091,0.984
02M077,P.S. 77 Lower Lab School,Elementary,359,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Approaching Target,Exceeding Target,0.87,0.81,0.92,0.75,0.96,0.78,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42090,,,0.003,0.114,0.003,0.079,0.003,0.025,0.298,0.003,0.047,0.543,2,0.882,0.965,0.025,0.95
02M089,P.S. 89,Elementary,376,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.93,0.94,0.92,0.98,0.99,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42856,,,0.043,0.186,0,0.06,0,0.019,0.157,0.019,0.157,0.625,18.8,0.862,0.96,0.041,0.981
02M104,J.H.S. 104 Simon Baruch,Middle,1145,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.85,0.74,0.86,0.84,0.89,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42353,3.29,3.46,0.046,0.176,0.026,0.365,0.065,0.231,0.359,0.073,0.19,0.339,2.8,0.708,0.959,0.097,0.963
02M111,P.S. 111 Adolph S. Ochs,Elementary,291,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.72,0.85,0.77,0.87,0.93,0.92,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42675,,,0.175,0.278,0.048,0.557,0.186,0.405,0.165,0.148,0.498,0.162,2,0.824,0.919,0.317,0.939
02M114,East Side Middle School,Middle,443,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.9,0.93,0.85,0.95,0.9,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41991,3.94,4.03,0,0.158,0.005,0.078,0.005,0.029,0.14,0.032,0.09,0.657,14.2,0.8,0.974,0.02,0.969
02M116,P.S. 116 Mary Lindley Murray,Elementary,539,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,0.84,0.92,0.89,0.88,0.96,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42131,,,0.104,0.206,0.009,0.304,0.122,0.204,0.195,0.115,0.224,0.406,14,0.822,0.949,0.134,0.97
02M124,P.S. 124 Yung Wing,Elementary,714,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.75,0.72,0.84,0.73,0.93,0.84,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,42736,,,0.335,0.115,0.006,0.538,0.053,0.343,0.943,0.003,0.021,0.017,14,0.865,0.982,0.017,0.968
02M126,P.S. 126 Jacob August Riis,K-8,746,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.83,0.88,0.82,0.89,0.9,0.93,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,41957,,,0.188,0.186,0.005,0.698,0.264,0.448,0.606,0.099,0.189,0.079,1.1,0.897,0.966,0.097,0.984
02M130,P.S. 130 Hernando De Soto,Elementary,926,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.91,0.96,0.95,0.98,0.94,0.98,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42062,,,0.152,0.15,0.013,0.572,0.036,0.408,0.882,0.01,0.048,0.033,2.9,0.776,0.982,0.025,0.975
02M131,M.S. 131,Middle,457,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.8,0.91,0.78,0.92,0.86,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42377,2.75,3.1,0.341,0.241,0.07,0.779,0.302,0.505,0.836,0.057,0.094,0.007,10,0.833,0.975,0.075,0.964
02M150,P.S. 150,Elementary,168,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.97,0.99,0.97,0.98,0.99,0.98,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42075,,,0.03,0.161,0.006,0.165,0,0.077,0.167,0.042,0.119,0.56,5.3,0.8,0.958,0.098,0.968
02M151,Yorkville Community School,Elementary,518,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.91,0.96,0.87,0.96,0.97,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42332,,,0.05,0.18,0.006,0.357,0.125,0.288,0.052,0.147,0.249,0.494,8,0.537,0.934,0.199,0.967
02M158,P.S. 158 Bayard Taylor,Elementary,710,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.84,0.85,0.83,0.95,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42135,,,0.062,0.151,0.004,0.08,0.013,0.028,0.115,0.025,0.082,0.727,2.3,0.615,0.956,0.081,0.968
02M167,J.H.S. 167 Robert F. Wagner,Middle,1357,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.78,0.83,0.72,0.88,0.85,0.89,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42390,3.43,3.51,0.038,0.158,0.011,0.271,0.036,0.19,0.233,0.08,0.175,0.469,12.8,0.807,0.959,0.081,0.963
02M177,Yorkville East Middle School,Middle,213,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.87,0.96,0.79,0.95,0.91,0.93,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42081,3.16,3.11,0.014,0.282,0.014,0.222,0.028,0.141,0.094,0.103,0.268,0.484,3,0.5,0.953,0.102,0.967
02M183,P.S. 183 Robert L. Stevenson,Elementary,546,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.89,0.89,0.8,0.98,0.92,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42094,,,0.073,0.19,0.002,0.053,0.011,0.026,0.174,0.033,0.084,0.674,7,0.895,0.955,0.079,0.973
02M198,P.S. 198 Isador E. Ida Straus,Elementary,413,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.75,0.83,0.79,0.89,0.98,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42644,,,0.073,0.228,0,0.289,0.046,0.199,0.208,0.094,0.247,0.424,0.8,0.806,0.948,0.145,0.931
02M212,P.S. 212 Midtown West,Elementary,339,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.92,0.92,0.94,0.94,0.97,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,41989,,,0.029,0.153,0.006,0.199,0.012,0.112,0.118,0.053,0.248,0.481,1.3,0.739,0.955,0.076,0.965
02M217,P.S./I.S. 217 Roosevelt Island,K-8,585,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.88,0.96,0.84,0.94,0.95,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42131,,,0.116,0.128,0.017,0.242,0.024,0.147,0.292,0.13,0.156,0.385,10.8,0.447,0.949,0.127,0.974
02M225,Ella Baker School,K-8,273,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.84,0.88,0.77,0.86,0.96,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42096,,,0.033,0.245,0.004,0.364,0.044,0.179,0.033,0.187,0.403,0.3,14.9,0.652,0.933,0.22,0.957
02M234,P.S. 234 Independence School,Elementary,683,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.89,0.89,0.82,0.97,0.93,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42409,,,0.023,0.187,0.001,0.06,0.006,0.022,0.102,0.016,0.081,0.697,10.8,0.705,0.956,0.078,0.964
02M255,M.S. 255 Salk School of Science,Middle,390,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.95,0.87,1,0.96,0.97,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42033,4,4.05,0.003,0.154,0,0.101,0.018,0.018,0.182,0.023,0.105,0.61,15,0.87,0.969,0.031,0.97
02M260,M.S. 260 Clinton School Writers & Artists,Middle,290,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.82,0.77,0.86,0.89,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,42066,3.8,3.74,0.003,0.152,0,0.14,0.007,0.041,0.141,0.034,0.079,0.666,5.8,0.647,0.972,0.021,0.976
02M267,"East Side Elementary School, PS 267",Elementary,381,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.88,0.88,0.92,0.9,0.95,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42384,,,0.042,0.194,0.008,0.036,0.003,0.021,0.11,0.013,0.089,0.772,7,0.483,0.95,0.113,0.974
02M276,Battery Park City School,K-8,850,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.79,0.87,0.69,0.91,0.93,0.88,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,42011,,,0.016,0.186,0.002,0.099,0.013,0.044,0.196,0.049,0.106,0.566,8,0.733,0.955,0.094,0.975
02M289,I.S. 289,Middle,281,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.9,0.92,0.81,0.96,0.91,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42135,3.33,3.43,0.011,0.235,0.004,0.368,0.064,0.228,0.42,0.057,0.121,0.377,3.8,0.833,0.971,0.035,0.974
02M290,P.S. 290 Manhattan New School,Elementary,592,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.96,0.98,0.94,0.96,0.95,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42135,,,0.039,0.149,0.007,0.061,0.005,0.035,0.108,0.022,0.081,0.723,2.9,0.895,0.956,0.067,0.977
02M312,New York City Lab Middle School for Collaborative,Middle,541,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.83,0.82,0.77,0.84,0.91,0.9,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42088,3.83,4.07,0.011,0.153,0,0.295,0.018,0.174,0.519,0.018,0.059,0.335,8.9,0.829,0.98,0.017,0.96
02M343,The Peck Slip School,Elementary,341,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,,0.9,0.98,0.96,0.97,0.96,0.96,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,41964,,,0.023,0.182,0,0.073,0.018,0.041,0.17,0.041,0.132,0.554,5,0.481,0.958,0.054,0.975
02M347,The 47 American Sign Language & English Lower Scho,K-8,140,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Exceeding Target,0.71,0.73,0.7,0.65,0.85,0.83,Proficient,Proficient,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,42736,,,0.064,0.593,0.021,0.724,0.207,0.579,0.014,0.236,0.557,0.143,7.2,0.738,0.923,0.268,0.974
02M397,Spruce Street School,K-8,472,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.85,0.91,0.75,0.87,0.96,0.89,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42346,,,0.03,0.163,0.004,0.107,0.017,0.066,0.15,0.036,0.129,0.549,8,0.758,0.958,0.054,0.969
02M407,Institute for Collaborative Education,Middle,212,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,,0.91,0.92,0.82,0.94,0.94,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42516,3.6,3.57,0,0.066,0,0.26,0.033,0.104,0.066,0.179,0.193,0.491,5.4,0.692,0.955,0.107,0.979
02M408,Professional Performing Arts High School,Middle,95,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.8,0.79,0.72,0.85,0.86,0.88,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42480,3.79,3.71,0,0.116,0,0.196,0.011,0.084,0.095,0.168,0.179,0.453,12,0.926,0.96,0.063,0.977
