DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Incoming ELA Proficiency (Based on 4th Grade),Average Incoming Math Proficiency (Based on 4th Grade),Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
20K247,P.S. 247 Brooklyn,Elementary,850,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.83,0.87,0.83,0.83,0.92,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41961,,,0.288,0.171,0.002,0.548,0.029,0.419,0.488,0.008,0.133,0.368,11.8,0.839,0.952,0.127,0.936
20K259,J.H.S. 259 William Mckinley,Middle,1758,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.86,0.95,0.78,0.96,0.82,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42027,3.12,3.35,0.119,0.114,0.036,0.572,0.048,0.426,0.438,0.015,0.205,0.337,12.8,0.85,0.96,0.108,0.958
20K264,P.S. 264 Bay Ridge Elementary School For The Arts,Elementary,500,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.82,0.87,0.82,0.92,0.87,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42034,,,0.146,0.24,0.066,0.538,0.036,0.398,0.12,0.028,0.312,0.52,7,0.737,0.953,0.107,0.964
20K310,The School For Future Leaders,Elementary,424,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.98,0.95,0.98,0.96,0.99,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42767,,,0.493,0.106,0,0.782,0.342,0.495,0.851,0.002,0.09,0.057,7,0.71,0.981,0.038,0.947
20K503,P.S. 503: The School of Discovery,Elementary,1094,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.78,0.89,0.83,0.89,0.92,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41960,,,0.576,0.212,0.044,0.851,0.416,0.61,0.187,0.011,0.747,0.051,2,0.644,0.952,0.129,0.969
20K506,P.S. 506: The School of Journalism & Technology,Elementary,836,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.85,0.87,0.86,0.92,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42446,,,0.291,0.175,0.048,0.782,0.054,0.618,0.289,0.01,0.653,0.045,2,0.672,0.946,0.166,0.954
20K609,Urban Assembly School for Criminal Justice,Middle,217,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Exceeding Target,0.87,0.87,0.77,0.91,0.82,0.89,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,42479,2.66,2.72,0.189,0.143,0,0.719,0.078,0.567,0.461,0.166,0.23,0.12,10,0.591,0.933,0.208,0.977
20K682,The Academy of Talented Scholars,Elementary,360,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.88,0.96,0.9,0.94,0.97,0.95,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,41984,,,0.047,0.278,0.008,0.314,0.006,0.167,0.183,0.044,0.142,0.619,8,0.648,0.956,0.09,0.958
20K686,Brooklyn School of Inquiry,K-8,585,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.79,0.8,0.69,0.85,0.92,0.86,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42089,,,0.084,0.068,0,0.206,0.005,0.08,0.185,0.05,0.041,0.697,8,0.741,0.96,0.071,0.963
20K748,P.S. 748 Brooklyn School for Global Scholars,Elementary,555,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.94,0.96,0.96,0.96,0.95,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42044,,,0.168,0.132,0.022,0.511,0.023,0.375,0.393,0.004,0.252,0.335,7,0.553,0.961,0.089,0.954
20K971,"School of Math, Science, and Healthy Living",Elementary,374,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.8,0.71,0.83,0.77,0.91,0.84,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42767,,,0.406,0.115,0.016,0.704,0.061,0.476,0.521,0.011,0.385,0.083,7,0.419,0.973,0.028,0.963
21K090,P.S. 90 Edna Cohen School,Elementary,563,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.88,0.84,0.9,0.93,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42122,,,0.229,0.199,0.092,0.809,0.167,0.647,0.108,0.155,0.584,0.139,7.7,0.558,0.922,0.295,0.966
21K095,P.S. 095 The Gravesend,K-8,905,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.91,0.95,0.91,0.97,0.94,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42040,,,0.14,0.19,0.062,0.664,0.05,0.531,0.308,0.093,0.373,0.218,6.5,0.894,0.948,0.151,0.973
21K096,I.S. 096 Seth Low,Middle,723,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.91,0.79,0.94,0.83,0.91,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,41977,2.64,2.76,0.332,0.238,0.097,0.661,0.102,0.521,0.34,0.1,0.263,0.282,3.6,0.738,0.935,0.196,0.972
21K097,P.S. 97 The Highlawn,Elementary,790,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.84,0.93,0.85,0.97,0.92,0.95,Proficient,Well Developed,Proficient,Well Developed,Proficient,,,,,,42061,,,0.319,0.153,0.037,0.567,0.027,0.468,0.525,0.013,0.196,0.256,3,0.815,0.959,0.113,0.963
21K098,I.S. 98 Bay Academy,Middle,1513,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,0.9,0.97,0.84,0.98,0.85,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41949,3.5,3.7,0.011,0.099,0.024,0.409,0.017,0.266,0.264,0.027,0.085,0.601,7.8,0.819,0.957,0.1,0.972
21K099,P.S. 099 Isaac Asimov,K-8,843,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.95,0.97,0.92,0.97,0.91,0.95,Proficient,Proficient,Well Developed,Well Developed,Proficient,,,,,,42444,,,0.325,0.145,0.039,0.667,0.04,0.507,0.414,0.077,0.176,0.325,14.7,0.78,0.919,0.294,0.966
21K100,P.S. 100 The Coney Island School,Elementary,725,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.93,0.97,0.93,0.96,0.92,0.95,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,42481,,,0.181,0.172,0.068,0.384,0.044,0.277,0.039,0.036,0.051,0.872,0.9,0.808,0.939,0.167,0.966
21K101,P.S. 101 The Verrazano,Elementary,885,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.87,0.94,0.94,0.97,0.93,0.98,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42375,,,0.216,0.207,0.019,0.575,0.021,0.466,0.531,0.006,0.174,0.277,11.8,0.879,0.956,0.12,0.952
21K121,P.S. 121 Nelson A. Rockefeller,K-8,332,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.86,0.93,0.82,0.96,0.93,0.91,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42516,,,0.22,0.28,0.006,0.631,0.027,0.491,0.172,0.033,0.407,0.373,4.5,0.627,0.944,0.128,0.96
21K128,P.S. 128 Bensonhurst,Elementary,440,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.84,0.89,0.9,0.94,0.9,0.92,Proficient,Proficient,Well Developed,Well Developed,Proficient,,,,,,42451,,,0.45,0.173,0.018,0.617,0.011,0.5,0.291,0.007,0.17,0.53,3.9,0.629,0.95,0.143,0.972
21K153,P.S. 153 Homecrest,Elementary,485,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.76,0.84,0.89,0.8,0.88,0.82,Proficient,Proficient,Well Developed,Proficient,Well Developed,,,,,,42131,,,0.264,0.214,0.091,0.649,0.029,0.555,0.258,0.021,0.348,0.328,13.9,0.727,0.943,0.189,0.955
21K177,P.S. 177 The Marlboro,Elementary,932,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.94,0.9,0.96,0.9,0.95,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42395,,,0.348,0.188,0.043,0.656,0.059,0.544,0.263,0.009,0.328,0.378,2,0.797,0.94,0.182,0.955
21K188,P.S. 188 Michael E. Berdy,Elementary,454,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.67,0.71,0.53,0.76,0.88,0.85,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42644,,,0.064,0.253,0.143,0.863,0.183,0.773,0.037,0.502,0.355,0.084,15.6,0.975,0.886,0.484,0.961
21K199,P.S. 199 Frederick Wachtel,Elementary,489,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.84,0.84,0.87,0.86,0.9,0.86,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42306,,,0.329,0.186,0.07,0.693,0.084,0.536,0.217,0.045,0.231,0.497,9.8,0.706,0.935,0.204,0.958
21K209,P.S. 209 Margaret Mead,K-8,678,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.83,0.91,0.83,0.87,0.9,0.91,Well Developed,Proficient,Proficient,Proficient,Proficient,,,,,,42135,,,0.206,0.285,0.106,0.54,0.058,0.407,0.296,0.038,0.237,0.422,14.8,0.915,0.947,0.154,0.96
