DBN,Weight_2015,Weight_2016,Weight_2017,Variance,Latitude,Longitude,Coordinates
32K549,2.5,2.55,2.55,0.009803921568627416,40.696457,-73.911751,"[40.696457,-73.911751]"
08X335,2.7,2.55,2.3076923076923075,-0.1375000000000001,40.820108,-73.898399,"[40.820108,-73.898399]"
30Q017,2.3,2.2,2.15,-0.046511627906976785,40.768034,-73.922544,"[40.768034,-73.922544]"
04M146,2.6,2.6,2.35,-0.10638297872340426,40.789535,-73.938727,"[40.789535,-73.938727]"
84K538,2.3529411764705883,2.4375,2.5,0.041911764705882246,40.697898,-73.919088,"[40.697898,-73.919088]"
19K089,2.55,2.6,2.65,0.02830188679245273,40.677707,-73.886712,"[40.677707,-73.886712]"
84M065,2.5,2.6,2.4375,-0.04615384615384608,40.810499,-73.948902,"[40.810499,-73.948902]"
06M008,2.65,2.5,2.5,-0.030000000000000072,40.839235,-73.936614,"[40.839235,-73.936614]"
25Q240,2.1538461538461537,2.5789473684210527,2.45,0.034123770965876314,40.764892,-73.826811,"[40.764892,-73.826811]"
24Q560,2.3,2.5,2.25,-0.06666666666666662,40.742217,-73.936442,"[40.742217,-73.936442]"
29Q356,2.25,2.4,2.3,-0.01086956521739146,40.664809,-73.759396,"[40.664809,-73.759396]"
32K349,2.3,2.45,2.45,0.030612244897959252,40.70081,-73.927938,"[40.70081,-73.927938]"
02M260,2.5,2.3157894736842106,2.4,-0.003289473684210583,40.736526,-73.992727,"[40.736526,-73.992727]"
31R016,2.45,2.6,2.65,0.047169811320754554,40.639638,-74.079594,"[40.639638,-74.079594]"
20K170,2.8,2.8,2.75,-0.01818181818181812,40.630373,-74.018719,"[40.630373,-74.018719]"
84K379,1.8333333333333333,2.1875,2.1875,0.08095238095238103,40.642684,-73.90788,"[40.642684,-73.90788]"
05M197,2.55,2.5,2.65,0.04716981132075472,40.813532,-73.938347,"[40.813532,-73.938347]"
17K397,2.35,2.45,2.55,0.058823529411764504,40.658663,-73.946358,"[40.658663,-73.946358]"
02M420,2.45,2.55,2.45,-0.020408163265306048,40.732665,-73.98259,"[40.732665,-73.98259]"
18K642,2.45,2.25,2.4,0.02083333333333326,40.640543,-73.898601,"[40.640543,-73.898601]"
02M312,2.35,2.5,2.4,-0.01041666666666663,40.742512,-74.002222,"[40.742512,-74.002222]"
18K135,2.2,2.35,2.35,0.03191489361702116,40.653093,-73.932949,"[40.653093,-73.932949]"
11X121,2.25,2.05,2.15,0.0,40.866474,-73.85051,"[40.866474,-73.85051]"
02M280,1.9230769230769231,2.4210526315789473,2.473684210526316,0.12193126022913266,40.711441,-74.000851,"[40.711441,-74.000851]"
02M135,2.076923076923077,2.263157894736842,2.5,0.13198380566801618,40.711441,-74.000851,"[40.711441,-74.000851]"
02M111,2.3,2.2,2.4,0.062499999999999965,40.76588,-73.989776,"[40.76588,-73.989776]"
04M964,2.7,2.6,2.45,-0.08163265306122455,40.792302,-73.951425,"[40.792302,-73.951425]"
31R028,2.076923076923077,2.55,2.55,0.09276018099547496,40.620443,-74.080695,"[40.620443,-74.080695]"
84X202,2.111111111111111,2.5625,2.4375,0.04131054131054139,40.821723,-73.902892,"[40.821723,-73.902892]"
84K517,2.1176470588235294,2.0,2.066666666666667,0.00379506641366244,40.68192,-73.9456,"[40.68192,-73.9456]"
12X217,2.15,2.15,2.2,0.022727272727272846,40.822056,-73.894368,"[40.822056,-73.894368]"
08X072,2.7,2.75,2.65,-0.028301886792452897,40.823237,-73.818172,"[40.823237,-73.818172]"
84M335,2.0,1.7692307692307692,1.9375,0.027295285359801507,40.799265,-73.93374,"[40.799265,-73.93374]"
06M325,2.5,2.5,2.5833333333333335,0.03225806451612909,40.82051,-73.952023,"[40.82051,-73.952023]"
10X353,2.230769230769231,2.5789473684210527,2.7,0.10931174089068839,40.879958,-73.889011,"[40.879958,-73.889011]"
09X260,2.9,2.9,2.85,-0.017543859649122744,40.833884,-73.902794,"[40.833884,-73.902794]"
16K262,2.6,2.55,2.6,0.009615384615384581,40.682949,-73.930132,"[40.682949,-73.930132]"
09X241,2.45,2.6,2.6,0.028846153846153744,40.839508,-73.901774,"[40.839508,-73.901774]"
10X091,2.3,2.45,2.5,0.05,40.858286,-73.907494,"[40.858286,-73.907494]"
28Q680,2.1,2.2,2.25,0.04444444444444429,40.718027,-73.805923,"[40.718027,-73.805923]"
13K527,2.35,2.5,2.55,0.04901960784313726,40.694629,-73.988323,"[40.694629,-73.988323]"
09X219,2.25,2.5,2.5,0.05,40.833493,-73.903951,"[40.833493,-73.903951]"
06M346,2.7,2.75,2.85,0.043859649122807015,40.833695,-73.942074,"[40.833695,-73.942074]"
