DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
09X404,School for Excellence,High School,387,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.74,0.84,0.63,0.91,0.83,0.86,Developing,Developing,Developing,Developing,Developing,Proficient,Developing,Developing,Developing,Developing,42795,2.343,2.043,0.282,0.279,0.034,0.875,0.171,0.23,0.677,0.016,0.258,0.7,0.01,0.6,0.96,0.661,0.706,0.967
09X412,Bronx High School of Business,High School,287,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.75,0.73,0.66,0.81,0.8,0.86,Proficient,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42856,2.335,2.062,0.394,0.226,0.003,0.874,0.174,0.244,0.547,0.028,0.226,0.711,0.024,0.6,0.821,0.821,0.502,0.95
09X413,Bronx High School for Medical Science,High School,265,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.8,0.71,0.7,0.91,0.85,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,42826,2.926,2.618,0.064,0.166,0.079,0.819,0.026,0.091,0.642,0.094,0.264,0.608,0.011,15,0.759,0.931,0.204,0.948
09X505,"Bronx School for Law, Government and Justice",High School,491,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.8,0.82,0.67,0.86,0.82,0.88,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,41984,2.988,2.607,0.055,0.204,0.029,0.793,0.045,0.1,0.623,0.018,0.248,0.707,0.008,1.9,0.509,0.908,0.266,0.962
09X517,Frederick Douglass Academy III Secondary School,High School,409,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.74,0.83,0.72,0.9,0.82,0.89,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42020,2.347,2.028,0.142,0.22,0.017,0.886,0.178,0.22,0.721,0.002,0.443,0.521,0.017,1.7,0.63,0.764,0.656,0.965
09X525,Bronx Leadership Academy High School,High School,651,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.67,0.68,0.62,0.77,0.94,0.83,Well Developed,Developing,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42826,2.391,2.055,0.174,0.293,0.092,0.858,0.137,0.163,0.704,0.005,0.298,0.67,0.012,2.8,0.471,0.817,0.541,0.927
09X543,High School for Violin and Dance,High School,288,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.81,0.89,0.65,0.88,0.78,0.86,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42795,2.372,2.076,0.163,0.271,0.007,0.876,0.142,0.25,0.705,0.007,0.351,0.628,0.01,6.3,0.941,0.714,0.69,0.961
09X564,Claremont International HS,High School,377,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.84,0.91,0.86,0.89,0.82,0.93,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42109,1.866,1.942,0.851,0.042,0.003,0.955,0.202,0.313,0.411,0.077,0.207,0.682,0.027,5,0.538,0.843,0.415,0.965
09X568,Young Women's Leadership School of the Bronx,High School,144,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,,0.78,0.92,0.7,0.96,0.87,0.92,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42033,2.943,2.853,0.063,0.181,0,0.779,0.021,0.111,0.597,0.049,0.368,0.556,0.007,5,0.545,0.922,0.217,0.976
10X141,Riverdale / Kingsbridge Academy (Middle School / H,High School,707,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.73,0.76,0.69,0.75,0.88,0.84,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,41976,2.934,2.813,0.058,0.215,0.076,0.421,0.004,0.069,0.274,0.078,0.096,0.588,0.235,10,0.786,0.92,0.248,0.962
10X213,Bronx Engineering and Technology Academy,High School,403,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,0.77,0.86,0.66,0.86,0.83,0.81,Proficient,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42795,2.484,2.289,0.134,0.251,0,0.785,0.107,0.156,0.581,0.04,0.288,0.635,0.025,6.2,0.923,0.817,0.538,0.971
10X225,Theatre Arts Production Company School,High School,414,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.73,0.77,0.65,0.79,0.83,0.84,Proficient,Proficient,Developing,Proficient,Proficient,,,,,,42123,2.664,2.284,0.063,0.263,0.014,0.791,0.048,0.111,0.63,0.012,0.29,0.659,0.017,5.3,0.729,0.853,0.45,0.964
