DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M292,Orchard Collegiate Academy,High School,140,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.81,0.92,0.8,0.92,0.82,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,42826,2.474,2.117,0.143,0.271,0.036,0.832,0.079,0.2,0.621,0.15,0.243,0.55,0.05,1.9,0.5,0.867,0.448,0.973
01M448,University Neighborhood High School,High School,392,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.82,0.88,0.76,0.89,0.86,0.92,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42115,2.847,2.66,0.089,0.148,0.003,0.757,0.074,0.173,0.538,0.301,0.245,0.421,0.028,7.5,0.429,0.925,0.244,0.971
01M450,East Side Community School,High School,393,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.84,0.95,0.93,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42150,3.063,2.934,0.01,0.244,0,0.586,0.008,0.056,0.405,0.122,0.201,0.547,0.104,15.8,0.78,0.94,0.164,0.99
01M509,Marta Valle High School,High School,204,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,0.61,0.68,0.65,0.65,0.79,0.75,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,42705,2.632,2.207,0.088,0.294,0.025,0.767,0.093,0.142,0.618,0.029,0.363,0.583,0.02,2,0.647,0.79,0.631,0.946
01M539,"New Explorations into Science, Technology and Math",High School,614,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.81,0.75,0.72,0.74,0.91,0.81,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,42826,3.732,3.796,0.005,0.099,0,0.359,0.015,0.034,0.181,0.345,0.124,0.174,0.319,2,0.638,0.953,0.102,0.972
01M696,Bard High School Early College,High School,548,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.82,0.82,0.91,0.86,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42447,3.925,4.024,0,0.029,0,0.383,0.005,0.044,0.234,0.254,0.161,0.179,0.391,6.8,0.839,0.945,0.13,0.98
02M047,47 The American Sign Language and English Secondar,High School,179,Meeting Target,Meeting Target,Meeting Target,Meeting Target,,,Meeting Target,0.65,0.77,0.68,0.84,0.8,0.84,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42047,2.828,2.372,0.05,0.257,0.045,0.732,0.061,0.123,0.581,0.017,0.302,0.62,0.045,9,0.6,0.861,0.443,0.978
02M135,The Urban Assembly School for Emergency Management,High School,315,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.73,0.68,0.76,0.84,0.84,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42644,2.71,2.36,0.067,0.19,0.003,0.712,0.076,0.149,0.524,0.057,0.27,0.61,0.048,4,0.792,0.83,0.511,0.969
02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,378,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.71,0.88,0.69,0.94,0.87,0.91,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,41992,2.617,2.345,0.069,0.272,0.008,0.707,0.063,0.122,0.529,0.026,0.259,0.619,0.077,4,0.333,0.865,0.453,0.982
02M260,M.S. 260 Clinton School Writers & Artists,High School,199,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,,0.85,0.82,0.77,0.86,0.89,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,42066,3.606,3.323,0.01,0.186,0,0.243,0,0.025,0.116,0.111,0.075,0.161,0.603,5.8,0.647,0.966,0.055,0.976
02M280,Manhattan Early College School for Advertising,High School,279,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,,0.76,0.83,0.76,0.9,0.89,0.88,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,42129,2.941,2.6,0.032,0.219,0.011,0.599,0.068,0.104,0.434,0.065,0.355,0.444,0.097,3,0.857,0.916,0.265,0.981
02M282,Urban Assembly Maker Academy,High School,290,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,Exceeding Target,,0.79,0.92,0.72,0.96,0.91,0.95,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42675,2.961,2.72,0.034,0.134,0.003,0.615,0.028,0.114,0.441,0.117,0.262,0.466,0.1,3,0.429,0.89,0.332,0.984
02M288,Food and Finance High School,High School,400,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,0.79,0.86,0.62,0.8,0.75,0.84,Proficient,Proficient,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Developing,42856,2.75,2.456,0.053,0.185,0,0.686,0.043,0.12,0.518,0.05,0.388,0.52,0.018,13,0.75,0.896,0.324,0.943
02M294,Essex Street Academy,High School,352,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.86,0.95,0.82,0.97,0.88,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42509,2.814,2.349,0.043,0.29,0,0.655,0.071,0.085,0.48,0.051,0.395,0.426,0.065,1.6,0.885,0.872,0.342,0.969
02M296,High School of Hospitality Management,High School,398,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,,,Approaching Target,0.79,0.83,0.7,0.83,0.87,0.86,Proficient,Proficient,Proficient,Proficient,Well Developed,,,,,,42046,2.547,2.188,0.085,0.214,0.023,0.758,0.098,0.116,0.598,0.03,0.274,0.643,0.028,4.8,0.889,0.817,0.512,0.97
02M298,Pace High School,High School,508,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.76,0.75,0.69,0.83,0.8,0.88,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42110,2.951,2.598,0.024,0.193,0,0.661,0.033,0.079,0.49,0.085,0.321,0.524,0.026,1.7,0.75,0.871,0.387,0.971
02M300,"Urban Assembly School of Design and Construction,",High School,391,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.75,0.77,0.69,0.78,0.83,0.89,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42458,2.556,2.346,0.11,0.235,0.01,0.706,0.087,0.159,0.512,0.033,0.256,0.665,0.028,8.9,0.593,0.825,0.494,0.966
02M303,"Facing History School, The",High School,431,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.84,0.91,0.78,0.95,0.87,0.96,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42076,2.533,2.185,0.165,0.232,0,0.79,0.109,0.155,0.613,0.016,0.255,0.694,0.016,5.9,0.576,0.818,0.53,0.964
02M305,"Urban Assembly Academy of Government and Law, The",High School,316,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.78,0.94,0.67,0.94,0.79,0.89,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,42736,2.691,2.304,0.051,0.234,0.006,0.765,0.082,0.193,0.582,0.054,0.364,0.547,0.032,3,0.407,0.842,0.517,0.977
02M308,Lower Manhattan Arts Academy,High School,354,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,0.81,0.79,0.67,0.85,0.73,0.78,Proficient,Proficient,Proficient,Well Developed,Proficient,,,,,,41961,2.664,2.295,0.045,0.347,0.025,0.679,0.071,0.13,0.472,0.088,0.274,0.554,0.031,12,0.769,0.876,0.314,0.972
02M316,"Urban Assembly School of Business for Young Women,",High School,275,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.69,0.84,0.61,0.87,0.79,0.88,Proficient,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,42736,2.721,2.273,0.033,0.142,0,0.708,0.073,0.109,0.524,0.022,0.571,0.335,0.015,12,0.591,0.833,0.511,0.951
02M374,Gramercy Arts High School,High School,534,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.64,0.68,0.56,0.64,0.8,0.78,Proficient,Developing,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,42736,2.944,2.481,0.013,0.152,0,0.642,0.039,0.088,0.457,0.032,0.408,0.427,0.069,3,0.667,0.842,0.441,0.961
02M376,NYC iSchool,High School,449,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.87,0.89,0.84,0.93,0.89,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42405,3.516,3.247,0.004,0.136,0.002,0.379,0.009,0.049,0.223,0.078,0.185,0.29,0.37,4.8,0.774,0.929,0.196,0.979
02M392,MANHATTAN BUSINESS ACADEMY,High School,432,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.83,0.72,0.9,0.82,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42066,2.783,2.411,0.069,0.201,0,0.695,0.072,0.093,0.537,0.032,0.255,0.646,0.042,8,0.567,0.865,0.436,0.982
02M393,Business Of Sports School,High School,449,Exceeding Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.75,0.73,0.72,0.81,0.86,0.86,Well Developed,Proficient,Well Developed,Proficient,Proficient,,,,,,42026,2.533,2.245,0.085,0.249,0.002,0.732,0.073,0.131,0.579,0.02,0.312,0.633,0.02,8,0.818,0.844,0.53,0.966
02M399,The High School For Language And Diplomacy,High School,402,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Approaching Target,0.64,0.58,0.55,0.54,0.71,0.69,Developing,Developing,Developing,Developing,Developing,,,,,,42516,2.758,2.58,0.104,0.159,0,0.702,0.075,0.129,0.473,0.294,0.206,0.425,0.052,1.4,0.645,0.82,0.514,0.961
02M400,High School for Environmental Studies,High School,1227,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.81,0.81,0.7,0.85,0.79,0.86,Proficient,Developing,Developing,Proficient,Proficient,,,,,,42313,2.951,2.756,0.077,0.177,0.03,0.686,0.065,0.084,0.526,0.13,0.163,0.629,0.065,1.4,0.708,0.852,0.386,0.974
02M407,Institute for Collaborative Education,High School,274,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.91,0.92,0.82,0.94,0.94,0.94,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42516,3.19,2.685,0.004,0.12,0.007,0.292,0.022,0.018,0.153,0.069,0.172,0.153,0.533,5.4,0.692,0.923,0.173,0.979
02M408,Professional Performing Arts High School,High School,449,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.8,0.79,0.72,0.85,0.86,0.88,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42480,3.4,3.099,0,0.154,0.002,0.364,0.018,0.069,0.165,0.06,0.234,0.218,0.459,12,0.926,0.93,0.207,0.977
02M411,Baruch College Campus High School,High School,440,Exceeding Target,Meeting Target,Exceeding Target,Not Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.72,0.82,0.65,0.83,0.81,Well Developed,Proficient,Well Developed,Well Developed,Proficient,,,,,,42124,3.671,3.682,0.005,0.155,0.002,0.351,0.016,0.048,0.207,0.45,0.045,0.143,0.339,13.3,0.667,0.965,0.07,0.963
02M412,N.Y.C. Lab School for Collaborative Studies,High School,531,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.88,0.93,0.81,0.95,0.91,0.94,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,,,,,,42011,3.636,3.517,0.004,0.179,0.002,0.26,0.011,0.036,0.145,0.213,0.055,0.149,0.51,10.8,0.825,0.943,0.131,0.959
02M413,School of the Future High School,High School,456,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.85,0.76,0.84,0.86,0.86,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,41989,3.361,3.09,0.009,0.164,0.002,0.34,0.009,0.061,0.195,0.136,0.125,0.285,0.39,9.9,0.774,0.939,0.143,0.971
02M414,N.Y.C. Museum School,High School,454,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Not Meeting Target,Exceeding Target,0.74,0.63,0.72,0.63,0.75,0.74,Proficient,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42705,3.587,3.445,0.013,0.106,0,0.558,0.013,0.059,0.374,0.297,0.128,0.368,0.163,12,0.875,0.938,0.198,0.966
02M416,Eleanor Roosevelt High School,High School,543,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.89,0.89,0.86,0.94,0.92,0.94,Well Developed,Well Developed,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42826,3.947,4.007,0,0.114,0,0.195,0.007,0.011,0.099,0.204,0.041,0.109,0.634,9,0.824,0.956,0.105,0.977
02M418,Millennium High School,High School,659,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.85,0.87,0.82,0.88,0.81,0.89,Proficient,Developing,Developing,Well Developed,Proficient,Well Developed,Proficient,Proficient,Proficient,Proficient,42795,3.747,3.745,0.012,0.118,0.003,0.407,0.005,0.052,0.263,0.417,0.065,0.153,0.329,5,0.816,0.962,0.07,0.976
02M419,Landmark High School,High School,380,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.81,0.72,0.84,0.86,0.87,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,42110,2.533,2.132,0.068,0.237,0.008,0.766,0.108,0.118,0.6,0.026,0.339,0.6,0.018,4.9,0.885,0.806,0.527,0.965
02M420,High School for Health Professions and Human Servi,High School,1792,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.84,0.78,0.82,0.77,0.86,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42467,3.049,2.891,0.067,0.132,0.009,0.656,0.046,0.075,0.488,0.203,0.172,0.535,0.081,7.8,0.86,0.921,0.208,0.959
02M422,Quest to Learn,High School,368,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.81,0.86,0.69,0.89,0.91,0.89,Proficient,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Developing,42795,2.894,2.398,0.038,0.304,0.008,0.521,0.043,0.128,0.34,0.098,0.223,0.413,0.231,1,0.564,0.875,0.353,0.968
02M425,Leadership and Public Service High School,High School,608,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.79,0.87,0.7,0.84,0.83,0.9,Developing,Developing,Developing,Proficient,Proficient,Well Developed,Proficient,Proficient,Proficient,Developing,42736,2.706,2.339,0.059,0.188,0.016,0.729,0.094,0.104,0.561,0.051,0.296,0.599,0.033,6,0.757,0.831,0.476,0.949
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,High School,288,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.84,0.93,0.77,0.96,0.85,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,41989,1.979,2.028,0.743,0.076,0.003,0.888,0.236,0.406,0.372,0.028,0.038,0.91,0.024,7,0.609,0.855,0.462,0.953
02M437,Hudson High School of Learning Technologies,High School,483,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,0.75,0.83,0.68,0.87,0.78,0.86,Proficient,Proficient,Proficient,Proficient,Well Developed,,,,,,42059,2.648,2.357,0.093,0.24,0.004,0.726,0.081,0.126,0.542,0.068,0.298,0.576,0.037,7,0.771,0.792,0.549,0.965
02M438,International High School at Union Square,High School,362,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,0.87,0.9,0.84,0.9,0.82,0.93,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42705,1.934,2.129,0.837,0.033,0.003,0.923,0.287,0.439,0.251,0.204,0.202,0.511,0.08,1.8,0.889,0.868,0.369,0.969
02M439,Manhattan Village Academy,High School,432,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.89,0.83,0.82,0.9,0.9,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,41982,3.175,3.016,0.016,0.15,0,0.631,0.021,0.049,0.444,0.072,0.13,0.706,0.083,17.8,0.778,0.98,0.014,0.981
02M449,Vanguard High School,High School,459,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.89,0.93,0.8,0.92,0.86,0.94,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42136,2.706,2.332,0.048,0.237,0.011,0.694,0.039,0.074,0.523,0.052,0.253,0.612,0.044,5.8,0.875,0.873,0.42,0.967
02M459,Manhattan International High School,High School,331,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.86,0.94,0.85,0.97,0.9,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42095,2.005,2.137,0.713,0.039,0,0.849,0.227,0.221,0.284,0.196,0.154,0.529,0.118,4.8,0.818,0.887,0.349,0.973
02M475,Stuyvesant High School,High School,3365,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.83,0.84,0.91,0.86,0.92,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,42117,4.196,4.388,0,0.006,0,0.32,0.001,0.022,0.162,0.75,0.006,0.025,0.182,0.8,0.889,0.97,0.057,0.963
02M489,High School of Economics and Finance,High School,762,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.77,0.75,0.65,0.76,0.78,0.81,Well Developed,Developing,Proficient,Proficient,Proficient,,,,,,42474,2.891,2.724,0.055,0.185,0.008,0.648,0.046,0.084,0.457,0.215,0.251,0.446,0.073,9.9,0.837,0.877,0.313,0.971
02M500,Unity Center for Urban Technologies,High School,261,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.71,0.76,0.8,0.8,0.88,0.89,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,42705,2.554,2.256,0.088,0.28,0.004,0.736,0.077,0.126,0.563,0.038,0.287,0.605,0.038,9.9,0.357,0.835,0.441,0.962
02M507,Urban Assembly Gateway School for Technology,High School,468,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.88,0.91,0.81,0.91,0.91,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42508,2.888,2.607,0.034,0.197,0.002,0.626,0.032,0.098,0.436,0.103,0.295,0.524,0.041,6,0.688,0.888,0.317,0.977
02M519,Talent Unlimited High School,High School,495,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.72,0.78,0.65,0.83,0.81,0.87,Well Developed,Well Developed,Proficient,Well Developed,Proficient,,,,,,42468,3.334,2.883,0.004,0.149,0,0.451,0.02,0.03,0.281,0.04,0.331,0.408,0.158,0.7,0.933,0.928,0.217,0.977
02M520,Murry Bergtraum High School for Business Careers,High School,407,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.7,0.72,0.62,0.74,0.8,0.81,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42736,2.611,2.298,0.086,0.238,0.007,0.704,0.101,0.135,0.504,0.088,0.491,0.388,0.017,2.9,0.867,0.834,0.407,0.977
02M529,Jacqueline Kennedy Onassis High School,High School,641,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.71,0.71,0.61,0.75,0.81,0.79,Developing,Developing,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,42675,2.627,2.265,0.087,0.178,0.014,0.727,0.112,0.103,0.551,0.064,0.225,0.668,0.034,13,0.564,0.794,0.57,0.948
02M531,Repertory Company High School for Theatre Arts,High School,246,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.72,0.73,0.6,0.83,0.83,0.8,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42069,3.103,2.672,0.012,0.163,0,0.581,0.033,0.077,0.423,0.02,0.341,0.524,0.081,1.4,0.625,0.914,0.298,0.966
02M533,Union Square Academy for Health Sciences,High School,406,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,0.82,0.9,0.72,0.93,0.91,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42117,2.725,2.448,0.067,0.145,0.005,0.726,0.044,0.101,0.554,0.131,0.229,0.559,0.057,5,0.345,0.883,0.341,0.982
02M534,Harvest Collegiate High School,High School,458,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.83,0.9,0.73,0.94,0.84,0.91,Proficient,Developing,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Proficient,42767,3.008,2.553,0.017,0.29,0.007,0.487,0.057,0.081,0.299,0.07,0.255,0.445,0.192,4.9,0.675,0.849,0.434,0.964
02M542,Manhattan Bridges High School,High School,525,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.91,0.83,0.91,0.83,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,,,,,,42026,2.332,2.402,0.467,0.05,0.002,0.828,0.069,0.229,0.52,0.002,0.002,0.992,0,14,0.806,0.916,0.253,0.969
02M543,New Design High School,High School,407,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Not Meeting Target,Meeting Target,Meeting Target,0.76,0.81,0.76,0.78,0.74,0.9,Proficient,Proficient,Well Developed,Well Developed,Well Developed,,,,,,42110,2.636,2.219,0.061,0.273,0.007,0.78,0.074,0.135,0.634,0.059,0.342,0.558,0.017,14,0.694,0.861,0.435,0.968
02M545,High School for Dual Language and Asian Studies,High School,397,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.83,0.76,0.84,0.74,0.77,0.83,Proficient,Proficient,Proficient,Proficient,Developing,Well Developed,Well Developed,Proficient,Proficient,Developing,42795,3.23,3.814,0.118,0.028,0,0.673,0.025,0.159,0.38,0.844,0.043,0.063,0.038,14,0.76,0.983,0.025,0.964
02M546,Academy for Software Engineering,High School,458,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.84,0.92,0.76,0.95,0.9,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,,,,,,41982,2.884,2.658,0.044,0.24,0,0.621,0.035,0.068,0.43,0.092,0.251,0.515,0.1,5,0.618,0.902,0.341,0.97
02M551,Urban Assembly New York Harbor School,High School,460,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.74,0.85,0.66,0.89,0.87,0.91,Developing,Developing,Developing,Well Developed,Developing,Well Developed,Well Developed,Proficient,Proficient,Proficient,42736,2.972,2.609,0.022,0.217,0.002,0.505,0.035,0.05,0.341,0.048,0.193,0.439,0.261,2,0.657,0.906,0.252,0.968
02M580,Richard R. Green High School of Teaching,High School,534,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.8,0.84,0.69,0.88,0.84,0.88,Proficient,Proficient,Developing,Proficient,Developing,Well Developed,Proficient,Proficient,Proficient,Proficient,42826,2.76,2.386,0.039,0.176,0.002,0.733,0.054,0.107,0.552,0.069,0.268,0.594,0.03,4.6,0.914,0.868,0.349,0.962
02M600,The High School of Fashion Industries,High School,1671,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.83,0.9,0.7,0.94,0.89,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42124,3.024,2.626,0.03,0.159,0.044,0.669,0.026,0.094,0.507,0.064,0.366,0.517,0.044,6.8,0.748,0.914,0.261,0.965
02M615,Chelsea Career and Technical Education High School,High School,437,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.75,0.77,0.69,0.83,0.79,0.88,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,42088,2.822,2.562,0.034,0.192,0.007,0.692,0.069,0.103,0.533,0.112,0.217,0.595,0.053,1.9,0.909,0.856,0.445,0.966
