DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 4 English Proficiency,Average Grade 4 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
15K124,P.S. 124 Silas B. Dutcher,Elementary,346,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.9,0.8,0.95,0.63,0.83,0.86,Proficient,Developing,Proficient,Well Developed,Proficient,12-Mar-15,2.52,2.84,0.229,0.168,0.045,0.647,0.142,0.477,0.252,0.077,0.532,0.123,9.8,1,0.944,0.146,0.956
15K130,P.S. 130 The Parkside,Elementary,685,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.92,0.87,0.93,0.82,0.86,0.9,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,19-Nov-14,2.6,2.74,0.197,0.194,0.003,0.536,0.118,0.4,0.217,0.09,0.307,0.335,10.8,0.8,0.956,0.093,0.956
15K131,P.S. 131 Brooklyn,Elementary,1154,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.94,0.96,0.97,0.89,0.83,0.97,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,23-Jan-15,2.4,2.79,0.466,0.159,0.019,0.798,0.024,0.659,0.333,0.012,0.562,0.09,15.8,0.784,0.954,0.122,0.949
15K136,I.S. 136 Charles O. Dewey,Middle,484,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.91,0.94,0.89,0.87,0.83,0.94,Proficient,Developing,Developing,Proficient,Proficient,4-Mar-15,2.02,2.24,0.382,0.225,0.07,0.809,0.103,0.663,0.06,0.027,0.851,0.058,8.5,0.851,0.942,0.185,0.95
15K146,P.S. 146,Elementary,659,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.97,0.99,0.95,0.99,0.95,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,1-Apr-15,2.87,2.85,0.026,0.313,0.042,0.351,0.011,0.196,0.063,0.257,0.218,0.4,15.4,0.854,0.948,0.123,0.968
15K154,The Windsor Terrace School,Elementary,547,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.88,0.93,0.99,0.9,0.94,0.97,Well Developed,Proficient,Proficient,Well Developed,Proficient,8-Jan-14,3.28,3.32,0.06,0.181,0,0.232,0.02,0.119,0.069,0.033,0.194,0.634,3,0.833,0.956,0.069,0.954
15K169,P.S. 169 Sunset Park,Elementary,1661,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.82,0.73,0.87,0.61,0.8,0.74,Well Developed,Proficient,Proficient,Proficient,Proficient,4-May-15,2.59,3.01,0.445,0.155,0.031,0.822,0.092,0.689,0.514,0.013,0.429,0.043,1.2,0.778,0.968,0.076,0.955
15K172,P.S. 172 Beacon School of Excellence,Elementary,597,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.97,0.95,0.97,0.95,0.88,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,1-May-15,3.54,4.14,0.273,0.285,0.002,0.715,0.041,0.589,0.066,0.042,0.77,0.12,30.8,0.633,0.958,0.089,0.954
15K230,P.S. 230 Doris L. Cohen,Elementary,1319,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.92,0.97,0.97,0.93,0.87,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,10-Dec-14,2.72,2.99,0.337,0.182,0.038,0.723,0.209,0.544,0.465,0.018,0.312,0.193,0.8,0.783,0.955,0.112,0.964
15K261,P.S. 261 Philip Livingston,Elementary,803,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,0.88,0.84,0.91,0.75,0.94,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,1-Apr-15,2.76,2.94,0.059,0.211,0.044,0.394,0.035,0.257,0.06,0.289,0.23,0.383,9.8,0.855,0.941,0.147,0.96
15K295,P.S. 295,Elementary,519,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.91,0.96,0.95,0.95,0.9,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,28-Jan-15,2.73,2.95,0.195,0.269,0.021,0.55,0.06,0.398,0.114,0.079,0.468,0.3,2.3,0.75,0.953,0.103,0.963
15K321,P.S. 321 William Penn,Elementary,1472,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.96,0.96,0.98,0.96,0.94,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,10-Feb-15,3.49,3.57,0.015,0.138,0,0.097,0.004,0.047,0.065,0.048,0.083,0.751,16,0.844,0.965,0.034,0.956
15K429,Brooklyn School for Global Studies,Middle,250,Approaching Target,Approaching Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Meeting Target,0.79,0.73,0.78,0.67,0.69,0.76,Proficient,Developing,Proficient,Well Developed,Proficient,27-Apr-15,2.17,2.32,0.06,0.512,0.179,0.749,0.143,0.643,0,0.548,0.44,0.012,0,0,0.878,0.516,
15K442,M.S. 442 Carroll Gardens School for Innovation,Middle,193,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.84,0.9,0.85,0.83,0.82,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"November 8 - 9, 2012",2.31,2.53,0.093,0.42,0.016,0.684,0.098,0.518,0.057,0.352,0.446,0.13,6.2,0.571,0.919,0.272,0.972
15K443,New Voices School of Academic & Creative Arts,Middle,531,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.93,0.94,0.86,0.89,0.83,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,10-Dec-14,3.03,3.14,0.015,0.209,0,0.381,0.028,0.252,0.06,0.153,0.395,0.375,10.8,0.917,0.952,0.101,0.978
15K447,The Math & Science Exploratory School,Middle,518,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.92,0.87,0.91,0.88,0.93,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,2-Mar-15,3.51,3.69,0.006,0.17,0,0.244,0.01,0.127,0.081,0.189,0.17,0.541,0.9,0.774,0.96,0.071,0.962
15K448,Brooklyn Secondary School for Collaborative Studie,Middle,685,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,0.85,0.91,0.85,0.87,0.81,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"November 7-8, 2013",2.37,2.47,0.104,0.406,0.045,0.635,0.083,0.5,0.021,0.382,0.497,0.087,0,0,0.938,0.168,
15K464,Park Slope Collegiate,Middle,423,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.91,0.93,0.83,0.92,0.79,0.92,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,13-May-15,2.54,2.69,0.118,0.311,0,0.652,0.084,0.487,0.076,0.21,0.437,0.261,0,0,0.938,0.198,
15K497,School for International Studies,Middle,466,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,0.83,0.85,0.73,0.79,0.71,0.8,Well Developed,Proficient,Well Developed,Proficient,Well Developed,12-May-15,2.34,2.5,0.135,0.351,0.117,0.71,0.126,0.622,0.009,0.315,0.523,0.144,0,0,0.95,0.127,
15K676,Red Hook Neighborhood School,Elementary,219,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.84,0.82,0.85,0.72,0.8,0.82,Developing,Developing,Proficient,Developing,Proficient,8-Jan-15,1.98,2.27,0.124,0.223,0.062,0.933,0.285,0.782,0.01,0.466,0.503,0.021,6,0.722,0.892,0.41,0.979
15K821,Sunset Park Prep,Middle,527,Approaching Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.78,0.84,0.84,0.85,0.71,0.92,Proficient,Proficient,Proficient,Well Developed,Well Developed,1-May-15,2.61,2.94,0.104,0.201,0,0.807,0.051,0.691,0.15,0.017,0.784,0.044,1.9,0.707,0.956,0.093,0.963
16K005,P.S. 005 Dr. Ronald Mcnair,Elementary,268,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.96,0.91,0.88,0.75,0.86,0.9,Proficient,Developing,Proficient,Proficient,Proficient,"January 21-24, 2014",2.13,2.13,0.084,0.309,0.088,0.877,0.414,0.715,0.004,0.771,0.177,0.032,13.7,1,0.906,0.385,0.963
16K021,P.S. 021 Crispus Attucks,Elementary,640,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.92,0.88,0.9,0.79,0.87,0.89,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"October 24-25, 2013",2.54,2.67,0.014,0.218,0.044,0.781,0.108,0.614,0.008,0.9,0.074,0.012,2.5,0.911,0.921,0.289,0.966
16K025,P.S. 025 Eubie Blake School,Elementary,177,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.88,0.89,0.9,0.87,0.87,0.92,Proficient,Developing,Proficient,Proficient,Proficient,"January 6, February 4, 2014",2.31,2.22,0.098,0.323,0.152,0.867,0.287,0.762,0.018,0.713,0.244,0.012,6.8,0.913,0.909,0.388,0.969
16K026,P.S. 026 Jesse Owens,Elementary,250,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.89,0.91,0.87,0.78,0.84,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,"December 9-10, 2013",2.57,2.58,0.065,0.28,0.06,0.887,0.302,0.772,0.017,0.694,0.276,0.013,3.8,0.9,0.895,0.386,0.973
16K028,P.S. 028 The Warren Prep Academy,Elementary,219,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.9,0.89,0.91,0.86,0.88,0.92,Developing,Developing,Proficient,Proficient,Proficient,11-May-15,2.07,2.19,0.068,0.208,0.082,0.862,0.184,0.725,0.005,0.816,0.14,0.029,0.9,0.818,0.913,0.356,0.964
16K035,M.S. 035 Stephen Decatur,Middle,185,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.97,0.97,0.93,0.92,0.94,0.96,Proficient,Proficient,Well Developed,Well Developed,Proficient,4-May-15,2.39,2.53,0.032,0.314,0.119,0.751,0.189,0.584,0.005,0.838,0.135,0.011,11,0.938,0.92,0.281,0.972
16K040,P.S. 040 George W. Carver,Elementary,314,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,0.95,0.93,0.91,0.92,0.83,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,18-May-15,2.3,2.3,0.068,0.283,0.125,0.905,0.194,0.796,0.039,0.771,0.176,0.011,14.8,0.958,0.919,0.342,0.968
16K057,J.H.S. 057 Whitelaw Reid,Middle,179,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.99,0.92,0.97,0.86,0.97,Well Developed,Well Developed,Well Developed,Proficient,Well Developed,17-Dec-14,2.42,2.51,0.073,0.318,0.011,0.884,0.341,0.726,0.017,0.698,0.268,0.006,8.8,0.867,0.899,0.36,0.936
16K081,P.S. 081 Thaddeus Stevens,Elementary,324,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.93,0.94,0.88,0.85,0.86,0.94,Proficient,Developing,Proficient,Proficient,Proficient,"March 18-19, 2014",2.12,2.13,0.083,0.33,0.13,0.892,0.243,0.78,0.003,0.577,0.387,0,12.1,0.912,0.903,0.357,0.973
16K243,P.S. 243K- The Weeksville School,Elementary,260,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,Meeting Target,0.87,0.79,0.88,0.69,0.8,0.8,Proficient,Developing,Proficient,Proficient,Developing,5-May-15,2.19,2.4,0.038,0.265,0.09,0.881,0.179,0.718,0.056,0.739,0.197,0,9.8,0.926,0.899,0.396,0.992
16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,K-8,467,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.92,0.95,0.9,0.85,0.86,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,"April 7-8, 2014",2.7,2.9,0.036,0.186,0.058,0.827,0.237,0.667,0.022,0.85,0.116,0.009,10.8,0.588,0.919,0.319,0.969
16K267,"M.S. 267 Math, Science & Technology",Middle,227,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.97,0.93,0.86,0.92,0.8,0.91,Proficient,Proficient,Proficient,Proficient,Proficient,"May 28-29, 2014",2.39,2.47,0.053,0.33,0.132,0.826,0.211,0.678,0.026,0.709,0.159,0.035,8.7,0.833,0.864,0.456,0.961
16K308,P.S. 308 Clara Cardwell,K-8,434,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,0.87,0.86,0.86,0.77,0.83,0.86,Proficient,Developing,Proficient,Proficient,Proficient,9-Mar-15,2.24,2.18,0.053,0.27,0.118,0.828,0.245,0.673,0.02,0.785,0.183,0.005,3.4,0.974,0.891,0.44,0.944
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,Elementary,261,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.88,0.8,0.89,0.73,0.82,0.82,Developing,Developing,Developing,Proficient,Proficient,3-Nov-14,2.24,2.25,0.104,0.326,0.135,0.884,0.296,0.748,0.052,0.691,0.239,0.004,2.9,0.931,0.924,0.28,0.944
16K335,P.S. 335 Granville T. Woods,Elementary,329,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.87,0.93,0.91,0.85,0.85,0.95,Proficient,Proficient,Developing,Proficient,Proficient,"May 5-6, 2014",2,2.08,0.052,0.262,0.121,0.878,0.203,0.748,0.003,0.807,0.161,0.023,1.7,0.813,0.903,0.353,0.964
16K385,"School of Business, Finance and Entrepreneurship",Middle,82,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.9,0.92,0.91,0.81,0.82,0.9,Developing,Developing,Developing,Proficient,Proficient,4-Feb-15,2.12,2.41,0.11,0.354,0.171,0.849,0.329,0.695,0.012,0.72,0.232,0.024,2.8,0.929,0.904,0.341,0.935
16K534,Upper School @ P.S. 25,Middle,111,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.9,0.83,0.87,0.82,0.8,0.86,Proficient,Developing,Proficient,Proficient,Proficient,12-Jan-15,2.2,2.38,0.063,0.27,0.117,0.877,0.369,0.712,0,0.73,0.261,0.009,3,0.833,0.903,0.286,0.955
16K584,M.S. 584,Middle,104,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.81,0.93,0.87,0.95,Proficient,Developing,Developing,Developing,Developing,26-Jan-15,2.23,2.37,0.087,0.346,0.163,0.885,0.192,0.731,0.01,0.779,0.192,0,7.9,1,0.895,0.405,0.957
16K627,Brighter Choice Community School,Elementary,149,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.88,0.95,0.97,0.91,0.97,1,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,21-Nov-14,2.78,3.02,0.03,0.164,0.045,0.841,0.231,0.679,0,0.754,0.239,0.007,7,0.778,0.911,0.366,0.917
16K628,Brooklyn Brownstone School,Elementary,233,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.93,0.99,0.97,0.99,0.94,0.98,Proficient,Proficient,Proficient,Well Developed,Well Developed,11-May-15,2.7,2.88,0,0.157,0,0.62,0.152,0.36,0,0.858,0.102,0.03,7,0.923,0.936,0.239,0.98
16K636,Young Scholars' Academy for Discovery and Explorat,Elementary,180,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.94,0.95,0.95,0.84,0.87,0.93,Proficient,Developing,Proficient,Developing,Proficient,11-Dec-14,2.3,2.16,0.103,0.181,0.097,0.83,0.213,0.652,0.019,0.529,0.426,0.013,2,0.8,0.919,0.324,0.966
16K681,Madiba Prep Middle School,Middle,208,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.87,0.87,0.84,0.76,0.8,0.88,Developing,Developing,Developing,Proficient,Proficient,17-Nov-14,2.46,2.55,0.029,0.284,0.067,0.759,0.188,0.596,0.005,0.798,0.178,0.014,3,0.409,0.913,0.274,0.993
17K002,Parkside Preparatory Academy,Middle,478,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.87,0.89,0.85,0.86,0.77,0.88,Proficient,Developing,Developing,Proficient,Proficient,"February 4-5, 2014",2.49,2.64,0.056,0.167,0.065,0.717,0.14,0.55,0.033,0.822,0.113,0.023,12.5,0.676,0.941,0.156,0.964
17K006,P.S. 006,Elementary,750,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.95,0.97,0.95,0.86,0.82,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,12-Dec-14,2.39,2.59,0.137,0.195,0.08,0.831,0.268,0.707,0.003,0.728,0.243,0.017,10.9,0.979,0.915,0.342,0.966
17K012,Dr. Jacqueline Peek-Davis School,Elementary,215,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.93,0.85,0.93,0.84,0.87,0.91,Developing,Developing,Proficient,Proficient,Proficient,29-Jan-15,2.15,2.14,0.039,0.32,0.146,0.858,0.213,0.713,0.017,0.781,0.18,0.017,9.3,0.895,0.901,0.42,0.94
17K061,M.S. 061 Dr. Gladstone H. Atwell,Middle,802,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Approaching Target,0.85,0.78,0.82,0.7,0.86,0.81,Proficient,Developing,Proficient,Proficient,Proficient,14-Nov-14,2.49,2.57,0.064,0.152,0.046,0.713,0.09,0.575,0.014,0.824,0.106,0.007,2,0.953,0.927,0.212,0.958
17K091,P.S. 091 The Albany Avenue School,Elementary,428,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.95,0.89,0.93,0.8,0.83,0.85,Proficient,Proficient,Proficient,Proficient,Proficient,5-Mar-15,2.15,1.97,0.094,0.276,0.121,0.768,0.161,0.638,0.005,0.933,0.056,0,5,1,0.924,0.281,0.964
17K092,P.S. 092 Adrian Hegeman,Elementary,482,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.77,0.89,0.84,0.77,0.86,0.92,Proficient,Proficient,Proficient,Proficient,Proficient,6-May-15,2.16,2.48,0.163,0.186,0.053,0.807,0.191,0.686,0.056,0.784,0.151,0.007,15.8,0.917,0.915,0.3,0.965
17K138,P.S. 138 Brooklyn,K-8,679,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.99,1,0.92,0.99,0.92,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,27-Mar-15,2.49,2.57,0.05,0.173,0.059,0.776,0.232,0.604,0.014,0.864,0.086,0.024,14.5,0.941,0.911,0.313,0.983
17K161,P.S. 161 The Crown,Elementary,433,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.99,0.94,0.96,0.89,0.87,0.95,Proficient,Developing,Developing,Proficient,Proficient,17-Mar-15,2.7,3.07,0.046,0.162,0.027,0.736,0.149,0.6,0.072,0.749,0.135,0.017,3.8,0.97,0.935,0.202,0.952
