DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How well do teachers work with each other?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - Dates of Review,Average Grade 4 English Proficiency,Average Grade 4 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,183,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.89,0.94,0.86,0.91,0.85,0.94,Proficient,Developing,Proficient,Well Developed,Proficient,24-Feb-15,2.15,2.26,0.103,0.364,0.006,0.919,0.485,0.764,0.036,0.364,0.576,0.018,4.8,0.609,0.937,0.178,0.976
01M019,P.S. 019 Asher Levy,Elementary,270,N/A,N/A,N/A,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.96,0.96,0.97,0.9,0.86,0.94,Proficient,Proficient,Proficient,Well Developed,Well Developed,"December 19 - 20, 2012",2.61,2.92,0.075,0.333,0.083,0.641,0.129,0.458,0.113,0.183,0.588,0.096,5.8,0.795,0.918,0.303,0.965
01M020,P.S. 020 Anna Silver,Elementary,633,Meeting Target,Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,Not Meeting Target,Approaching Target,0.87,0.77,0.82,0.61,0.8,0.79,Proficient,Well Developed,Proficient,Proficient,Well Developed,3-Feb-15,2.52,2.68,0.199,0.242,0.062,0.744,0.18,0.574,0.364,0.084,0.486,0.038,0.9,0.723,0.944,0.196,0.949
01M034,P.S. 034 Franklin D. Roosevelt,K-8,395,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.85,0.78,0.82,0.73,0.89,0.88,Proficient,Developing,Proficient,Well Developed,Well Developed,"January 29-30, 2014",2.49,2.72,0.069,0.308,0.029,0.86,0.231,0.703,0.056,0.284,0.618,0.037,2.6,0.872,0.918,0.282,0.971
01M063,The STAR Academy - P.S.63,Elementary,199,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.9,0.88,0.87,0.81,0.89,0.93,Proficient,Proficient,Well Developed,Proficient,Proficient,"February 26-27, 2014",2.35,2.89,0.04,0.379,0.017,0.73,0.264,0.511,0.063,0.213,0.626,0.098,7.9,0.75,0.928,0.232,0.968
01M064,P.S. 064 Robert Simon,Elementary,282,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.93,0.99,0.95,0.91,0.88,0.97,Proficient,Proficient,Proficient,Well Developed,Well Developed,24-Feb-15,2.18,2.4,0.072,0.357,0.008,0.858,0.305,0.707,0.068,0.193,0.655,0.076,6.8,0.733,0.918,0.327,0.98
01M110,P.S. 110 Florence Nightingale,Elementary,419,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Exceeding Target,0.88,0.78,0.95,0.69,0.87,0.78,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,26-Feb-15,2.72,3.13,0.023,0.172,0.057,0.499,0.107,0.32,0.13,0.099,0.458,0.271,7,0.897,0.949,0.133,0.974
01M134,P.S. 134 Henrietta Szold,Elementary,255,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.87,0.89,0.88,0.88,0.79,0.94,Proficient,Developing,Developing,Proficient,Proficient,"March 11-12, 2014",2.26,2.8,0.133,0.342,0.096,0.833,0.192,0.713,0.258,0.171,0.538,0.033,1.9,0.714,0.91,0.363,0.948
01M137,P.S. 137 John L. Bernstein,Elementary,186,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,0.79,0.8,0.74,0.71,0.81,0.9,Proficient,Developing,Developing,Proficient,Proficient,17-Nov-14,2.34,2.26,0.131,0.435,0.232,0.842,0.19,0.679,0.155,0.25,0.56,0.036,9.8,0.842,0.915,0.274,0.956
01M140,P.S. 140 Nathan Straus,K-8,380,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.94,0.91,0.85,0.87,0.83,0.93,Proficient,Developing,Proficient,Proficient,Developing,"January 7-8, 2014",2.19,2.36,0.18,0.37,0.13,0.849,0.182,0.71,0.055,0.105,0.793,0.041,31.2,0.677,0.925,0.274,0.964
01M142,P.S. 142 Amalia Castro,Elementary,386,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,0.92,0.89,0.9,0.83,0.89,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,12-Mar-15,2.3,2.27,0.113,0.329,0.091,0.861,0.269,0.728,0.054,0.136,0.779,0.011,8.8,0.794,0.923,0.268,0.937
01M184,P.S. 184m Shuang Wen,K-8,665,N/A,N/A,N/A,Not Meeting Target,Approaching Target,Approaching Target,Exceeding Target,0.9,0.81,0.91,0.67,0.83,0.85,N/A,N/A,N/A,N/A,N/A,,3.18,3.69,0.184,0.129,0,0.559,0.065,0.377,0.766,0.03,0.083,0.084,4,0.6,0.984,0.017,0.978
01M188,P.S. 188 The Island School,K-8,482,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,1,1,0.99,0.99,0.92,0.99,Proficient,Developing,Developing,Proficient,Proficient,"May 13-14, 2014",2.27,2.37,0.156,0.283,0.06,0.917,0.472,0.737,0.018,0.307,0.63,0.042,0.9,0.786,0.907,0.368,0.973
01M292,Henry Street School for International Studies,Middle,255,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Approaching Target,0.72,0.77,0.77,0.72,0.76,0.87,Developing,Developing,Developing,Developing,Developing,1-May-15,2.11,2.2,0.08,0.44,0.04,0.832,0.3,0.68,0.1,0.3,0.54,0.04,0,0,0.844,0.582,
01M301,"Technology, Arts, and Sciences Studio",Middle,149,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,0.84,0.78,0.81,0.8,0.74,0.87,Developing,Developing,Developing,Developing,Proficient,12-Nov-14,2.17,2.28,0.067,0.403,0.027,0.791,0.188,0.638,0.081,0.275,0.577,0.034,9.3,0.765,0.903,0.346,0.959
01M315,The East Village Community School,Elementary,289,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.94,0.93,0.97,0.96,Proficient,Proficient,Proficient,Proficient,Well Developed,"April 7-8, 2014",2.88,3.14,0.016,0.269,0.008,0.362,0.036,0.213,0.083,0.111,0.241,0.498,0.9,0.68,0.947,0.108,0.973
01M332,University Neighborhood Middle School,Middle,86,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.96,0.92,0.96,0.86,0.96,Well Developed,Proficient,Proficient,Well Developed,Proficient,16-Mar-15,2.28,2.31,0.128,0.407,0.105,0.771,0.221,0.605,0.047,0.209,0.663,0.047,6.8,0.9,0.915,0.263,0.968
01M345,"Collaborative Academy of Science, Technology, & La",Middle,132,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.85,0.86,0.83,0.82,0.79,0.88,Proficient,Proficient,Proficient,Proficient,Proficient,3-Mar-15,2.22,2.52,0.068,0.386,0.129,0.785,0.22,0.621,0.159,0.28,0.5,0.023,6,0.923,0.91,0.301,0.945
01M361,The Children's Workshop School,Elementary,255,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.97,0.97,0.97,0.96,0.93,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,"April 28-29, 2014",2.82,2.85,0.059,0.271,0.014,0.451,0.059,0.294,0.109,0.118,0.357,0.398,11,0.9,0.929,0.234,0.966
01M363,Neighborhood School,Elementary,302,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.99,0.97,0.95,0.96,0.95,0.99,Well Developed,Proficient,Proficient,Well Developed,Proficient,1-Apr-15,2.68,2.74,0.045,0.273,0.028,0.43,0.066,0.266,0.077,0.143,0.297,0.469,1.8,0.769,0.925,0.229,0.975
01M364,Earth School,Elementary,321,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.96,0.99,0.96,0.98,0.96,0.98,Well Developed,Proficient,Proficient,Well Developed,Well Developed,3-Mar-15,2.74,2.68,0.05,0.244,0.003,0.448,0.089,0.274,0.079,0.139,0.35,0.363,0.8,0.739,0.941,0.151,0.978
01M378,School for Global Leaders,Middle,235,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,0.79,0.87,0.82,0.77,0.76,0.88,Well Developed,Proficient,Well Developed,Well Developed,Proficient,"Jan 29 - 30, 2013",2.21,2.41,0.136,0.328,0.098,0.764,0.14,0.604,0.162,0.23,0.566,0.026,7,0.52,0.923,0.272,0.996
01M450,East Side Community School,Middle,666,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.95,0.92,0.96,0.88,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,26-May-15,2.59,2.86,0.004,0.331,0.05,0.61,0.053,0.423,0.096,0.199,0.552,0.135,0,0,0.969,0.046,
01M539,"New Explorations into Science, Technology and Math",K-8,1735,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Approaching Target,Not Meeting Target,Exceeding Target,0.81,0.73,0.85,0.55,0.81,0.74,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,5-Feb-15,3.9,4.16,0.001,0.035,0,0.257,0.005,0.067,0.306,0.072,0.076,0.496,0,0,0.968,0.032,
01M839,Tompkins Square Middle School,Middle,368,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.9,0.89,0.88,0.86,0.83,0.94,Well Developed,Proficient,Well Developed,Proficient,Well Developed,4-Dec-14,2.68,2.9,0.035,0.261,0.003,0.597,0.052,0.446,0.22,0.144,0.405,0.193,6.9,0.719,0.96,0.067,0.956
02M001,P.S. 001 Alfred E. Smith,Elementary,465,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.89,0.91,0.95,0.86,0.87,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,"October 28-29, 2013",2.55,3.18,0.358,0.181,0.054,0.769,0.11,0.632,0.667,0.108,0.218,0.002,12,0.769,0.952,0.177,0.97
02M002,P.S. 002 Meyer London,Elementary,760,Approaching Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.93,0.86,0.94,0.76,0.83,0.89,Developing,Developing,Developing,Proficient,Proficient,27-Mar-15,2.81,3.52,0.428,0.182,0.045,0.858,0.384,0.62,0.854,0.043,0.088,0.015,2.9,0.794,0.977,0.056,0.968
02M003,P.S. 003 Charrette School,Elementary,809,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.97,0.93,0.97,0.93,0.96,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,"Dec 3-4, 2013",3.14,3.47,0.046,0.197,0.025,0.176,0.016,0.116,0.069,0.051,0.125,0.691,13.9,0.8,0.946,0.132,0.96
02M006,P.S. 006 Lillie D. Blake,Elementary,726,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.9,0.95,0.87,0.92,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,"October 22-23, 2013",3.25,3.64,0.025,0.169,0.003,0.101,0.012,0.034,0.113,0.025,0.074,0.753,8.8,0.844,0.963,0.05,0.96
02M011,P.S. 011 William T. Harris,Elementary,872,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.93,0.93,0.98,0.91,0.93,0.95,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,12-May-15,3.08,3.34,0.036,0.148,0.004,0.293,0.023,0.196,0.13,0.071,0.279,0.484,10,0.8,0.955,0.1,0.971
02M033,P.S. 033 Chelsea Prep,Elementary,634,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.97,0.9,0.94,0.82,0.92,0.89,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"October 24-25, 2013",2.86,3.35,0.05,0.127,0.025,0.43,0.08,0.318,0.256,0.119,0.318,0.249,11,0.811,0.955,0.128,0.966
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,624,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.97,0.94,0.99,0.91,0.96,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"May 6 & 7, 2014",3.38,3.53,0.015,0.185,0.002,0.153,0.015,0.04,0.092,0.028,0.137,0.645,11,0.821,0.962,0.069,0.968
02M041,P.S. 041 Greenwich Village,Elementary,757,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.96,0.98,0.92,0.95,0.98,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"December 4-5, 2013",3.49,3.88,0.012,0.173,0,0.066,0,0.017,0.096,0.022,0.097,0.686,10,0.857,0.967,0.018,0.968
02M042,P.S. 042 Benjamin Altman,Elementary,776,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.91,0.94,0.96,0.89,0.85,0.96,Well Developed,Well Developed,Proficient,Well Developed,Proficient,15-May-15,2.8,3.59,0.311,0.158,0.015,0.785,0.051,0.62,0.931,0.009,0.032,0.022,0.7,0.873,0.983,0.018,0.965
02M051,P.S. 051 Elias Howe,Elementary,350,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.9,0.95,0.97,0.91,0.89,0.97,Proficient,Well Developed,Proficient,Well Developed,Well Developed,12-Dec-14,2.64,2.58,0.121,0.287,0.013,0.626,0.178,0.478,0.207,0.127,0.471,0.172,12.9,0.571,0.941,0.15,0.963
02M059,P.S. 059 Beekman Hill International,Elementary,596,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.87,0.95,0.76,0.94,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"May 1 ,2015",3.42,3.57,0.047,0.178,0.005,0.075,0.01,0.042,0.131,0.023,0.139,0.607,8,0.732,0.962,0.057,0.975
02M077,P.S. 77 Lower Lab School,Elementary,350,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.93,0.96,0.98,0.93,0.95,0.99,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,27-Mar-15,3.76,3.9,0,0.129,0.009,0.069,0.003,0.034,0.229,0.009,0.06,0.623,1,0.882,0.972,0.014,0.972
02M089,P.S. 89,Elementary,442,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.94,0.98,0.9,0.93,0.97,Proficient,Developing,Proficient,Well Developed,Proficient,24-Mar-15,3.24,3.43,0.042,0.172,0.002,0.068,0.005,0.022,0.143,0.022,0.15,0.621,16.8,0.929,0.96,0.055,0.968
02M104,J.H.S. 104 Simon Baruch,Middle,1073,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.87,0.89,0.85,0.84,0.7,0.92,Well Developed,Proficient,Proficient,Well Developed,Well Developed,26-Nov-13,2.88,3.33,0.064,0.171,0.033,0.522,0.083,0.376,0.446,0.087,0.201,0.245,0.8,0.814,0.963,0.107,0.965
02M111,P.S. 111 Adolph S. Ochs,K-8,465,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,0.89,0.79,0.81,0.74,0.88,0.86,Developing,Developing,Developing,Developing,Proficient,9-Jan-15,2.32,2.52,0.129,0.317,0.031,0.645,0.181,0.519,0.136,0.167,0.552,0.121,9.8,0.844,0.923,0.256,0.941
02M114,East Side Middle School,Middle,449,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.96,0.92,0.94,0.82,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,18-Dec-14,3.68,3.96,0,0.163,0,0.104,0.002,0.06,0.147,0.031,0.1,0.679,12.2,0.833,0.978,0.018,0.96
02M116,P.S. 116 Mary Lindley Murray,Elementary,696,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.92,0.92,0.95,0.83,0.9,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,7-May-15,3.12,3.21,0.092,0.165,0.003,0.307,0.083,0.229,0.187,0.101,0.206,0.441,12,0.723,0.952,0.136,0.962
02M124,P.S. 124 Yung Wing,Elementary,864,Approaching Target,Approaching Target,Exceeding Target,Approaching Target,Approaching Target,Meeting Target,Exceeding Target,0.83,0.77,0.94,0.65,0.8,0.85,Well Developed,Proficient,Developing,Well Developed,Proficient,20-Mar-15,3.08,3.55,0.355,0.097,0,0.578,0.039,0.408,0.948,0.006,0.03,0.013,12,0.857,0.984,0.021,0.972
02M126,P.S. 126 Jacob August Riis,K-8,811,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Exceeding Target,0.91,0.93,0.91,0.89,0.82,0.95,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,14-Nov-14,2.98,3.35,0.223,0.173,0.012,0.728,0.238,0.558,0.567,0.109,0.213,0.097,4,0.883,0.964,0.101,0.969
02M130,P.S. 130 Hernando De Soto,Elementary,999,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.98,0.97,0.97,0.96,0.9,0.99,Proficient,Proficient,Proficient,Well Developed,Proficient,27-Feb-15,3.19,3.67,0.17,0.13,0.012,0.616,0.042,0.446,0.876,0.01,0.044,0.044,0.9,0.692,0.985,0.016,0.963
02M131,M.S. 131,Middle,406,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.86,0.92,0.91,0.86,0.78,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,"March 25-26, 2014",2.44,2.98,0.419,0.271,0.076,0.837,0.357,0.616,0.8,0.081,0.116,0.002,8,0.784,0.971,0.094,0.973
02M150,P.S. 150,Elementary,184,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.9,0.96,0.9,0.95,0.97,Proficient,Proficient,Proficient,Well Developed,Proficient,12-Mar-15,3.32,3.34,0.036,0.169,0.006,0.196,0.018,0.102,0.127,0.084,0.145,0.542,3.3,0.8,0.953,0.047,0.981
02M151,Yorkville Community School,Elementary,572,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.96,0.96,0.93,0.9,0.92,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,"March 3 & 5, 2014",2.85,3.09,0.073,0.189,0.023,0.367,0.096,0.28,0.07,0.14,0.248,0.47,6,0.575,0.938,0.164,0.961
02M158,P.S. 158 Bayard Taylor,Elementary,761,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.96,0.87,0.96,0.8,0.89,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,11-May-15,3.47,3.67,0.046,0.192,0.015,0.11,0.016,0.068,0.112,0.038,0.116,0.694,0.3,0.51,0.957,0.083,0.959
02M167,J.H.S. 167 Robert F. Wagner,Middle,1364,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Exceeding Target,0.85,0.89,0.87,0.84,0.76,0.92,Well Developed,Well Developed,Proficient,Well Developed,Proficient,8-Jan-14,3.02,3.35,0.045,0.184,0.032,0.36,0.049,0.26,0.274,0.098,0.22,0.382,10.8,0.718,0.957,0.093,0.968
02M177,Yorkville East Middle School,Middle,56,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.99,0.99,0.88,0.99,0.92,0.98,Proficient,Proficient,Proficient,Well Developed,Proficient,18-Mar-15,2.88,3.18,0.036,0.286,0.018,0.271,0.018,0.214,0.125,0.089,0.286,0.429,1,0.4,0.961,0.085,0.984
02M183,P.S. 183 Robert L. Stevenson,Elementary,595,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.85,0.94,0.94,0.88,0.93,0.95,Proficient,Proficient,Proficient,Well Developed,Well Developed,31-Mar-15,3.39,3.43,0.055,0.202,0.005,0.074,0.015,0.042,0.195,0.037,0.101,0.639,5,0.674,0.959,0.067,0.973
02M198,P.S. 198 Isador E. Ida Straus,Elementary,462,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.89,0.9,0.86,0.78,0.95,0.93,Developing,Developing,Developing,Proficient,Developing,1-May-15,2.34,2.48,0.064,0.216,0.023,0.365,0.032,0.28,0.143,0.136,0.32,0.384,2.8,0.784,0.943,0.194,0.963
02M212,P.S. 212 Midtown West,Elementary,361,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.93,0.98,0.97,0.97,0.97,0.99,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,16-Dec-14,3.41,3.73,0.026,0.143,0.003,0.2,0.017,0.105,0.076,0.073,0.222,0.496,1.7,0.818,0.964,0.05,0.963
02M217,P.S./I.S. 217 Roosevelt Island,K-8,536,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.93,0.95,0.89,0.88,0.89,0.92,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,7-May-15,2.65,3.01,0.079,0.138,0.042,0.293,0.014,0.184,0.271,0.19,0.164,0.34,8.8,0.639,0.953,0.097,0.967
02M225,Ella Baker School,K-8,323,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.91,0.91,0.93,0.82,0.95,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,2-Apr-15,2.61,2.89,0.044,0.248,0,0.429,0.041,0.256,0.019,0.248,0.463,0.207,12.9,0.81,0.923,0.264,0.951
02M234,P.S. 234 Independence School,Elementary,729,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Meeting Target,Exceeding Target,0.92,0.9,0.97,0.76,0.94,0.87,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,"March 18-19, 2013",3.38,3.61,0.016,0.173,0,0.065,0.001,0.032,0.115,0.01,0.075,0.702,8.8,0.7,0.961,0.057,0.975
02M255,M.S. 255 Salk School of Science,Middle,365,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.93,0.97,0.95,0.96,0.88,0.98,Well Developed,Proficient,Proficient,Well Developed,Well Developed,29-Jan-15,3.78,3.93,0,0.132,0,0.131,0.005,0.058,0.214,0.038,0.085,0.636,13,0.72,0.968,0.052,0.938
02M260,M.S. 260 Clinton School Writers & Artists,Middle,270,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.9,0.9,0.87,0.87,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,3-Mar-15,3.3,3.42,0.011,0.17,0.004,0.236,0.015,0.133,0.163,0.059,0.126,0.641,3.8,0.706,0.971,0.018,0.975
02M267,"East Side Elementary School, PS 267",Elementary,320,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,N/A,0.94,0.96,0.95,0.9,0.91,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"December 10-11, 2012",3.28,3.59,0.025,0.194,0.007,0.049,0.007,0.028,0.088,0.014,0.06,0.817,5,0.619,0.958,0.065,0.965
02M276,BATTERY PARK CITY SCHOOL,K-8,857,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.92,0.94,0.88,0.92,0.9,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,7-Jan-15,3.13,3.38,0.021,0.162,0.004,0.114,0.009,0.056,0.224,0.046,0.116,0.55,6,0.694,0.959,0.083,0.975
02M289,I.S. 289,Middle,292,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.91,0.97,0.82,0.95,0.84,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,11-May-15,3.21,3.46,0.014,0.168,0.017,0.313,0.041,0.192,0.353,0.075,0.161,0.38,1.8,0.667,0.972,0.024,0.967
02M290,P.S. 290 Manhattan New School,Elementary,646,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.96,0.97,0.92,0.93,0.97,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,11-May-15,3.43,3.51,0.04,0.152,0,0.064,0.002,0.046,0.116,0.014,0.071,0.74,0.9,0.854,0.963,0.057,0.969
02M312,New York City Lab Middle School for Collaborative,Middle,558,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.91,0.9,0.83,0.85,0.92,Proficient,Proficient,Proficient,Well Developed,Well Developed,25-Mar-15,3.66,4.01,0.004,0.149,0,0.308,0.023,0.192,0.446,0.02,0.072,0.384,6.9,0.735,0.982,0.018,0.962
02M347,The 47 American Sign Language & English Lower Scho,K-8,196,Meeting Target,Not Meeting Target,Meeting Target,Not Meeting Target,Approaching Target,Meeting Target,Meeting Target,0.82,0.68,0.91,0.53,0.82,0.82,Proficient,Proficient,Proficient,Proficient,Developing,30-Jan-15,2.08,2.12,0.126,0.6,0.03,0.812,0.207,0.689,0.015,0.289,0.57,0.104,5.2,0.814,0.923,0.286,0.958
02M397,SPRUCE STREET SCHOOL,Elementary,430,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.97,0.93,0.97,0.93,0.94,0.95,Proficient,Proficient,Proficient,Well Developed,Proficient,"December 3-4, 2013",3.36,3.68,0.02,0.167,0,0.059,0.006,0.04,0.141,0.032,0.112,0.573,6,0.607,0.956,0.063,0.988
