DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 5 English Proficiency,Average Grade 5 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
28Q196,P.S. 196 Grand Central Parkway,Elementary,884,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.93,0.93,0.91,0.95,0.96,0.97,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42521,,,0.064,0.119,0.024,0.139,0.02,0.081,0.372,0.023,0.135,0.396,6.8,0.755,0.963,0.068,0.971
28Q206,P.S. 206 The Horace Harding School,Elementary,571,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Approaching Target,0.86,0.86,0.85,0.9,0.92,0.94,Proficient,Developing,Developing,Proficient,Proficient,42059,,,0.249,0.1,0.007,0.581,0.079,0.461,0.179,0.182,0.305,0.308,5,0.93,0.945,0.146,0.958
28Q217,J.H.S. 217 Robert A. Van Wyck,Middle,1572,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.89,0.92,0.78,0.96,0.89,0.93,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42439,2.67,2.66,0.181,0.155,0.065,0.6,0.09,0.425,0.375,0.131,0.419,0.054,9,0.862,0.932,0.197,0.962
28Q220,P.S. 220 Edward Mandel,Elementary,657,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.84,0.85,0.81,0.87,0.94,0.87,Proficient,Proficient,Well Developed,Well Developed,Well Developed,42033,,,0.17,0.154,0.04,0.498,0.041,0.384,0.279,0.088,0.224,0.381,10.8,0.833,0.95,0.124,0.963
28Q284,York Early College Academy,Middle,279,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.86,0.76,0.77,0.85,0.89,0.86,Well Developed,Proficient,Proficient,Well Developed,Proficient,42025,3.27,3.21,0.007,0.1,0,0.416,0.029,0.297,0.269,0.47,0.115,0.011,0.5,0.857,0.968,0.047,0.971
28Q287,The Emerson School,Middle,322,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.9,0.68,0.96,0.86,0.92,Proficient,Proficient,Proficient,Well Developed,Proficient,42121,2.5,2.48,0.075,0.248,0.093,0.611,0.121,0.441,0.109,0.584,0.208,0.022,1.9,0.435,0.923,0.279,0.983
28Q310,Queens Collegiate: A College Board School,Middle,243,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,0.73,0.6,0.69,0.73,0.82,0.81,Proficient,Proficient,Proficient,Well Developed,Developing,42479,2.65,2.69,0.045,0.177,0.041,0.525,0.066,0.44,0.28,0.486,0.148,0.012,8,0.75,0.956,0.121,0.948
28Q332,Redwood Middle School,Middle,202,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.86,0.95,0.88,0.96,0.83,0.95,Proficient,Developing,Developing,Proficient,Proficient,42131,2.51,2.37,0.025,0.238,0.089,0.55,0.109,0.401,0.089,0.767,0.084,0.015,2,0.5,0.941,0.165,0.974
28Q354,P.S. 354,Elementary,593,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Approaching Target,0.81,0.83,0.73,0.77,0.89,0.86,Well Developed,Proficient,Proficient,Proficient,Proficient,42391,,,0.035,0.224,0.103,0.568,0.073,0.452,0.022,0.895,0.064,0.005,2.4,0.511,0.941,0.176,0.977
28Q358,M.S. 358,Middle,128,,,,,,,,0.79,0.84,0.7,0.92,0.83,0.91,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42496,2.6,2.45,0.188,0.156,0.07,0.664,0.086,0.516,0.219,0.375,0.32,0.023,1,0.778,0.934,0.206,0.955
