DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - Dates of Review,Average Grade 5 English Proficiency,Average Grade 5 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate
01M015,P.S. 015 Roberto Clemente,Elementary,162,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.88,0.96,0.78,0.94,0.92,0.94,Well Developed,Proficient,Proficient,Well Developed,Proficient,42481,,,0.099,0.358,0.043,0.882,0.444,0.722,0.056,0.309,0.605,0.012,5.8,0.591,0.934,0.241,0.977
01M019,P.S. 019 Asher Levy,Elementary,249,,,,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.94,0.91,0.92,0.91,0.92,0.94,,,,,,,,,0.052,0.321,0.084,0.653,0.165,0.438,0.104,0.197,0.627,0.064,6.8,0.795,0.915,0.324,0.956
01M020,P.S. 020 Anna Silver,Elementary,535,Meeting Target,Meeting Target,Meeting Target,Not Meeting Target,Not Meeting Target,Not Meeting Target,Meeting Target,0.58,0.62,0.73,0.33,0.8,0.55,Proficient,Well Developed,Proficient,Proficient,Well Developed,42038,,,0.164,0.222,0.062,0.709,0.148,0.535,0.359,0.084,0.488,0.043,1.9,0.739,0.942,0.204,0.959
01M034,P.S. 034 Franklin D. Roosevelt,K-8,376,Approaching Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.79,0.73,0.65,0.8,0.91,0.87,Proficient,Developing,Developing,Proficient,Developing,42496,,,0.077,0.322,0.035,0.87,0.255,0.707,0.043,0.279,0.644,0.035,3.6,0.861,0.916,0.288,0.967
01M063,The STAR Academy - P.S.63,Elementary,188,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.9,0.94,0.92,0.97,0.95,0.95,Well Developed,Proficient,Well Developed,Proficient,Well Developed,42304,,,0.032,0.335,0,0.736,0.261,0.537,0.048,0.191,0.644,0.106,8.9,0.524,0.938,0.168,0.984
01M064,P.S. 064 Robert Simon,Elementary,238,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Approaching Target,Meeting Target,0.9,0.89,0.86,0.88,0.86,0.86,Proficient,Proficient,Proficient,Well Developed,Well Developed,42059,,,0.063,0.353,0.013,0.842,0.29,0.643,0.067,0.185,0.664,0.071,7.8,0.621,0.914,0.345,0.979
01M110,P.S. 110 Florence Nightingale,Elementary,365,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.8,0.88,0.83,0.92,0.84,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42061,,,0.014,0.153,0.055,0.497,0.121,0.326,0.159,0.093,0.449,0.255,8,0.75,0.955,0.106,0.977
01M134,P.S. 134 Henrietta Szold,Elementary,248,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.86,0.8,0.72,0.86,0.88,0.91,Proficient,Proficient,Proficient,Well Developed,Proficient,42318,,,0.125,0.387,0.101,0.82,0.266,0.665,0.21,0.202,0.556,0.028,2.9,0.679,0.92,0.309,0.957
01M137,P.S. 137 John L. Bernstein,Elementary,145,,,,,,,,0.63,0.66,0.52,0.79,0.88,0.89,Proficient,Developing,Developing,Proficient,Proficient,41960,,,0.09,0.434,0.214,0.862,0.234,0.69,0.11,0.241,0.621,0.028,1,0.667,0.913,0.336,0.972
01M140,P.S. 140 Nathan Straus,K-8,363,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.82,0.84,0.75,0.91,0.89,0.86,Proficient,Proficient,Well Developed,Proficient,Proficient,42383,,,0.149,0.361,0.135,0.857,0.187,0.727,0.052,0.124,0.777,0.036,1,0.781,0.929,0.287,0.969
01M142,P.S. 142 Amalia Castro,Elementary,332,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,0.85,0.86,0.73,0.95,0.92,0.95,Proficient,Proficient,Proficient,Proficient,Proficient,42075,,,0.09,0.383,0.111,0.874,0.271,0.738,0.066,0.123,0.789,0.009,1,0.697,0.927,0.265,0.973
01M184,P.S. 184m Shuang Wen,K-8,627,,,,Not Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.76,0.65,0.75,0.67,0.87,0.79,,,,,,,,,0.183,0.19,0,0.545,0.08,0.354,0.713,0.038,0.108,0.091,5,0.4,0.983,0.027,0.973
01M188,P.S. 188 The Island School,K-8,458,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,1,1,1,1,0.99,1,Proficient,Proficient,Proficient,Well Developed,Proficient,42390,,,0.168,0.314,0.076,0.923,0.524,0.723,0.015,0.299,0.646,0.035,1.9,0.805,0.903,0.381,0.966
01M292,Henry Street School for International Studies,Middle,25,,,,,,,,0.8,0.76,0.73,0.89,0.83,0.91,Developing,Developing,Developing,Proficient,Proficient,42493,2.09,1.94,0.08,0.52,0.04,0.865,0.28,0.76,0.04,0.36,0.44,0.16,0.9,0.591,0.874,0.56,0.972
01M301,"Technology, Arts, and Sciences Studio",Middle,156,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.79,0.76,0.7,0.86,0.85,0.87,Developing,Developing,Developing,Developing,Proficient,41955,2.46,2.37,0.064,0.385,0.019,0.802,0.141,0.641,0.077,0.288,0.551,0.045,10.3,0.647,0.916,0.289,0.959
01M315,The East Village Community School,Elementary,263,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.82,0.79,0.79,0.78,0.98,0.87,Proficient,Proficient,Well Developed,Well Developed,Proficient,42495,,,0.008,0.217,0,0.302,0.046,0.167,0.095,0.095,0.221,0.532,1.9,0.583,0.954,0.091,0.966
01M332,University Neighborhood Middle School,Middle,110,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.92,0.95,0.85,0.96,0.89,0.97,Well Developed,Proficient,Proficient,Well Developed,Proficient,42079,2.51,2.43,0.145,0.391,0.1,0.74,0.145,0.545,0.055,0.273,0.627,0.036,7.8,0.909,0.916,0.271,0.968
01M345,"Collaborative Academy of Science, Technology, & La",Middle,105,,,,,,,,0.77,0.69,0.65,0.88,0.71,0.81,Proficient,Proficient,Proficient,Proficient,Proficient,42066,2.35,2.38,0.076,0.41,0.114,0.824,0.229,0.657,0.133,0.305,0.524,0.038,0.9,0.692,0.909,0.339,0.941
01M361,The Children's Workshop School,Elementary,234,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.93,0.89,0.85,0.94,0.96,0.93,Proficient,Proficient,Proficient,Well Developed,Proficient,42500,,,0.077,0.269,0.009,0.446,0.09,0.291,0.103,0.115,0.389,0.376,12,0.905,0.934,0.233,0.973
01M363,Neighborhood School,Elementary,297,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,0.88,0.85,0.85,0.89,0.93,0.91,Well Developed,Proficient,Proficient,Well Developed,Proficient,42095,,,0.037,0.253,0,0.413,0.094,0.242,0.061,0.131,0.34,0.438,2.8,0.88,0.94,0.172,0.968
01M364,Earth School,Elementary,304,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.88,0.97,0.9,0.96,0.97,0.95,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42066,,,0.063,0.273,0,0.44,0.128,0.273,0.076,0.138,0.362,0.365,1.8,0.72,0.94,0.176,0.968
01M378,School for Global Leaders,Middle,264,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.88,0.89,0.71,0.91,0.88,0.89,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,42514,2.41,2.43,0.076,0.333,0.098,0.761,0.155,0.602,0.152,0.227,0.58,0.019,8,0.462,0.91,0.328,0.966
01M450,East Side Community School,Middle,291,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.92,0.94,0.84,0.96,0.94,0.95,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42150,2.82,2.86,0,0.344,0.038,0.59,0.076,0.412,0.089,0.199,0.502,0.168,14.8,0.82,0.973,0.038,0.975
01M539,"New Explorations into Science, Technology and Math",K-8,1098,Exceeding Target,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.79,0.65,0.74,0.61,0.9,0.75,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,42040,,,0.005,0.039,0,0.25,0.009,0.067,0.313,0.068,0.073,0.476,1,0.574,0.966,0.03,0.962
01M839,Tompkins Square Middle School,Middle,371,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.88,0.86,0.77,0.84,0.91,0.9,Well Developed,Proficient,Well Developed,Proficient,Well Developed,41977,2.95,2.97,0.03,0.243,0,0.587,0.062,0.429,0.232,0.159,0.372,0.202,7.9,0.655,0.956,0.099,0.96
02M001,P.S. 001 Alfred E. Smith,Elementary,372,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.89,0.83,0.84,0.86,0.92,0.89,Well Developed,Proficient,Proficient,Well Developed,Proficient,42503,,,0.269,0.266,0.062,0.734,0.078,0.546,0.661,0.121,0.207,0.005,13,0.757,0.955,0.159,0.969
02M002,P.S. 002 Meyer London,Elementary,651,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.78,0.79,0.84,0.81,0.89,0.87,Developing,Developing,Developing,Proficient,Proficient,42090,,,0.37,0.21,0.038,0.832,0.353,0.565,0.857,0.038,0.091,0.012,3.9,0.833,0.98,0.045,0.962
02M003,P.S. 003 Charrette School,Elementary,736,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.89,0.84,0.94,0.96,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,42306,,,0.046,0.2,0.022,0.153,0.012,0.102,0.073,0.057,0.124,0.689,14.9,0.804,0.943,0.135,0.97
02M006,P.S. 006 Lillie D. Blake,Elementary,700,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.86,0.83,0.88,0.85,0.96,0.83,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42507,,,0.019,0.193,0.001,0.106,0.011,0.027,0.13,0.02,0.071,0.751,9.8,0.884,0.962,0.049,0.954
02M011,P.S. 011 William T. Harris,Elementary,903,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.94,0.92,0.97,0.97,0.96,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42136,,,0.035,0.14,0.003,0.304,0.033,0.183,0.146,0.07,0.25,0.495,11,0.712,0.954,0.106,0.977
02M033,P.S. 033 Chelsea Prep,Elementary,609,Exceeding Target,Exceeding Target,Meeting Target,Approaching Target,Exceeding Target,Approaching Target,Meeting Target,0.86,0.82,0.85,0.74,0.95,0.86,Proficient,Well Developed,Well Developed,Well Developed,Well Developed,42496,,,0.041,0.133,0.043,0.403,0.074,0.292,0.256,0.118,0.296,0.263,1,0.861,0.953,0.136,0.967
02M040,P.S. 040 Augustus Saint-Gaudens,Elementary,595,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.95,0.91,0.94,0.98,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42459,,,0.027,0.185,0.002,0.116,0.015,0.034,0.089,0.029,0.129,0.635,12,0.921,0.963,0.05,0.975
02M041,P.S. 041 Greenwich Village,Elementary,685,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.95,0.93,0.92,0.95,0.99,0.98,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42509,,,0.02,0.168,0.003,0.056,0.001,0.012,0.085,0.019,0.099,0.689,11,0.878,0.969,0.016,0.968
02M042,P.S. 042 Benjamin Altman,Elementary,691,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.96,0.91,0.98,0.92,0.97,Well Developed,Well Developed,Proficient,Well Developed,Proficient,42139,,,0.292,0.166,0.013,0.756,0.1,0.543,0.935,0.003,0.035,0.019,1.8,0.907,0.98,0.041,0.966
02M051,P.S. 051 Elias Howe,Elementary,322,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.94,0.91,0.89,0.92,0.94,0.93,Proficient,Well Developed,Proficient,Well Developed,Well Developed,41985,,,0.109,0.28,0.003,0.528,0.177,0.394,0.214,0.121,0.453,0.186,13.9,0.6,0.945,0.169,0.97
02M059,P.S. 059 Beekman Hill International,Elementary,573,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.93,0.91,0.96,0.91,0.97,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,"May 1 ,2015",,,0.04,0.183,0.002,0.074,0.017,0.035,0.154,0.021,0.129,0.595,9,0.615,0.96,0.053,0.985
02M077,P.S. 77 Lower Lab School,Elementary,345,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,Exceeding Target,Approaching Target,Exceeding Target,0.96,0.91,0.94,0.83,0.97,0.81,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42090,,,0,0.116,0,0.064,0,0.017,0.27,0.003,0.052,0.586,1,0.889,0.969,0.017,0.97
02M089,P.S. 89,Elementary,389,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.93,0.91,0.92,0.91,0.97,0.97,Proficient,Developing,Proficient,Well Developed,Proficient,42087,,,0.049,0.172,0,0.065,0,0.018,0.157,0.018,0.147,0.627,17.8,0.926,0.955,0.081,0.976
02M104,J.H.S. 104 Simon Baruch,Middle,1113,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.87,0.86,0.74,0.9,0.83,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42353,3.14,3.36,0.047,0.179,0.028,0.448,0.065,0.319,0.396,0.081,0.21,0.282,1.8,0.765,0.961,0.1,0.97
02M111,P.S. 111 Adolph S. Ochs,K-8,356,Approaching Target,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.76,0.79,0.67,0.84,0.9,0.89,Developing,Developing,Developing,Developing,Proficient,42013,,,0.135,0.326,0.017,0.562,0.14,0.433,0.177,0.163,0.506,0.115,1,0.833,0.933,0.236,0.963
02M114,East Side Middle School,Middle,441,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.93,0.94,0.83,0.97,0.89,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,41991,3.87,3.99,0,0.145,0,0.084,0.002,0.039,0.152,0.029,0.091,0.655,13.2,0.867,0.973,0.025,0.963
02M116,P.S. 116 Mary Lindley Murray,Elementary,591,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.92,0.92,0.87,0.93,0.94,0.95,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42131,,,0.115,0.171,0,0.308,0.091,0.21,0.201,0.093,0.218,0.43,13,0.723,0.954,0.113,0.966
02M124,P.S. 124 Yung Wing,Elementary,739,Approaching Target,Meeting Target,Exceeding Target,Approaching Target,Meeting Target,Meeting Target,Exceeding Target,0.71,0.72,0.8,0.71,0.91,0.87,Well Developed,Proficient,Developing,Well Developed,Proficient,42083,,,0.322,0.103,0,0.567,0.035,0.39,0.942,0.004,0.03,0.016,13,0.907,0.983,0.017,0.97
02M126,P.S. 126 Jacob August Riis,K-8,728,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.92,0.93,0.83,0.94,0.91,0.96,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,41957,,,0.179,0.185,0.004,0.725,0.249,0.503,0.591,0.106,0.207,0.077,5,0.914,0.971,0.073,0.963
02M130,P.S. 130 Hernando De Soto,Elementary,952,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.93,0.91,0.96,0.94,0.97,Proficient,Proficient,Proficient,Well Developed,Proficient,42062,,,0.132,0.132,0.015,0.602,0.05,0.428,0.88,0.009,0.049,0.034,1.9,0.704,0.982,0.023,0.97
02M131,M.S. 131,Middle,420,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,0.82,0.88,0.77,0.92,0.84,0.93,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42377,2.68,2.99,0.345,0.274,0.083,0.802,0.348,0.529,0.771,0.083,0.14,0.005,9,0.833,0.971,0.095,0.951
02M150,P.S. 150,Elementary,166,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,0.97,0.91,0.91,0.96,0.98,0.95,Proficient,Proficient,Proficient,Well Developed,Proficient,42075,,,0.024,0.163,0,0.172,0.006,0.084,0.151,0.06,0.12,0.56,4.3,0.778,0.955,0.101,0.977
02M151,Yorkville Community School,Elementary,548,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.92,0.91,0.95,0.96,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42332,,,0.064,0.206,0.04,0.351,0.102,0.279,0.064,0.142,0.268,0.469,7,0.548,0.942,0.174,0.966
02M158,P.S. 158 Bayard Taylor,Elementary,691,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.87,0.8,0.77,0.84,0.95,0.87,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42135,,,0.056,0.19,0.004,0.114,0.014,0.054,0.1,0.039,0.106,0.718,1.3,0.592,0.948,0.113,0.96
02M167,J.H.S. 167 Robert F. Wagner,Middle,1343,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,0.82,0.8,0.76,0.88,0.85,0.9,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42390,3.3,3.41,0.039,0.187,0.023,0.32,0.036,0.229,0.277,0.082,0.188,0.419,11.8,0.742,0.958,0.102,0.968
02M177,Yorkville East Middle School,Middle,142,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.94,0.96,0.8,0.99,0.94,0.95,Proficient,Proficient,Proficient,Well Developed,Proficient,42081,3.1,3.05,0.014,0.296,0.007,0.253,0.014,0.19,0.113,0.106,0.296,0.423,2,0.455,0.957,0.049,0.981
02M183,P.S. 183 Robert L. Stevenson,Elementary,555,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.85,0.86,0.86,0.84,0.97,0.87,Proficient,Proficient,Proficient,Well Developed,Well Developed,42094,,,0.059,0.193,0.002,0.065,0.011,0.027,0.169,0.04,0.105,0.661,6,0.763,0.958,0.063,0.968
02M198,P.S. 198 Isador E. Ida Straus,Elementary,450,Approaching Target,Approaching Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,Meeting Target,0.76,0.76,0.74,0.77,0.97,0.86,Developing,Developing,Developing,Proficient,Developing,42125,,,0.076,0.204,0.007,0.321,0.038,0.22,0.164,0.113,0.287,0.42,3.8,0.737,0.947,0.147,0.949
02M212,P.S. 212 Midtown West,Elementary,342,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.99,0.96,0.98,0.99,0.97,0.98,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41989,,,0.026,0.149,0.003,0.198,0.012,0.123,0.102,0.061,0.231,0.482,0.3,0.87,0.966,0.032,0.965
02M217,P.S./I.S. 217 Roosevelt Island,K-8,551,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.87,0.86,0.72,0.89,0.93,0.86,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42131,,,0.078,0.14,0.016,0.279,0.016,0.167,0.289,0.163,0.147,0.354,9.8,0.571,0.953,0.103,0.97
02M225,Ella Baker School,K-8,281,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Approaching Target,0.88,0.89,0.76,0.83,0.96,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42096,,,0.036,0.238,0.004,0.38,0.036,0.192,0.018,0.221,0.423,0.278,13.9,0.696,0.929,0.259,0.958
02M234,P.S. 234 Independence School,Elementary,704,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,0.93,0.89,0.9,0.87,0.97,0.94,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42409,,,0.013,0.186,0,0.054,0.001,0.02,0.107,0.013,0.084,0.697,9.9,0.563,0.958,0.068,0.976
02M255,M.S. 255 Salk School of Science,Middle,374,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.98,0.97,0.89,0.99,0.95,0.97,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42033,3.95,3.98,0,0.139,0,0.115,0.016,0.037,0.187,0.032,0.094,0.626,14,0.682,0.971,0.011,0.959
02M260,M.S. 260 Clinton School Writers & Artists,Middle,283,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.87,0.79,0.76,0.8,0.89,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,42066,3.66,3.57,0.007,0.166,0,0.179,0.014,0.057,0.134,0.042,0.088,0.689,4.8,0.708,0.971,0.021,0.978
02M267,"East Side Elementary School, PS 267",Elementary,347,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.91,0.89,0.88,0.84,0.93,0.9,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42384,,,0.046,0.193,0.003,0.038,0.006,0.017,0.11,0.017,0.078,0.775,6,0.577,0.953,0.089,0.976
02M276,Battery Park City School,K-8,872,Exceeding Target,Meeting Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,0.87,0.88,0.74,0.92,0.94,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,42011,,,0.022,0.165,0.002,0.107,0.013,0.042,0.205,0.041,0.111,0.563,7,0.738,0.957,0.083,0.968
02M289,I.S. 289,Middle,289,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,0.91,0.94,0.81,0.96,0.9,0.94,Well Developed,Proficient,Proficient,Well Developed,Well Developed,42135,3.36,3.47,0.01,0.197,0,0.401,0.062,0.287,0.388,0.083,0.128,0.381,2.8,0.684,0.974,0.021,0.975
02M290,P.S. 290 Manhattan New School,Elementary,627,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.97,0.96,0.96,0.98,0.97,0.97,Well Developed,Well Developed,Proficient,Well Developed,Well Developed,42135,,,0.03,0.137,0,0.063,0.003,0.038,0.107,0.014,0.086,0.726,1.9,0.85,0.961,0.047,0.97
02M312,New York City Lab Middle School for Collaborative,Middle,551,Meeting Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,0.86,0.82,0.76,0.83,0.92,0.88,Proficient,Proficient,Proficient,Well Developed,Well Developed,42088,3.81,4.02,0.007,0.152,0.002,0.301,0.018,0.187,0.468,0.024,0.074,0.343,7.9,0.778,0.979,0.02,0.966
02M347,The 47 American Sign Language & English Lower Scho,K-8,129,Meeting Target,Approaching Target,Meeting Target,Not Meeting Target,Meeting Target,Approaching Target,Meeting Target,0.7,0.69,0.67,0.56,0.86,0.81,Proficient,Proficient,Proficient,Proficient,Developing,42034,,,0.093,0.643,0.023,0.752,0.178,0.636,0.016,0.248,0.55,0.163,6.2,0.85,0.923,0.267,0.958
02M397,Spruce Street School,Elementary,408,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,0.85,0.84,0.82,0.89,0.95,0.88,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,42346,,,0.022,0.154,0,0.083,0.01,0.051,0.14,0.027,0.127,0.581,7,0.688,0.957,0.067,0.972
02M407,Institute for Collaborative Education,Middle,202,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Approaching Target,0.94,0.97,0.86,0.98,0.93,0.96,Well Developed,Well Developed,Well Developed,Well Developed,Well Developed,42516,3.58,3.51,0,0.069,0,0.265,0.02,0.104,0.074,0.168,0.183,0.515,4.4,0.667,0.961,0.053,0.973
02M408,Professional Performing Arts High School,Middle,94,Meeting Target,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.85,0.7,0.93,0.89,0.9,Proficient,Proficient,Proficient,Proficient,Proficient,42480,3.78,3.64,0,0.043,0,0.329,0.043,0.085,0.074,0.128,0.17,0.532,11,0.88,0.957,0.106,0.983
02M413,School of the Future High School,Middle,308,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.87,0.9,0.74,0.9,0.86,0.89,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,41989,3.33,3.36,0.016,0.211,0.006,0.342,0.075,0.231,0.169,0.084,0.295,0.341,8.9,0.87,0.967,0.049,0.962
02M422,Quest to Learn,Middle,312,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Meeting Target,Not Meeting Target,Meeting Target,0.74,0.59,0.6,0.57,0.81,0.71,Proficient,Proficient,Developing,Proficient,Proficient,42018,2.96,3.09,0.032,0.324,0.006,0.439,0.08,0.311,0.112,0.151,0.314,0.356,1.9,0.528,0.953,0.13,0.97
