Name,OBJECTID,Long_Lat,Borough,Precinct,longitude, latitude
Wakefield,1,-73.8472005205491 40.89470517661004,Bronx,47,-73.84720052,40.89470518
Co-op City,2,-73.82993910812405 40.87429419303015,Bronx,45,-73.82993911,40.87429419
Eastchester,3,-73.82780644716419 40.88755567735082,Bronx,49,-73.82780645,40.88755568
Fieldston,4,-73.90564259591689 40.895437426903875,Bronx,50,-73.9056426,40.89543743
Riverdale,5,-73.91258546108577 40.89083449389134,Bronx,50,-73.91258546,40.89083449
Kingsbridge,6,-73.90281798724611 40.88168737120525,Bronx,50,-73.90281799,40.88168737
Marble Hill,7,-73.91065965862988 40.87655077879968,Manhattan,50,-73.91065966,40.87655078
Woodlawn,8,-73.86731496814183 40.898272612138086,Bronx,47,-73.86731497,40.89827261
Norwood,9,-73.87939073956817 40.877224155994504,Bronx,52,-73.87939074,40.87722416
Williamsbridge,10,-73.85744642974214 40.88103887819214,Bronx,47,-73.85744643,40.88103888
Baychester,11,-73.83579759808124 40.86685810725274,Bronx,47,-73.8357976,40.86685811
Pelham Parkway,12,-73.85475564018006 40.85741349808869,Bronx,49,-73.85475564,40.8574135
City Island,13,-73.7864884526742 40.84724670491817,Bronx,45,-73.78648845,40.8472467
Bedford Park,14,-73.88551218419137 40.87018516497537,Bronx,52,-73.88551218,40.87018516
University Heights,15,-73.91041596191317 40.85572707719668,Bronx,52,-73.91041596,40.85572708
Morris Heights,16,-73.91967159119572 40.84789792606274,Bronx,46,-73.91967159,40.84789793
Fordham,17,-73.8964265598163 40.86099679638657,Bronx,52,-73.89642656,40.8609968
East Tremont,18,-73.88735617532345 40.84269615786057,Bronx,48,-73.88735618,40.84269616
West Farms,19,-73.87774474910552 40.83947505672657,Bronx,48,-73.87774475,40.83947506
High  Bridge,20,-73.92610209358138 40.8366230107061,Bronx,44,-73.92610209,40.83662301
Melrose,21,-73.90942160757443 40.81975437059498,Bronx,40,-73.90942161,40.81975437
Mott Haven,22,-73.91609987487583 40.80623874935181,Bronx,40,-73.91609987,40.80623875
Port Morris,23,-73.91322139386142 40.80166362775625,Bronx,40,-73.91322139,40.80166363
Longwood,24,-73.89578820094466 40.815099045458254,Bronx,41,-73.8957882,40.81509905
Hunts Point,25,-73.88331505955298 40.809729879387135,Bronx,41,-73.88331506,40.80972988
Morrisania,26,-73.90150648943066 40.82359198585537,Bronx,42,-73.90150649,40.82359199
Soundview,27,-73.86574609554933 40.82101219791406,Bronx,43,-73.8657461,40.8210122
Clason Point,28,-73.85414416189273 40.806551120035934,Bronx,43,-73.85414416,40.80655112
Throgs Neck,29,-73.8163500215845 40.815109258040096,Bronx,45,-73.81635002,40.81510926
Country Club,30,-73.82409926753857 40.84424593694742,Bronx,45,-73.82409927,40.84424594
Parkchester,31,-73.8560031053579 40.83793782226733,Bronx,43,-73.85600311,40.83793782
Westchester Square,32,-73.8421940760445 40.840619496432744,Bronx,43,-73.84219408,40.8406195
Van Nest,33,-73.86629918075617 40.84360847124722,Bronx,49,-73.86629918,40.84360847
Morris Park,34,-73.85040178030428 40.84754906353638,Bronx,49,-73.85040178,40.84754906
Belmont,35,-73.88845196134812 40.85727710073898,Bronx,48,-73.88845196,40.8572771
Spuyten Duyvil,36,-73.917190482104 40.8813949772709,Bronx,50,-73.91719048,40.88139498
North Riverdale,37,-73.90453054908934 40.9085428295067,Bronx,50,-73.90453055,40.90854283
Pelham Bay,38,-73.83207378240478 40.85064140940339,Bronx,45,-73.83207378,40.85064141
Schuylerville,39,-73.82620275994081 40.82657951686926,Bronx,45,-73.82620276,40.82657952
Edgewater Park,40,-73.81388514428627 40.82198611816354,Bronx,45,-73.81388514,40.82198612
Castle Hill,41,-73.84802729582742 40.81901437698835,Bronx,43,-73.8480273,40.81901438
Olinville,42,-73.86332361652784 40.87137078192375,Bronx,47,-73.86332362,40.87137078
Pelham Gardens,43,-73.8416119483123 40.862965624780024,Bronx,49,-73.84161195,40.86296562
Concourse,44,-73.91558941773451 40.834283807338544,Bronx,44,-73.91558942,40.83428381
Unionport,45,-73.85053524451942 40.82977429787165,Bronx,49,-73.85053524,40.8297743
Edenwald,46,-73.84808271877175 40.88456130303736,Bronx,47,-73.84808272,40.8845613
Bay Ridge,47,-74.03062069353821 40.62580106501069,Brooklyn,68,-74.03062069,40.62580107
Bensonhurst,48,-73.99517998380736 40.61100890202048,Brooklyn,62,-73.99517998,40.6110089
Sunset Park,49,-74.01031618527792 40.64510294925433,Brooklyn,72,-74.01031619,40.64510295
Greenpoint,50,-73.954240931274 40.730200984864744,Brooklyn,94,-73.95424093,40.73020098
Gravesend,51,-73.97347087708452 40.59526001306597,Brooklyn,61,-73.97347088,40.59526001
Brighton Beach,52,-73.96509448785343 40.576825065666085,Brooklyn,60,-73.96509449,40.57682507
Sheepshead Bay,53,-73.94318640482987 40.58689012678388,Brooklyn,61,-73.9431864,40.58689013
Manhattan Terrace,54,-73.95743840559946 40.61443251335102,Brooklyn,61,-73.95743841,40.61443251
Flatbush,55,-73.95840106533912 40.63632589026681,Brooklyn,70,-73.95840107,40.63632589
Crown Heights,56,-73.9432911907359 40.67082917695298,Brooklyn,77,-73.94329119,40.67082918
East Flatbush,57,-73.93610256185843 40.64171776668965,Brooklyn,67,-73.93610256,40.64171777
Kensington,58,-73.98042110559481 40.64238195800357,Brooklyn,66,-73.98042111,40.64238196
Windsor Terrace,59,-73.98007340430179 40.65694583575108,Brooklyn,72,-73.9800734,40.65694584
Prospect Heights,60,-73.96485924262697 40.67682226225477,Brooklyn,77,-73.96485924,40.67682226
Brownsville,61,-73.91023536176615 40.66394994339758,Brooklyn,73,-73.91023536,40.66394994
Williamsburg,62,-73.95811529220936 40.70714439344255,Brooklyn,90,-73.95811529,40.70714439
Bushwick,63,-73.92525797487053 40.69811611017905,Brooklyn,83,-73.92525797,40.69811611
Bedford Stuyvesant,64,-73.94178488690304 40.6872316077205,Brooklyn,79,-73.94178489,40.68723161
Brooklyn Heights,65,-73.99378225496432 40.69586372272413,Brooklyn,84,-73.99378225,40.69586372
Cobble Hill,66,-73.9985613921847 40.68791972248561,Brooklyn,76,-73.99856139,40.68791972
Carroll Gardens,67,-74.00037274122076 40.68213188564184,Brooklyn,76,-74.00037274,40.68213189
Red Hook,68,-74.01275897473568 40.67625323025092,Brooklyn,76,-74.01275897,40.67625323
Gowanus,69,-73.99444087145346 40.6739311431872,Brooklyn,76,-73.99444087,40.67393114
Fort Greene,70,-73.97290574369099 40.688527260189815,Brooklyn,88,-73.97290574,40.68852726
Park Slope,71,-73.97705030183931 40.672320522682014,Brooklyn,78,-73.9770503,40.67232052
Cypress Hills,72,-73.87583132262635 40.6846357939163,Brooklyn,75,-73.87583132,40.68463579
East New York,73,-73.88069863917373 40.66992570084708,Brooklyn,75,-73.88069864,40.6699257
Starrett City,74,-73.87936970045882 40.64758905230878,Brooklyn,75,-73.8793697,40.64758905
Canarsie,75,-73.90209269778973 40.63556432797432,Brooklyn,69,-73.9020927,40.63556433
Flatlands,76,-73.92911302644681 40.6304460437575,Brooklyn,63,-73.92911303,40.63044604
Mill Island,77,-73.90818571777432 40.60633642168567,Brooklyn,63,-73.90818572,40.60633642
Manhattan Beach,78,-73.94353722891894 40.57791350308661,Brooklyn,61,-73.94353723,40.5779135
Coney Island,79,-73.98868295821644 40.57429256471605,Brooklyn,60,-73.98868296,40.57429256
Bath Beach,80,-73.99875221443526 40.599518702822415,Brooklyn,62,-73.99875221,40.5995187
Borough Park,81,-73.99049823044818 40.63313051275805,Brooklyn,66,-73.99049823,40.63313051
Dyker Heights,82,-74.01931375636029 40.61921945772268,Brooklyn,68,-74.01931376,40.61921946
Gerritsen Beach,83,-73.93010170691203 40.59084843390208,Brooklyn,61,-73.93010171,40.59084843
Marine Park,84,-73.93134404108504 40.60974777989464,Brooklyn,63,-73.93134404,40.60974778
Clinton Hill,85,-73.96784306216374 40.69322942188155,Brooklyn,88,-73.96784306,40.69322942
Sea Gate,86,-74.00787311200247 40.576375378902284,Brooklyn,60,-74.00787311,40.57637538
Downtown,87,-73.98346337431106 40.69084402109806,Brooklyn,84,-73.98346337,40.69084402
Boerum Hill,88,-73.98357724689187 40.687241380657376,Brooklyn,84,-73.98357725,40.68724138
Prospect Lefferts Gardens,89,-73.9548986707772 40.65842001746986,Brooklyn,71,-73.95489867,40.65842002
Ocean Hill,90,-73.91306831787404 40.6784025547954,Brooklyn,73,-73.91306832,40.67840255
City Line,91,-73.86797598081343 40.678569957274824,Brooklyn,75,-73.86797598,40.67856996
Bergen Beach,92,-73.89855633630324 40.615149550453125,Brooklyn,69,-73.89855634,40.61514955
Midwood,93,-73.95759523489846 40.62559589869847,Brooklyn,70,-73.95759523,40.6255959
Prospect Park South,94,-73.96261316716055 40.64700860318523,Brooklyn,70,-73.96261317,40.6470086
Georgetown,95,-73.91607483951331 40.623845244784235,Brooklyn,63,-73.91607484,40.62384524
Spring Creek,96,-73.86998779106547 40.65713927658277,Brooklyn,75,-73.86998779,40.65713928
East Williamsburg,97,-73.93885815269203 40.70849241041552,Brooklyn,90,-73.93885815,40.70849241
North Side,98,-73.95880857587589 40.714822906532056,Brooklyn,94,-73.95880858,40.71482291
South Side,99,-73.95800095153338 40.710861472650684,Brooklyn,90,-73.95800095,40.71086147
Navy Yard,100,-73.97164435527614 40.698790872180545,Brooklyn,84,-73.97164436,40.69879087
Ocean Parkway,101,-73.96836678035548 40.61305976667946,Brooklyn,70,-73.96836678,40.61305977
Fort Hamilton,102,-74.0319791453799 40.6147681269423,Brooklyn,68,-74.03197915,40.61476813
Chinatown,103,-73.99427936255985 40.715618422314364,Manhattan,5,-73.99427936,40.71561842
Washington Heights,104,-73.93690027985242 40.85190252555309,Manhattan,34,-73.93690028,40.85190253
Inwood,105,-73.92121042203905 40.86768396449919,Manhattan,34,-73.92121042,40.86768396
Hamilton Heights,106,-73.94968791883373 40.82360428481197,Manhattan,30,-73.94968792,40.82360428
Manhattanville,107,-73.95738539351888 40.81693442949784,Manhattan,26,-73.95738539,40.81693443
Central Harlem,108,-73.94321112603912 40.81597606742418,Manhattan,28,-73.94321113,40.81597607
East Harlem,109,-73.94418223148531 40.79224946663037,Manhattan,23,-73.94418223,40.79224947
Upper East Side,110,-73.96050763135007 40.77563857330185,Manhattan,19,-73.96050763,40.77563857
Yorkville,111,-73.94711784471833 40.77592984988492,Manhattan,19,-73.94711784,40.77592985
Lenox Hill,112,-73.95885968813766 40.76811265828737,Manhattan,19,-73.95885969,40.76811266
Roosevelt Island,113,-73.9494705736962 40.762403730702246,Manhattan,114,-73.94947057,40.76240373
Upper West Side,114,-73.9770592363061 40.7876579985349,Manhattan,20,-73.97705924,40.787658
Lincoln Square,115,-73.9853377700127 40.773528889421705,Manhattan,20,-73.98533777,40.77352889
Clinton,116,-73.99640768221386 40.758333686906404,Manhattan,14,-73.99640768,40.75833369
Midtown,117,-73.98166882730311 40.75469110270627,Manhattan,18,-73.98166883,40.7546911
Murray Hill,118,-73.97833207924134 40.74830307725222,Manhattan,17,-73.97833208,40.74830308
Chelsea,119,-74.0031163347282 40.74403470674802,Manhattan,10,-74.00311633,40.74403471
Greenwich Village,120,-73.99991402945909 40.72693288536132,Manhattan,6,-73.99991403,40.72693289
East Village,121,-73.98222616506425 40.72784677727029,Manhattan,9,-73.98222617,40.72784678
Lower East Side,122,-73.98089031999298 40.71780674892769,Manhattan,7,-73.98089032,40.71780675
Tribeca,123,-74.01068328559094 40.72152196744325,Manhattan,1,-74.01068329,40.72152197
Little Italy,124,-73.9973046720808 40.71932379395911,Manhattan,5,-73.99730467,40.71932379
Soho,125,-74.00065666959766 40.72218384131798,Manhattan,1,-74.00065667,40.72218384
West Village,126,-74.00617998126819 40.734433935724375,Manhattan,6,-74.00617998,40.73443394
Manhattan Valley,127,-73.96428617740662 40.7973070417029,Manhattan,24,-73.96428618,40.79730704
Morningside Heights,128,-73.96389627905339 40.80799973816586,Manhattan,26,-73.96389628,40.80799974
Gramercy,129,-73.98137594833548 40.737209832715045,Manhattan,13,-73.98137595,40.73720983
Battery Park City,130,-74.01686930508625 40.71193198394569,Manhattan,1,-74.01686931,40.71193198
Financial District,131,-74.01066544521277 40.70710710727052,Manhattan,1,-74.01066545,40.70710711
Astoria,132,-73.91565374304241 40.768508593354966,Queens,114,-73.91565374,40.76850859
Woodside,133,-73.90184166838291 40.746349088602265,Queens,108,-73.90184167,40.74634909
Jackson Heights,134,-73.88282109164372 40.751981380073715,Queens,115,-73.88282109,40.75198138
Elmhurst,135,-73.88165622288396 40.744048505122066,Queens,110,-73.88165622,40.74404851
Howard Beach,136,-73.83813764600289 40.6542252773849,Queens,106,-73.83813765,40.65422528
South Corona,137,-73.85682497345266 40.7423817501567,Queens,110,-73.85682497,40.74238175
Forest Hills,138,-73.8444750078899 40.725263782165065,Queens,112,-73.84447501,40.72526378
Kew Gardens,139,-73.8298190582571 40.705179035414844,Queens,102,-73.82981906,40.70517904
Richmond Hill,140,-73.83183321446894 40.69794731471767,Queens,102,-73.83183321,40.69794731
Downtown Flushing,141,-73.82936758711861 40.76116362081876,Queens,109,-73.82936759,40.76116362
Long Island City,142,-73.93920223915512 40.75021734610532,Queens,108,-73.93920224,40.75021735
Sunnyside,143,-73.92691617561584 40.74017628351928,Queens,108,-73.92691618,40.74017628
East Elmhurst,144,-73.86704147658779 40.764073238830946,Queens,115,-73.86704148,40.76407324
Maspeth,145,-73.89621713626867 40.72542737409365,Queens,104,-73.89621714,40.72542737
Ridgewood,146,-73.90143517559596 40.70832315613862,Queens,104,-73.90143518,40.70832316
Glendale,147,-73.87074167435614 40.702762429678415,Queens,104,-73.87074167,40.70276243
Rego Park,148,-73.85782686905377 40.72897409480739,Queens,112,-73.85782687,40.72897409
Woodhaven,149,-73.85811046554328 40.689886879157925,Queens,102,-73.85811047,40.68988688
Ozone Park,150,-73.84320266173454 40.68070846826546,Queens,106,-73.84320266,40.68070847
South Ozone Park,151,-73.80986478649048 40.66854957767199,Queens,106,-73.80986479,40.66854958
College Point,152,-73.84304528896132 40.78490274926025,Queens,109,-73.84304529,40.78490275
Whitestone,153,-73.8142021661087 40.781290766026984,Queens,109,-73.81420217,40.78129077
Bayside,154,-73.77427363068676 40.76604063281068,Queens,111,-73.77427363,40.76604063
Auburndale,155,-73.79176243728068 40.761729549032665,Queens,111,-73.79176244,40.76172955
Little Neck,156,-73.73889775580747 40.77082619282674,Queens,111,-73.73889776,40.77082619
Douglaston,157,-73.74249820727337 40.766846097907674,Queens,111,-73.74249821,40.7668461
Glen Oaks,158,-73.71548118999152 40.74944079974336,Queens,105,-73.71548119,40.7494408
Bellerose,159,-73.7201281482691 40.72857318176679,Queens,105,-73.72012815,40.72857318
Kew Gardens Hills,160,-73.82087764933573 40.72257824422808,Queens,102,-73.82087765,40.72257824
Fresh Meadows,161,-73.78271337003271 40.734394465331334,Queens,107,-73.78271337,40.73439447
Briarwood,162,-73.81174822458641 40.710935472522756,Queens,107,-73.81174822,40.71093547
Jamaica Center,163,-73.79690165888296 40.704657360687214,Queens,103,-73.79690166,40.70465736
Oakland Gardens,164,-73.75494976234339 40.74561857141858,Queens,111,-73.75494976,40.74561857
Queens Village,165,-73.73871484578433 40.7188930921674,Queens,105,-73.73871485,40.71889309
Hollis,166,-73.75925009335602 40.71124344191908,Queens,103,-73.75925009,40.71124344
South Jamaica,167,-73.79042613135549 40.69691125378992,Queens,113,-73.79042613,40.69691125
St. Albans,168,-73.75867603727725 40.69444538522363,Queens,113,-73.75867604,40.69444539
Rochdale,169,-73.77258787620913 40.675211395917366,Queens,113,-73.77258788,40.6752114
Springfield Gardens,170,-73.76042092682295 40.666230490368626,Queens,113,-73.76042093,40.66623049
Cambria Heights,171,-73.73526873708033 40.69277463916089,Queens,105,-73.73526874,40.69277464
Rosedale,172,-73.73526079428285 40.65981643342812,Queens,105,-73.73526079,40.65981643
Far Rockaway,173,-73.7549796804388 40.60313443250093,Queens,101,-73.75497968,40.60313443
Broad Channel,174,-73.82005489110327 40.603026583512424,Queens,100,-73.82005489,40.60302658
Breezy Point,175,-73.92551196994177 40.557401288454564,Queens,114,-73.92551197,40.55740129
Steinway,176,-73.90228960391681 40.77592301564293,Queens,115,-73.9022896,40.77592302
Beechhurst,177,-73.80436451720996 40.792781403600515,Queens,109,-73.80436452,40.7927814
Bay Terrace,178,-73.77680222621588 40.7828428062456,Queens,109,-73.77680223,40.78284281
Edgemere,179,-73.77613282391712 40.59564180736854,Queens,101,-73.77613282,40.59564181
Arverne,180,-73.7919923313695 40.58914394372975,Queens,100,-73.79199233,40.58914394
Seaside,181,-73.82236121088758 40.58280169684563,Queens,100,-73.82236121,40.5828017
Neponsit,182,-73.85754672410836 40.57203673021705,Queens,100,-73.85754672,40.57203673
Murray Hill,183,-73.81276269135873 40.7641261226141,Queens,109,-73.81276269,40.76412612
Floral Park,184,-73.70884705889253 40.74137842194548,Queens,105,-73.70884706,40.74137842
Holliswood,185,-73.76714166714736 40.720957207644446,Queens,107,-73.76714167,40.72095721
Jamaica Estates,186,-73.78722696936667 40.716804830146174,Queens,107,-73.78722697,40.71680483
Queensboro Hill,187,-73.82580915110566 40.744572309286745,Queens,109,-73.82580915,40.74457231
Hillcrest,188,-73.79760300912679 40.72382490182924,Queens,107,-73.79760301,40.7238249
Ravenswood,189,-73.93157506072886 40.76170452605419,Queens,114,-73.93157506,40.76170453
Lindenwood,190,-73.84963782402448 40.66391841925143,Queens,106,-73.84963782,40.66391842
Laurelton,191,-73.74025607989829 40.667883896602504,Queens,105,-73.74025608,40.6678839
Lefrak City,192,-73.86252471413746 40.73607457083084,Queens,110,-73.86252471,40.73607457
Belle Harbor,193,-73.85401750392529 40.57615556543113,Queens,100,-73.8540175,40.57615557
Rockaway Park,194,-73.84153370226193 40.58034295646135,Queens,100,-73.8415337,40.58034296
Somerville,195,-73.79664750844056 40.59771061565772,Queens,100,-73.79664751,40.59771062
Brookville,196,-73.7517531073116 40.66000322733616,Queens,105,-73.75175311,40.66000323
Bellaire,197,-73.73889198912488 40.73301404027838,Queens,105,-73.73889199,40.73301404
North Corona,198,-73.85751790676454 40.75407099904894,Queens,115,-73.85751791,40.754071
Forest Hills Gardens,199,-73.84102211234017 40.71461108151174,Queens,112,-73.84102211,40.71461108
St. George,200,-74.07935312512804 40.64498157100444,Staten Island,120,-74.07935313,40.64498157
New Brighton,201,-74.08701650516633 40.64061455913515,Staten Island,120,-74.08701651,40.64061456
Stapleton,202,-74.07790192660073 40.6269276253818,Staten Island,120,-74.07790193,40.62692763
Rosebank,203,-74.06980526716148 40.61530494652765,Staten Island,120,-74.06980527,40.61530495
West Brighton,204,-74.10718178265617 40.63187892654611,Staten Island,120,-74.10718178,40.63187893
Grymes Hill,205,-74.08724819983736 40.62418479131304,Staten Island,120,-74.0872482,40.62418479
